"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jamo","2014-11-01 09:25:33.457"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 1 october se 6 november tak mausam saf rahega","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jamo","2014-11-01 14:54:26.647"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","badal rah sakte hai, barish ki sambhavna nahi hai","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jamo","2014-11-01 15:02:25.917"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","insect problem in bean","Cypermethrin 10% EC @ 350-500 ml/acre ka spray karen","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Gauriganj","2014-11-01 17:06:21.457"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu me ghass ki dwa ko bataye","pendimethalin @ 3 litar /  600 litar pani ka par hectare ka spray kare","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Amethi","2014-11-01 18:25:09.307"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Post Harvest Preservation","DHAN KI KATAI HO RAHI HAIN,MAUSAM KI JANKARI DE..?","KISAN BHAI MAUSAM SAF RAHEGA,KRASHI KARYA KARE.","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Gauriganj","2014-11-01 20:52:33.707"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki acchi kisme bataye","UP-2338, HUW-533, PBW-343 aur UP-2425 ye gehu ki kisme hai","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Tiloi","2014-11-03 11:29:17.750"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 509 pbw 343 bo sakte hai app","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jamo","2014-11-04 18:45:44.037"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","kya DBW-17 KI BUVARI KAR DE","ha buvai kara de","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Singhpur","2014-11-05 06:09:31.423"
"RABI","AGRICULTURE","Others","Others","Market Information","message alert lagwana hai","message alert laga diya  ja raha hai jald hi message prapt hone lagenge","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Amethi","2014-11-05 08:36:02.747"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHU KI LATE PRAJATI","DBW 17 PRAJATI UGAYEN","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jagdishpur","2014-11-05 09:59:57.040"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Shahgarh","2014-11-05 16:24:39.290"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GEHU KI VARIETY","HD-2967","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Shahgarh","2014-11-05 17:07:10.160"
"KHARIF","AGRICULTURE","Cereals","Wheat","Crop Insurance","FASAL KA BEMA","FASAL BIMA KE LIYE APNI BANK MAI SAMPARK KARE","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Bhadar","2014-11-05 17:28:31.083"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun ki jankari","gehun ki jankari di gai","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Bhadar","2014-11-05 20:47:20.390"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","MOLFORMATION IN MANGO ?","•Use of disease free planting material
•Incidence reduced by spraying 100-200ppm NAA during October.
•Pruning of diseased parts along the basal 15-20 cm apparently healthy portions.
•This is followed by the spraying of Carbendazim (0.1%) or Captafol (0.2%).","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jamo","2014-11-06 07:13:32.693"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","musterd ki cultivation","20 kilo urea + 10 kilo sulpher /acre","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Singhpur","2014-11-06 07:25:53.337"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ka beej sodhan kaise kare","carbendazim se beej sodhan karwaye","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Sangrampur","2014-11-06 10:00:45.020"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu ke khet me weed bahut ho jata hai","salfosalfuran + metsulfuran methyl 13.5 gram/acre prayog karen","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Amethi","2014-11-06 11:05:57.807"
"RABI","HORTICULTURE","Vegetables","Amaranthus/Grain Amaranthus","Beekeeping","gross in potato","pendimethaline (stomp0 1liter\acr","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Sangrampur","2014-11-07 07:40:07.013"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","MOSAM KI JANKARI","MOSAM SAF RAHEGA BARIS NAHI HOGI","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Amethi","2014-11-07 08:24:35.313"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","stem borer in mango","Cartap Hydrochloride 4% GR ka estemal kare","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Singhpur","2014-11-07 12:46:07.550"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","genhu ke bare me jankari","genhu ke bare me jankari di gyi","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Jamo","2014-11-07 21:33:28.773"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- DVW-17,PBW-502,UP-2382,PBW-343,","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Singhpur","2014-11-08 09:35:06.350"
"KHARIF","ANIMAL HUSBANDRY","Animal","Rabbit","Animal Breeding","khargosh palan ke bare me jankari","18001805141 pe sampark karein","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Singhpur","2014-11-08 14:18:16.020"
"RABI","HORTICULTURE","Vegetables","Others","Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)","achar banane ke bare me bataye","kripya apne jile ke udyan vibhag se sampark kare","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Gauriganj","2014-11-08 16:30:36.090"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","aapki awaj nahi aa rahi hai","kripya dobara call kare","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Bhetua","2014-11-08 20:13:28.210"
"JAYAD","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","WEED PROBLEM IN GARLIC","NO WEEDICIDE AT THIS STAGE","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Tiloi","2014-11-10 10:34:05.590"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","krashi yantra ki jankari","krashi yantra ki jankari di gai","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Sangrampur","2014-11-10 14:24:26.757"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","gehu ki prajati","gehu ki prajati  - DBW 17 , PBW 550 , PBW 502","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Tiloi","2014-11-10 16:30:06.180"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","KRISHI YANTRA PAR ANUDAN MILA SKTI HAI","ANUDAN MILTA HAI AAPKO AGRO OFFICE ME SAMPARK KARE","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Sangrampur","2014-11-11 12:20:17.460"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism-","gehu ki kism-DBW-17,PBW-550 ki buvai kare","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Bhadurpur","2014-11-11 13:28:10.450"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI BEEJ DER KYA HAI","GEHU KI BEEJ DER 100 KILO / HECTER","UTTAR PRADESH","AMETHI ( Shahu Ji Maharaj)","Amethi","2014-11-11 13:30:56.253"
