"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Green Manure","Dhaincha","Seeds","green manures","recomended dhaincha , janumu","ANDHRA PRADESH","ANANTPUR","HINDUPUR                                          ","2014-11-01 08:56:24.527"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  report","rather cloudy","ANDHRA PRADESH","ANANTPUR","ATMAKUR                                           ","2014-11-01 12:46:39.917"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","9652538121","ANDHRA PRADESH","ANANTPUR","GUDIBANDA                                         ","2014-11-01 16:17:23.997"
"RABI","AGRICULTURE","Others","Others","Weather","waether report","chance to rain","ANDHRA PRADESH","ANANTPUR","GUDIBANDA                                         ","2014-11-01 16:18:24.727"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","chance to rain","ANDHRA PRADESH","ANANTPUR","GORANTLA                                          ","2014-11-01 16:27:08.437"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","chance to rain","ANDHRA PRADESH","ANANTPUR","ANANTAPUR                                         ","2014-11-01 16:58:00.580"
"RABI","HORTICULTURE","Fruits","Citrus","Agriculture Mechanization","mealy bug in citrus","recommended profenophos 2ml/lit water","ANDHRA PRADESH","ANANTPUR","BELUGUPPA                                         ","2014-11-02 07:49:28.653"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","catterpiller","recommended chloropyriphos 2.5ml/lit water","ANDHRA PRADESH","ANANTPUR","CHILAMATHUR                                       ","2014-11-02 09:01:24.890"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Nutrient Management","leaf folder in red gram","recommended monocrotophos  1.5ml/lit water","ANDHRA PRADESH","ANANTPUR","GOOTY                                             ","2014-11-02 10:09:34.307"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest","recommended olala 75g/acre","ANDHRA PRADESH","ANANTPUR","BUKKAPATNAM                                       ","2014-11-02 13:35:15.420"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","leaf curling in cotton","IMIDACHLOPRID(CONFIDOR, TATAMIDA , VICTOR ,ATOM  ) 50 ML PER ACRE       ???????????????(??????????, ????????, ???????, ??? ) ???????? 50 ??????  200 ??????? ?????? ????? ???????? ??????","ANDHRA PRADESH","ANANTPUR","AMADAGUR                                          ","2014-11-02 14:38:25.923"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WHITEFLY IN COTTON","SPRAY OF FLUNICAMID (ULALA) 80GM/ACR","ANDHRA PRADESH","ANANTPUR","AMARAPURAM                                        ","2014-11-02 15:41:46.570"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Bio-Pesticides and Bio-Fertilizers","fertiliser of red gram","multi-k","ANDHRA PRADESH","ANANTPUR","PAMIDI                                            ","2014-11-02 16:52:41.743"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","SPOTS ON BANANA","CARBENDAZIM (BAVISTIN, DEROSAL, CARBENDAZIM) 200 GRAMS PER ACRE","ANDHRA PRADESH","ANANTPUR","GUNTAKAL                                          ","2014-11-02 16:55:37.000"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","DOWNEY MILDEW ON CHILLIE","DINOCAP(KERATHANE) 400 ML PER ACRE","ANDHRA PRADESH","ANANTPUR","AMADAGUR                                          ","2014-11-02 16:57:59.367"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","HELICOVERPA ON REDGRAM","QUINOLPHOS(EKALUX, FLASH, DHANULUX,QUINGUARD) 400 ML PER ACRE","ANDHRA PRADESH","ANANTPUR","GOOTY                                             ","2014-11-02 17:18:50.943"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","tokin @80g/acre","tokin @80g/acre","ANDHRA PRADESH","ANANTPUR","KANEKAL                                           ","2014-11-02 17:18:58.033"
