"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Green Manure","Sunnhemp (Patua)","Varieties","green manures crops","sun hemp , dhaincha green manures crops","ANDHRA PRADESH","CHITTOOR","NAGARI                                            ","2014-11-01 08:44:23.200"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","over cast with thunder storm","ANDHRA PRADESH","CHITTOOR","YADAMARI                                          ","2014-11-01 12:53:06.107"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","sowing time of ground nut in rabi","november 15th-december 15th","ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE                                    ","2014-11-01 16:30:53.090"
"RABI","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","anapa flowering","multi-k 1kg/acr","ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI                                       ","2014-11-01 18:45:19.653"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","VETERNARY","VETERNARY	040-23311720,  9848406211-koteshwar rao (knr)
040-24015316","ANDHRA PRADESH","CHITTOOR","GUDUPALLE                                         ","2014-11-02 08:32:00.090"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weatehr","normal","ANDHRA PRADESH","CHITTOOR","GANGAVARAM                                        ","2014-11-02 15:56:00.097"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","ANDHRA PRADESH","CHITTOOR","GUDIPALA                                          ","2014-11-02 15:58:16.890"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer damage in rice","plutan @125g/acre","ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU                                  ","2014-11-02 16:50:02.033"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","ANDHRA PRADESH","CHITTOOR","KALAKADA                                          ","2014-11-03 07:58:58.777"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","FORAGE CROPS","FORAGE CROPS	040-24001706","ANDHRA PRADESH","CHITTOOR","CHOWDEPALLE                                       ","2014-11-04 08:29:17.347"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","root grub","recomended phorate granules 5kg/acre","ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE                                     ","2014-11-04 11:25:22.073"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","cloudy  most of the time","ANDHRA PRADESH","CHITTOOR","GUDUPALLE                                         ","2014-11-04 12:12:42.107"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","fcc phn no:","FARMERS CALL CENTRE	1800-425-1110  180 425 4440","ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM                                      ","2014-11-04 15:15:13.147"
"RABI","AGRICULTURE","Others","Others","Weather","asked weather report","partly cloudy","ANDHRA PRADESH","CHITTOOR","KARVETINAGAR                                      ","2014-11-05 13:10:27.227"
