"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in rice","glamour 50gm/acr","ANDHRA PRADESH","EAST GODAVARI","ALAMURU","2014-11-01 20:42:29.843"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recommended bheem 120g?acre","ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL","2014-11-02 08:53:16.477"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","ANDHRA PRADESH","EAST GODAVARI","ALAMURU","2014-11-03 10:46:11.830"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","ANDHRA PRADESH","EAST GODAVARI","AINAVILLI","2014-11-04 14:20:22.277"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","hort phn no:","08813–231507","ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM","2014-11-04 19:40:28.123"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","MUSHROOM culti vation","MUSHROOM	9912655843—RAJESHWARI Madam","ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM","2014-11-05 09:07:24.187"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recomended confidor 0.6ml/lit water","ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM","2014-11-05 11:43:31.980"
"RABI","AGRICULTURE","Others","Others","Weather","weather","humid climate","ANDHRA PRADESH","EAST GODAVARI","KORUKONDA","2014-11-05 16:11:38.063"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice damage","zn sulphate@2g/lit water","ANDHRA PRADESH","EAST GODAVARI","TUNI","2014-11-05 17:24:41.143"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","ANDHRA PRADESH","EAST GODAVARI","KAJULURU","2014-11-06 06:58:47.130"
"RABI","AGRICULTURE","Others","Others","Weather","vetyy phn no:","VETERNARY	040-23311720,  9848406211-koteshwar rao (knr)
040-24015316","ANDHRA PRADESH","EAST GODAVARI","KADIAM","2014-11-06 11:54:26.863"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN RICE","RECOMMENDED TO SPRAY DINETOFURON(TOKEN,OCEAN) 80 GRAMS/ACRE","ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM","2014-11-07 11:12:15.603"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN RICE","MERGER 400GM/ACR","ANDHRA PRADESH","EAST GODAVARI","AINAVILLI","2014-11-08 08:01:22.403"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","rate of ground nut","not available","ANDHRA PRADESH","EAST GODAVARI","ALAMURU","2014-11-09 15:19:09.603"
"RABI","AGRICULTURE","Others","Others","Weather","weather","thunder storm","ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM","2014-11-09 17:04:40.230"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Nutrient Management","growthing","recomended multik 1kg/acre","ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU","2014-11-09 20:32:21.660"
