"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","drying of leaves","recomended merzer 400g/acre","ANDHRA PRADESH","GUNTUR","MACHERLA                                          ","2014-11-01 07:10:01.910"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recomended merzer 400g/acre","ANDHRA PRADESH","GUNTUR","NARASARAOPETA                                     ","2014-11-01 08:24:53.297"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recomended bheem 120g/acre","ANDHRA PRADESH","GUNTUR","BELLAMKONDA                                       ","2014-11-01 08:59:33.730"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","drying of leaves","recomended merzer 400g/acre","ANDHRA PRADESH","GUNTUR","GURAZALA                                          ","2014-11-01 09:18:00.150"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","PROPINOPHOS (CURECRON, PROFEX,DON, BOLERO)  400 ML PER ACRE    ???????????? (???????????, ??????????,????, ??????) ???????  400 ?????? ??????  ???????? ??????","ANDHRA PRADESH","GUNTUR","KOLLIPARA                                         ","2014-11-01 18:41:50.600"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMENDED NUVAN 1 ml /LIT WATER","ANDHRA PRADESH","GUNTUR","CHILAKALURIPET                                    ","2014-11-02 06:45:11.613"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bacterial disease","recommended merzer 400g/acre","ANDHRA PRADESH","GUNTUR","DACHEPALLE                                        ","2014-11-02 08:44:05.930"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Water Management	","whit fly in cotton","oberan 200ml/acre","ANDHRA PRADESH","GUNTUR","KOLLUR                                            ","2014-11-02 10:34:01.640"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","growth in cotton","recommended multik  1kg/acre","ANDHRA PRADESH","GUNTUR","KOLLIPARA                                         ","2014-11-02 11:11:37.657"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton micronutrients","mgso4+urea","ANDHRA PRADESH","GUNTUR","BELLAMKONDA                                       ","2014-11-02 11:48:28.473"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug in cotton","RECOMMENDED TO SPRAY PROPINOPHOS (CURECRON, PROFEX,DON, BOLERO)  400 ML PER ACRE    ???????????? (???????????, ??????????,????, ??????) ???????  400 ?????? ??????  ???????? ??????","ANDHRA PRADESH","GUNTUR","BHATTIPROLU                                       ","2014-11-02 14:39:15.780"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","pesara damage","plutan @125g/acre","ANDHRA PRADESH","GUNTUR","BHATTIPROLU                                       ","2014-11-02 17:21:32.637"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","black warm damage in cotton","coc30g+1g streptocyclin @10lit water","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-02 18:33:42.160"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","phone no; 1800 180 1717","ANDHRA PRADESH","GUNTUR","NADENDLA                                          ","2014-11-04 08:18:54.277"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","VEGETATIVE GROWTH IN COTTON","MULTI-K 1KG/ACR","ANDHRA PRADESH","GUNTUR","AMARAVATHI                                        ","2014-11-04 08:24:00.557"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended ooshin 80g/acre","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-04 13:08:27.497"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-04 14:15:31.357"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","laef holder in rice","corejan @60ML/ACRE","ANDHRA PRADESH","GUNTUR","MUPPALLA                                          ","2014-11-04 15:01:34.397"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","zink","fertiliser","ANDHRA PRADESH","GUNTUR","ROMPICHERLA                                       ","2014-11-04 15:04:47.480"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton damage","plithora @350ml/acre","ANDHRA PRADESH","GUNTUR","NARASARAOPETA                                     ","2014-11-04 17:12:24.430"
"RABI","HORTICULTURE","Vegetables","Chillies","Nutrient Management","growthing in chilli","recomended multi k 1kg /lit water","ANDHRA PRADESH","GUNTUR","GURAZALA                                          ","2014-11-05 08:05:14.217"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","sun through high clouds","ANDHRA PRADESH","GUNTUR","CHILAKALURIPET                                    ","2014-11-05 08:18:47.230"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","recomended pollo 240g/acre","ANDHRA PRADESH","GUNTUR","KROSURU                                           ","2014-11-05 09:49:06.267"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","seed rate in tomato","recomended 80g/acre  seed rate in tomato","ANDHRA PRADESH","GUNTUR","DUGGIRALA                                         ","2014-11-05 09:55:16.287"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","recomended oberan 200ml/lit water","ANDHRA PRADESH","GUNTUR","NEKARIKALLU                                       ","2014-11-05 11:39:58.170"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","coming in flower","recomended agrominmax 1kg/acre","ANDHRA PRADESH","GUNTUR","CHERUKUPALLE                                      ","2014-11-05 13:47:03.613"
"RABI","HORTICULTURE","Flowers","Rose","	Plant Protection	","powderymildew","recomended dinocap 1ml/lit water","ANDHRA PRADESH","GUNTUR","KOLLIPARA                                         ","2014-11-05 13:58:44.913"
"RABI","AGRICULTURE","Others","Others","Weather","weather","humid climate","ANDHRA PRADESH","GUNTUR","BELLAMKONDA                                       ","2014-11-05 16:07:00.870"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","sunny climate","ANDHRA PRADESH","GUNTUR","TADEPALLE                                         ","2014-11-05 20:10:50.777"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","downy mildew in chilli","recommended sectin 500-600g/acre","ANDHRA PRADESH","GUNTUR","TENALI                                            ","2014-11-06 06:53:04.873"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","flower drop in cotton","recommended planofix 2ml/lit water","ANDHRA PRADESH","GUNTUR","KROSURU                                           ","2014-11-06 07:27:47.653"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recommended bheem 120g/acre","ANDHRA PRADESH","GUNTUR","KAKUMANU                                          ","2014-11-06 07:58:22.710"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","bacterial disease","recommended blitex 30g+platomycin 1g+10lit water","ANDHRA PRADESH","GUNTUR","VELDURTHY                                         ","2014-11-06 08:28:42.093"
"RABI","AGRICULTURE","Others","Others","Market Information","Bengal gram","2700-2800","ANDHRA PRADESH","GUNTUR","ATCHEMPET","2014-11-06 10:04:50.957"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Field Preparation	","maize intercrop","ground nut","ANDHRA PRADESH","GUNTUR","TENALI                                            ","2014-11-06 10:28:05.003"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice damage","merger@400g/acre","ANDHRA PRADESH","GUNTUR","KAKUMANU                                          ","2014-11-06 12:11:05.480"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","FLOWER DROPPING  IN CUCURBITS","recommended to spray planofix 4.5 ml/20 litre","ANDHRA PRADESH","GUNTUR","KROSURU                                           ","2014-11-06 15:50:38.730"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fruit borer in chilie","RECOMMENDED TO SPRAY CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-06 17:11:56.990"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","yellowing of leaf in kanakambaram","RECOMMENDED TO SPRAY CARBENDAZIM (BAVISTIN, DEROSAL, CARBENDAZIM) 200 GRAMS PER ACRE","ANDHRA PRADESH","GUNTUR","AMRUTHALUR                                        ","2014-11-06 17:35:26.927"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","very warm with high  clouds","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-07 07:12:30.157"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","YELLOWING IN RICE","RECOMMENDED TO SPRAY CARBENDAZIM (BAVISTIN, DEROSAL, CARBENDAZIM) 200 GRAMS PER ACRE","ANDHRA PRADESH","GUNTUR","MANGALAGIRI                                       ","2014-11-07 08:26:39.480"
"RABI","HORTICULTURE","Vegetables","Chillies","Nutrient Management","flower drop in chilli","recomended planofix 2ml/10lit water","ANDHRA PRADESH","GUNTUR","IPUR                                              ","2014-11-07 08:54:37.913"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","growth in cotton","multi k  1kg /acre","ANDHRA PRADESH","GUNTUR","KROSURU                                           ","2014-11-07 09:07:10.907"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended  applaud 330ml/acre","ANDHRA PRADESH","GUNTUR","GUNTUR                                            ","2014-11-07 11:01:23.100"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ZN DEFICIENCY","recommended to spray of zinc sulphate 2 grams per litre","ANDHRA PRADESH","GUNTUR","AMARAVATHI                                        ","2014-11-07 11:35:04.077"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Market Information","market  rate","minimum  1350     maximum 1450","ANDHRA PRADESH","GUNTUR","CHERUKUPALLE                                      ","2014-11-07 12:06:57.283"
"RABI","AGRICULTURE","Others","Others","Weed Management","weather","normal","ANDHRA PRADESH","GUNTUR","MEDIKONDURU                                       ","2014-11-07 17:27:01.973"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","ANDHRA PRADESH","GUNTUR","AMARAVATHI                                        ","2014-11-07 17:29:27.523"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug damage in cotton","malathian @2ml/lit water","ANDHRA PRADESH","GUNTUR","DACHEPALLE                                        ","2014-11-07 18:06:21.307"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended astaf 1.5g/lit water","ANDHRA PRADESH","GUNTUR","EDLAPADU                                          ","2014-11-08 09:13:24.937"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended astaf 1.5g/lit water","ANDHRA PRADESH","GUNTUR","EDLAPADU                                          ","2014-11-08 09:13:25.520"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","vegetative growth in chillie","multik 1kg/acr","ANDHRA PRADESH","GUNTUR","BAPATLA                                           ","2014-11-08 10:53:23.557"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest damage in cotton","alanto @250ml/acre","ANDHRA PRADESH","GUNTUR","AMRUTHALUR                                        ","2014-11-08 16:29:23.817"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","FLOWER DROPPING IN COTTON","PLANOFIX 4ML/20LOF WATER","ANDHRA PRADESH","GUNTUR","MACHAVARAM                                        ","2014-11-09 12:28:29.337"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","zn deficency in rice","zinc sulphaTE 2g /l of water","ANDHRA PRADESH","GUNTUR","MACHAVARAM                                        ","2014-11-09 12:57:03.873"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weedicide","not recommended","ANDHRA PRADESH","GUNTUR","BOLLAPALLE                                        ","2014-11-09 16:37:14.780"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton damage","recommendations followed","ANDHRA PRADESH","GUNTUR","MEDIKONDURU                                       ","2014-11-09 16:49:12.900"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended applaud 320ml/acre","ANDHRA PRADESH","GUNTUR","SATTENAPALLE                                      ","2014-11-09 17:17:08.510"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug in cotton","recomended profenophos 2ml/lit water","ANDHRA PRADESH","GUNTUR","EDLAPADU                                          ","2014-11-09 20:27:37.283"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in rice","token 80gm/acr","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-10 09:30:40.453"
"RABI","HORTICULTURE","Flowers","Crossandra","Nursery Management","HORTICULTURE            ?????? ?? ????????????","HORTICULTURE           CONTACT 18004250080   18004250080 ?????? ?? ????????????","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-10 11:09:20.460"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weed Management","WEEDICIDS IN COTTON","NO RECOMMENDED","ANDHRA PRADESH","GUNTUR","MACHAVARAM                                        ","2014-11-11 08:39:30.290"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","VEGETATIVE GROWTH IN CHILLIE","MULTI-K 1KG/ACR","ANDHRA PRADESH","GUNTUR","AMRUTHALUR                                        ","2014-11-11 10:34:13.303"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","MEALY BUG IN COTTON","OBERAN 150-200ML/ACR","ANDHRA PRADESH","GUNTUR","CHILAKALURIPET                                    ","2014-11-11 13:24:32.350"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","recommended monocrotophos 1.5ml/lit water","ANDHRA PRADESH","GUNTUR","CHERUKUPALLE                                      ","2014-11-13 15:52:29.413"
"RABI","HORTICULTURE","Flowers","Rose","Training and Exposure Visits","floweri culture","040-24015011, 040-24011649, 9848975784","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-13 17:38:52.480"
"RABI","HORTICULTURE","Flowers","Rose","Training and Exposure Visits","floweri culture","040-24015011, 040-24011649, 9848975784","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-13 17:40:45.763"
"RABI","HORTICULTURE","Flowers","Rose","Training and Exposure Visits","floweri culture","040-24015011, 040-24011649, 9848975784","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-13 17:40:46.180"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest","recommended olala 75 g/acre","ANDHRA PRADESH","GUNTUR","CHERUKUPALLE                                      ","2014-11-13 17:53:54.753"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","black arm","recommended blitex 30g+plantomycin 1g +10lit water","ANDHRA PRADESH","GUNTUR","NUZENDLA                                          ","2014-11-13 17:58:24.173"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","flori phn no","HORTICULTURE	1800-425-0080, 1800-425-0040","ANDHRA PRADESH","GUNTUR","GUNTUR                                            ","2014-11-13 17:59:53.360"
"RABI","AGRICULTURE","Others","Others","Weather","weather","thunder","ANDHRA PRADESH","GUNTUR","AMRUTHALUR                                        ","2014-11-13 18:13:41.070"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","cloudy rain drizzle","ANDHRA PRADESH","GUNTUR","EDLAPADU                                          ","2014-11-13 18:56:09.797"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice damage","bheem","ANDHRA PRADESH","GUNTUR","MUPPALLA                                          ","2014-11-13 19:42:05.917"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","early blight in tomato","recomended mancozeb 3g/lit watre","ANDHRA PRADESH","GUNTUR","DUGGIRALA                                         ","2014-11-14 06:47:16.870"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","flower drop in cotton","recomended planofix 50ml/acre","ANDHRA PRADESH","GUNTUR","NARASARAOPETA                                     ","2014-11-14 07:38:35.490"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather","chance to rain","ANDHRA PRADESH","GUNTUR","BAPATLA                                           ","2014-11-14 15:20:47.153"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice fertiliser","multi-k","ANDHRA PRADESH","GUNTUR","GURAZALA                                          ","2014-11-14 15:57:01.493"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","pride @40g/acre","ANDHRA PRADESH","GUNTUR","PEDAKAKANI                                        ","2014-11-14 16:49:14.790"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","weather","thunder storm","ANDHRA PRADESH","GUNTUR","DUGGIRALA                                         ","2014-11-14 17:46:30.027"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","FLOWER DROPPING IN COTTON","recommended to spray planofix 4.5 ml/20 litre","ANDHRA PRADESH","GUNTUR","VINUKONDA                                         ","2014-11-14 18:08:39.210"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice disease","avatar@400g/acre","ANDHRA PRADESH","GUNTUR","KARLAPALEM                                        ","2014-11-14 18:15:01.870"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chilli  growth","multi-k","ANDHRA PRADESH","GUNTUR","CHILAKALURIPET                                    ","2014-11-14 19:04:23.510"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN","ANDHRA PRADESH","GUNTUR","ATCHEMPET","2014-11-14 20:33:15.873"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chilli midge","recommended tTRIZOPHOS (TITAN  HOSTATHION )300 ML/200 LTS WATER","ANDHRA PRADESH","GUNTUR","BAPATLA                                           ","2014-11-15 17:59:18.443"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chili damage","acephate @2g/lit water","ANDHRA PRADESH","GUNTUR","TADEPALLE                                         ","2014-11-15 18:29:43.260"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mite in paddy","recommended  profenophos 2ml/lit","ANDHRA PRADESH","GUNTUR","ROMPICHERLA                                       ","2014-11-15 18:42:04.910"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton damage duo to sucking pests","ulala@75g/acre","ANDHRA PRADESH","GUNTUR","AMRUTHALUR                                        ","2014-11-15 18:52:46.360"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","SUCKING PEST in cotton","recommended olala 75g/acre","ANDHRA PRADESH","GUNTUR","PRATHIPADU                                        ","2014-11-15 19:05:36.330"
"RABI","AGRICULTURE","Others","Others","Weather","minumulu sowing time","not recommonded","ANDHRA PRADESH","GUNTUR","MEDIKONDURU                                       ","2014-11-15 19:48:10.827"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","UP WORD CURLING IN CHILLIE","FIPRONIL(REGENT, BILLGRAN, SALVO) 400 ML PER ACRE","ANDHRA PRADESH","GUNTUR","BELLAMKONDA                                       ","2014-11-16 15:06:25.250"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","VETERNARY","VETERNARY	040-23311720,  9848406211-koteshwar rao (knr)
040-24015316","ANDHRA PRADESH","GUNTUR","NEKARIKALLU                                       ","2014-11-16 15:30:00.190"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","catter piller  in chilli","recomended  tracer 75g/acer","ANDHRA PRADESH","GUNTUR","PRATHIPADU                                        ","2014-11-16 16:25:13.577"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","catter piller in chilli","recomended  tracer 75 g/acre","ANDHRA PRADESH","GUNTUR","MANGALAGIRI                                       ","2014-11-16 17:37:41.330"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recomended  confidor 0.6ml/lit water","ANDHRA PRADESH","GUNTUR","GUNTUR                                            ","2014-11-16 18:28:23.387"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","CATTERPILLER IN COTTON","recomended  tracer 75g/acre","ANDHRA PRADESH","GUNTUR","GURAZALA                                          ","2014-11-16 20:51:00.450"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","anthracnose in black gram","recomended  blitex  3g lit water","ANDHRA PRADESH","GUNTUR","EDLAPADU                                          ","2014-11-16 21:45:40.277"
"RABI","AGRICULTURE","Others","Others","Soil Testing","soil testing","Guntur	-	8096697104	0863-2234855	Assistant Director of Agriculture, (Soil Testing Laboratory) NSP Canals Campus, Opp. Collectorate, Guntur.","ANDHRA PRADESH","GUNTUR","KAREMPUDI                                         ","2014-11-17 14:50:17.840"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CURLING IN CHILLI","recomended pegasis 300g/acre","ANDHRA PRADESH","GUNTUR","CHILAKALURIPET                                    ","2014-11-17 16:23:33.280"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE","ANDHRA PRADESH","GUNTUR","","2014-11-17 16:54:37.027"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","growth in cotton","SPRAY MULTI K","ANDHRA PRADESH","GUNTUR","RENTACHINTALA                                     ","2014-11-17 17:22:40.540"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Nutrient Management","growthing  in pesara","SPRAY MULTI K","ANDHRA PRADESH","GUNTUR","DACHEPALLE                                        ","2014-11-17 18:31:45.127"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","black arm in cotton","recomended blitex 30g+plantomycin 1g+ 10liut water","ANDHRA PRADESH","GUNTUR","VINUKONDA                                         ","2014-11-18 15:11:59.343"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","false smut on rice","RECOMMENDED TO SPRAY PROPICONAZOLE (TILT, RADAR)  200 ML PER ACRE","ANDHRA PRADESH","GUNTUR","AMRUTHALUR                                        ","2014-11-18 15:34:31.633"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","zn deficiency","recommended to spray of zinc sulphate 2 grams per litre","ANDHRA PRADESH","GUNTUR","","2014-11-18 15:50:59.443"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","flower dropping in cotton","planofix @2.5ml/10 lit water","ANDHRA PRADESH","GUNTUR","ACHAMPET                                          ","2014-11-18 15:58:20.553"
"RABI","HORTICULTURE","Vegetables","Chillies","Nutrient Management","growthing in chilli","recomended multi k 1kg/acre","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-18 16:30:21.260"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","catter piller in mango","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","ANDHRA PRADESH","GUNTUR","KOLLUR                                            ","2014-11-18 16:34:03.293"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","CHANCES OF RAINS","ANDHRA PRADESH","GUNTUR","KOLLIPARA                                         ","2014-11-18 19:15:30.430"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recomended pegasis 300g/acre","ANDHRA PRADESH","GUNTUR","DURGI                                             ","2014-11-19 08:21:35.010"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","root rot in cotton","recomended  blitex  3g /lit wTER","ANDHRA PRADESH","GUNTUR","BOLLAPALLE                                        ","2014-11-19 08:28:02.183"
