"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","weedicids in pulses","RECOMMENDED TO SPRAY IMAZITAPYR (PURSUIT ) 300 ML PER ACRE","ANDHRA PRADESH","KRISHNA","KODURU                                            ","2014-12-01 09:32:32.717"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","NO chances of showers     ???????? ??? ?????? ????","ANDHRA PRADESH","KRISHNA","MANDAVALLI                                        ","2014-12-01 11:36:26.237"
"RABI","AGRICULTURE","Others","Others","Weather","weather ereport","no rain","ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM                                      ","2014-12-01 12:32:04.433"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","stem borer in maize","CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE","ANDHRA PRADESH","KRISHNA","MANDAVALLI                                        ","2014-12-02 14:43:10.950"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","vegetative growth in chillie","SPRAY MULTI K 1kg/acr /acr","ANDHRA PRADESH","KRISHNA","MACHILIPATNAM                                     ","2014-12-02 15:44:13.770"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","whitefly and leafhoppers in rice","ulala 75gm/acr","ANDHRA PRADESH","KRISHNA","PAMIDIMUKKALA                                     ","2014-12-02 17:18:02.627"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","white","PROPICONAZOLE (TILT, RADAR)  200 ML PER ACRE","ANDHRA PRADESH","KRISHNA","MANDAVALLI                                        ","2014-12-02 17:42:02.277"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weedicides in rice","paraquate 1 lite  /acr","ANDHRA PRADESH","KRISHNA","MOPIDEVI                                          ","2014-12-02 18:47:58.773"
"RABI","HORTICULTURE","Vegetables","Chillies","Nutrient Management","growthing in chilli","recomended agrominmax 1kg/2 acre","ANDHRA PRADESH","KRISHNA","GUDIVADA                                          ","2014-12-03 12:45:53.053"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","recomended  prid 40g/acre","ANDHRA PRADESH","KRISHNA","GUDLAVALLERU                                      ","2014-12-03 13:33:28.133"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEEDICIDES IN RICE","RECOMMENDED TO SPRAYPARAQAT (GRAMOXONE, PARAGON ,UNIQAT ) ONE LITRE PER ACRE","ANDHRA PRADESH","KRISHNA","GHANTASALA                                        ","2014-12-05 08:40:40.953"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder  in paddy","recomended  fipronil 5kg/acre","ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA                                      ","2014-12-05 17:14:14.060"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","recommended minimum  3600  maximum 4050","ANDHRA PRADESH","KRISHNA","KALIDINDI                                         ","2014-12-06 11:30:41.657"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","micro nutrients","recomended agrominmax 1kg/acre","ANDHRA PRADESH","KRISHNA","KALIDINDI                                         ","2014-12-07 15:54:50.000"
"RABI","HORTICULTURE","Vegetables","Chillies","Nutrient Management","flower drop in chilli","recomended planofix 2ml/10lit water","ANDHRA PRADESH","KRISHNA","CHATRAI                                           ","2014-12-07 16:03:48.810"
"RABI","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","root rot in chamanti","recomended drenching   blue copper 3g/lit water drenching","ANDHRA PRADESH","KRISHNA","CHANDARLAPADU                                     ","2014-12-07 16:12:52.257"
"RABI","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","root rot in chamanti","recomended drenching   blue copper 3g/lit water drenching","ANDHRA PRADESH","KRISHNA","CHANDARLAPADU                                     ","2014-12-07 16:12:52.890"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","root rot in cotton","recomended  blitex 3g/lit water","ANDHRA PRADESH","KRISHNA","BANTUMILLI                                        ","2014-12-07 17:31:17.173"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","paddy seeds","recomended  NLR-34449,","ANDHRA PRADESH","KRISHNA","CHANDARLAPADU                                     ","2014-12-07 19:33:55.157"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","partly sunny and nice","ANDHRA PRADESH","KRISHNA","PEDAPARUPUDI                                      ","2014-12-07 20:15:14.843"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Seeds","sandle wood","Sri gandham, neem, sandle wood,	9550447323(kmm),  9848661193(knr)","ANDHRA PRADESH","KRISHNA","GUDLAVALLERU                                      ","2014-12-08 20:37:44.263"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","seed treat ment","recomended  carbosulphan 30g/kg seed","ANDHRA PRADESH","KRISHNA","BAPULAPADU                                        ","2014-12-08 20:40:26.697"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","clouds yielding in sun","ANDHRA PRADESH","KRISHNA","MANDAVALLI                                        ","2014-12-09 17:39:16.760"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","POWDERY mildew in chilli","recomended  kerathin 1ml/lit water","ANDHRA PRADESH","KRISHNA","GUDIVADA                                          ","2014-12-11 19:06:52.267"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","VEGETATIVE GROWTH IN CHILLIE","SPRAY MULTI K 1kg/acr","ANDHRA PRADESH","KRISHNA","KODURU                                            ","2014-12-12 07:26:06.820"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recomended prid 40g/acre","ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM                                     ","2014-12-12 17:04:33.027"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather report","no  rain","ANDHRA PRADESH","KRISHNA","VATSAVAI                                          ","2014-12-13 16:04:03.423"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","FARMERS CALL CENTRE","1800-425-1110  180 425 4440","ANDHRA PRADESH","KRISHNA","CHATRAI                                           ","2014-12-13 16:35:02.710"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","leaf spot in onion","recommended mancozeb 3g/lit water","ANDHRA PRADESH","KRISHNA","BANTUMILLI                                        ","2014-12-13 17:22:08.280"
"RABI","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","sucking pest in ash gourd","","ANDHRA PRADESH","KRISHNA","PENUGANCHIPROLU                                   ","2014-12-13 17:29:40.973"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","STEM BORER IN MAIZE","CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE","ANDHRA PRADESH","KRISHNA","BAPULAPADU                                        ","2014-12-13 17:36:31.137"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","growthing in mango","recomended  multik 1kg /acre","ANDHRA PRADESH","KRISHNA","AGIRIPALLI                                        ","2014-12-14 17:48:37.833"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","annadata","9989625242","ANDHRA PRADESH","KRISHNA","CHATRAI                                           ","2014-12-14 18:31:03.717"
"RABI","AGRICULTURE","Others","Others","Soil Testing","soil testing","Vijayawada	-	8096697076	0866-2090021	Assistant Director of Agriculture, (Soil Testing Laboratory) Near Gollapudi Market Yard, Vijayawada -521225, Krishna District.","ANDHRA PRADESH","KRISHNA","VIJAYAWADA URBAN","2014-12-14 19:52:20.367"
"RABI","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","Seeds","sunflower  seeds","08540–228646, 94412 10514","ANDHRA PRADESH","KRISHNA","NAGAYALANKA                                       ","2014-12-15 20:41:29.903"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","leaffolder in redgram","RECOMMENDED TO SPRAY QUINOLPHOS(EKALUX, FLASH, DHANULUX,QUINGUARD) 400 ML PER ACRE","ANDHRA PRADESH","KRISHNA","AVANIGADDA                                        ","2014-12-16 19:09:57.507"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","stem borer in maize","CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE","ANDHRA PRADESH","KRISHNA","CHANDARLAPADU                                     ","2014-12-17 14:34:00.657"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Sowing Time and Weather","green gram seeds","recomended LGG 460 , 407","ANDHRA PRADESH","KRISHNA","G.KONDURU                                         ","2014-12-18 16:48:12.940"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","clear to partly cloudy","ANDHRA PRADESH","KRISHNA","MOPIDEVI                                          ","2014-12-18 20:55:30.237"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","growthing in maize","recommended multi k 1kg /acre","ANDHRA PRADESH","KRISHNA","MOPIDEVI                                          ","2014-12-19 15:09:42.473"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Varieties","maize varities","recomended DHM -117, 115","ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM                                      ","2014-12-19 19:12:35.313"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","up ward curling in chilli","recommended  regent 400ml/acre","ANDHRA PRADESH","KRISHNA","BANTUMILLI                                        ","2014-12-20 17:48:09.200"
