"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","more clouds than sun","ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU                                    ","2014-11-01 08:30:04.573"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","root grub in chilli","chloripyriphos 400ml/acre","ANDHRA PRADESH","PRAKASAM","GUDLURU                                           ","2014-11-01 09:04:18.930"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recomended pegasis 300g/acre","ANDHRA PRADESH","PRAKASAM","GUDLURU                                           ","2014-11-01 11:51:52.890"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","catterpiller","recommended larvin 1g+nuvan 1ml/lit water","ANDHRA PRADESH","PRAKASAM","VELIGANDLA                                        ","2014-11-02 08:57:26.740"
"RABI","HORTICULTURE","Flowers","Marigold","Seeds and Planting Material","mari gold","040–24011649","ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI                                       ","2014-11-02 10:48:44.453"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","bacterial leaf spot in chilli","recommended blitex  30+streptocyclin 1g+10 lit water","ANDHRA PRADESH","PRAKASAM","KANIGIRI                                          ","2014-11-02 11:02:54.003"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","ANDHRA PRADESH","PRAKASAM","GIDDALURU                                         ","2014-11-02 15:42:55.853"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","damage of bhendi","coc@3g/ lit water","ANDHRA PRADESH","PRAKASAM","MARTUR                                            ","2014-11-02 16:03:41.803"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","LEAFCURLING IN CHILLIE","PEGASES 300GM/ACR","ANDHRA PRADESH","PRAKASAM","CHIRALA                                           ","2014-11-02 18:29:54.720"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH,SHEATH BLIGHT IN RICE","RECOMMENDED TO SPRAY DINETOFURON(TOKEN,OCEAN) 80 GRAMS/ACRE,;
RECOMMENDED TO SPRAT AVATAR(HEXACONAZOLE+ZINEB)500 GRAMS PER ACRE","ANDHRA PRADESH","PRAKASAM","BESTAVARIPETA","2014-11-03 07:27:00.140"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Sowing Time and Weather","SOWING TIME OF MAIZE IN RABI","OCTOBER15-NOVEMBER15TH","ANDHRA PRADESH","PRAKASAM","BESTAVARIPETA","2014-11-03 08:04:28.770"
"RABI","AGRICULTURE","Pulses","Moth Bean (kidney bean/ deww gram)","	Plant Protection	","LEAFHOPPERS","RECOMMENDED TO SPRAY QUINOLPHOS(EKALUX, FLASH, DHANULUX,QUINGUARD) 400 ML PER ACRE","ANDHRA PRADESH","PRAKASAM","KONAKANAMITTLA","2014-11-03 10:02:34.770"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","WHITEFLY IN BLACKGRAM","RECOMMENDED TO SPRAY PROPINOPHOS (CURECRON, PROFEX,DON, BOLERO)  400 ML PER ACRE","ANDHRA PRADESH","PRAKASAM","BESTAVARIPETA","2014-11-04 08:00:46.950"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recomended bheem 120g/acre","ANDHRA PRADESH","PRAKASAM","DARSI                                             ","2014-11-04 10:37:56.900"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recomended bheem 120g/acre","ANDHRA PRADESH","PRAKASAM","DARSI                                             ","2014-11-04 10:39:47.483"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended aalplod 330ml/acre","ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI                                       ","2014-11-04 12:58:49.527"
"RABI","HORTICULTURE","Fruits","Melon","Seeds and Planting Material","sowing time in melon","recomended december -january","ANDHRA PRADESH","PRAKASAM","DONAKONDA                                         ","2014-11-04 13:54:30.060"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended astaf 1.5g/lit water","ANDHRA PRADESH","PRAKASAM","ADDANKI","2014-11-04 14:02:27.387"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recomended tokin 80g/acre","ANDHRA PRADESH","PRAKASAM","GIDDALURU                                         ","2014-11-05 07:28:27.710"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","less humid with clouds","ANDHRA PRADESH","PRAKASAM","KONAKANAMITTLA","2014-11-05 07:34:59.040"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","boran deficiency","recomended borax 1.5g/lit water","ANDHRA PRADESH","PRAKASAM","BESTAVARIPETA","2014-11-05 08:56:10.023"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","asked paddy weed management","RECOMMENDED TO SPRAY 2,4 D(FERNOXONE ) 500 GRAMS PER ACRE","ANDHRA PRADESH","PRAKASAM","ADDANKI","2014-11-05 11:38:27.917"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","mostly cloudy","ANDHRA PRADESH","PRAKASAM","BESTAVARIPETA","2014-11-05 13:01:17.510"
"RABI","HORTICULTURE","Vegetables","Chillies","Market Information","market rate","Market rate	1800-208-2081","ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM                                    ","2014-11-05 13:42:52.797"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","ANDHRA PRADESH","PRAKASAM","RACHERLA                                          ","2014-11-05 15:29:40.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","tokin @80g/acre","tokin @80g/acre","ANDHRA PRADESH","PRAKASAM","CHANDRA SEKHARA PURAM                             ","2014-11-05 16:31:16.607"
"RABI","AGRICULTURE","Others","Others","Weather","weather","humid climate","ANDHRA PRADESH","PRAKASAM","CHINAGANJAM                                       ","2014-11-05 16:41:45.620"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TOBACO catterpiller in cotton","recommended plithora 350ml/acre","ANDHRA PRADESH","PRAKASAM","BESTAVARIPETA","2014-11-06 07:05:15.970"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in paddy","recommended  tokin 80g/acre","ANDHRA PRADESH","PRAKASAM","KARAMCHEDU                                        ","2014-11-06 07:23:37.810"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","ANDHRA PRADESH","PRAKASAM","KURICHEDU                                         ","2014-11-06 07:54:44.780"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sheath blight in rice","avatar @400g/acre","ANDHRA PRADESH","PRAKASAM","PULLALACHERUVU                                    ","2014-11-06 11:18:18.730"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","white  fly  in citrus","recommended  monocrotophos 2.5ml/lit water","ANDHRA PRADESH","PRAKASAM","KANIGIRI                                          ","2014-11-06 12:06:09.100"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in rice","RECOMMENDED TO SPRAY DINETOFURON(TOKEN,OCEAN) 80 GRAMS/ACRE","ANDHRA PRADESH","PRAKASAM","CHANDRA SEKHARA PURAM                             ","2014-11-06 17:02:12.090"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","redening of leaf","recommended to spray of zinc sulphate 2 grams per litre","ANDHRA PRADESH","PRAKASAM","CHANDRA SEKHARA PURAM                             ","2014-11-06 17:43:57.610"
"RABI","HORTICULTURE","Vegetables","Chillies","Nutrient Management","boran deficiency","SPRAY OF BORAX 1-1.5 GRAMS PER LITRE","ANDHRA PRADESH","PRAKASAM","RACHERLA                                          ","2014-11-07 06:32:44.930"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mite in paddy","recomended profenophos 2ml/lit water","ANDHRA PRADESH","PRAKASAM","JANAKAVARAM PONGULURU                             ","2014-11-07 07:28:36.373"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","rice blast","recomended bheem 120g/ace","ANDHRA PRADESH","PRAKASAM","KORISAPADU                                        ","2014-11-07 09:51:59.807"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","catterpiller","recomended chloripyriphos 2.5ml/lit water","ANDHRA PRADESH","PRAKASAM","KONAKANAMITTLA","2014-11-07 09:57:44.600"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","WEATHER REPORT","NO RAIN","ANDHRA PRADESH","PRAKASAM","DORNALA                                           ","2014-11-07 10:28:54.300"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf holder  in rice","corejan @60ml/acre","ANDHRA PRADESH","PRAKASAM","MADDIPADU                                         ","2014-11-07 18:40:00.830"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","MG DEFICIENCY IN COTTON","recommended to spray of magnesium sulphate 10 grams per litre","ANDHRA PRADESH","PRAKASAM","CHIRALA                                           ","2014-11-08 06:58:06.780"
