"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","banana  plantation spacing","karpoora chakkerakeli 2.0m?2.0m
tella  chakkerakeli   1.8m?1.8m","ANDHRA PRADESH","VIZIANAGARM","KOMARADA                                          ","2014-12-02 14:57:10.237"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","DAP FERTILIZERS PERCENTAGE","DAP-18  NITROZEN ,46 phosphorus   percentage","ANDHRA PRADESH","VIZIANAGARM","MENTADA                                           ","2014-12-02 17:36:33.450"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","termites in mango","recomended lindan 10kg/acre","ANDHRA PRADESH","VIZIANAGARM","KURUPAM                                           ","2014-12-03 12:56:41.213"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","recommended  profenophos 2ml/lit water","ANDHRA PRADESH","VIZIANAGARM","JIYYAMMAVALASA                                    ","2014-12-04 16:36:34.703"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","VIRUS  DISEASE IN CHILLI","REMOVAL  OF PLANTS","ANDHRA PRADESH","VIZIANAGARM","JAMI                                              ","2014-12-08 19:34:00.120"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","stem borer in maize","recomended  chloripyriphos 2.5ml/lit water","ANDHRA PRADESH","VIZIANAGARM","JAMI                                              ","2014-12-09 15:59:38.333"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","pleasant  sunny periods","ANDHRA PRADESH","VIZIANAGARM","MERAKAMUDIDAM                                     ","2014-12-09 17:29:18.160"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","termites in mango","recommended chloropyriphos 2.5ml/lit water","ANDHRA PRADESH","VIZIANAGARM","BOBBILI                                           ","2014-12-13 16:40:08.880"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","catter piller in cabbage","recommended tracer 0.3ml/lit water","ANDHRA PRADESH","VIZIANAGARM","BONDAPALLE                                        ","2014-12-13 16:50:14.130"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","root rot in black gram","recomended blitex 3g/lit water","ANDHRA PRADESH","VIZIANAGARM","KURUPAM                                           ","2014-12-14 08:46:27.950"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","SUCKING pest","recommended acephate 300g/acre","ANDHRA PRADESH","VIZIANAGARM","KURUPAM                                           ","2014-12-16 19:24:49.250"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Field Preparation	","SEED VARIETIES","DHM117","ANDHRA PRADESH","VIZIANAGARM","KOMARADA                                          ","2014-12-21 07:31:29.340"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","BHENDI LEAF CURL","ROGER 2ML/LT","ANDHRA PRADESH","VIZIANAGARM","CHEEPURUPALLE                                     ","2014-12-21 12:11:08.147"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","BRIJAL FRIUT BORER","COROGEN 60ML/ACRE","ANDHRA PRADESH","VIZIANAGARM","PACHIPENTA                                        ","2014-12-21 13:29:46.130"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","FERTILIZERS IN PEsara","spray of urea 5gm/lof water","ANDHRA PRADESH","VIZIANAGARM","NELLIMARLA                                        ","2014-12-21 16:14:33.077"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Nutrient Management","COMING to flowering","recomended  multi k 1kg/acre","ANDHRA PRADESH","VIZIANAGARM","KOMARADA                                          ","2014-12-22 15:34:49.090"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Sowing Time and Weather","sowing time in  green gram","recomended december   sowing time in  green gram","ANDHRA PRADESH","VIZIANAGARM","MAKKUVA                                           ","2014-12-22 19:12:24.123"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertillizers not available","toll free no. 18004254440","ANDHRA PRADESH","VIZIANAGARM","GAJAPATHINAGARAM                                  ","2014-12-23 16:12:08.367"
"RABI","HORTICULTURE","Fruits","Mango","Government Schemes","sayan  ,stock in mango","FARMERS CALL CENTRE	1800-425-1110","ANDHRA PRADESH","VIZIANAGARM","MAKKUVA                                           ","2014-12-24 18:27:03.340"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","STEM BORER","CHLOROPYRIPHOS 2ML/LIT","ANDHRA PRADESH","VIZIANAGARM","PUSAPATIREGA                                      ","2014-12-25 15:31:16.340"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TOMATO SUCKING PEST","ULALA 75GM/ACRE","ANDHRA PRADESH","VIZIANAGARM","KOMARADA                                          ","2014-12-26 09:50:56.343"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Seeds","SORGHUM Varities","tella jonna-1,2 N T J -4SORGHUM Varities","ANDHRA PRADESH","VIZIANAGARM","DATTIRAJERU                                       ","2014-12-26 16:59:38.990"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","spraying in maize","recommended 19-19-19 spraying in maize","ANDHRA PRADESH","VIZIANAGARM","GARUGUBILLI                                       ","2014-12-26 17:04:10.173"
"RABI","ANIMAL HUSBANDRY","Animal","Goat","Animal Breeding","VETERNARY","VETERNARY	040-23311720,  9848406211-koteshwar rao (knr)
040-24015316     98480 66708-kisan kumar  karim n vet","ANDHRA PRADESH","VIZIANAGARM","GARUGUBILLI                                       ","2014-12-26 17:30:14.507"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","SESAMUM SEED TREATMENT","MANCOZEB 3Gr/ 1 KG SEEDS","ANDHRA PRADESH","VIZIANAGARM","KOMARADA                                          ","2014-12-27 07:26:52.947"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","catter piller in black gram","recomended chloripyriphos  2.5ml/lit water","ANDHRA PRADESH","VIZIANAGARM","GANTYADA                                          ","2014-12-28 16:36:22.117"
