"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","rice varieties in rabi","mtu-1121,mtu-1001,mtu-1010","ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM","2014-11-01 14:57:20.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in rice","oshin 80gm/acr","ANDHRA PRADESH","WEST GODAVARI","BHIMAVARAM","2014-11-01 15:22:25.247"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","fetilizers","50gm urea,1kg ssp,500gm potash","ANDHRA PRADESH","WEST GODAVARI","MOGALTHUR","2014-11-01 17:35:26.413"
"RABI","AGRICULTURE","Oilseeds","Mustard","Sowing Time and Weather","sowing time in mustard","recommended October -November","ANDHRA PRADESH","WEST GODAVARI","DENDULURU","2014-11-02 08:17:30.273"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","catterpiller in ground nut","recommended riman 300ml/acre","ANDHRA PRADESH","WEST GODAVARI","DEVARAPALLE","2014-11-02 08:51:00.263"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bph in rice","spray of Dinitofuran(token) 80gm/acr","ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE","2014-11-02 14:25:22.510"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","doma damage","tokin@80g/acre","ANDHRA PRADESH","WEST GODAVARI","MOGALTHUR","2014-11-02 16:39:05.390"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","sucking pest","recomended rogar  2ml/lit water","ANDHRA PRADESH","WEST GODAVARI","PODURU","2014-11-05 11:49:53.267"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","ANDHRA PRADESH","WEST GODAVARI","ELURU","2014-11-05 17:40:00.917"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN","ANDHRA PRADESH","WEST GODAVARI","KOVVUR","2014-11-06 16:09:18.670"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","WEATHER REPORT","NO RAIN","ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA","2014-11-07 08:34:38.347"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","root rot chilli","recomended blitex 3g /lit water","ANDHRA PRADESH","WEST GODAVARI","ELURU","2014-11-08 07:08:36.950"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","CHANCES OF RAINS","ANDHRA PRADESH","WEST GODAVARI","CHAGALLU","2014-11-08 09:10:50.143"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","root rot in chilli","recomended  blitex 3g /lit water","ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI","2014-11-08 11:22:04.260"
"RABI","HORTICULTURE","Fruits","Citrus","Nutrient Management","growthing in citrus","fertilizers urea 1500 grams  super phosphate 60grams 0 potash 800 grams","ANDHRA PRADESH","WEST GODAVARI","JEELUGUMILLI","2014-11-09 15:07:02.243"
