"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","WANTED TO KNOW THE ADRESS OF KVK IN BONGAIGAON DISTRICT OF ASSAM","EXPLAINED IN DETAIL","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-02 15:41:13.847"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","BLIGHT OF TOMATO","ADVISED TO SPRAY INDOFIL M- 45 @ 2 GRAM / LITRE WATER","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-03 12:27:59.877"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","QUERY REGARDING CONTROL MEASURES OF LEAF CURLING IN TOMATO","RECOMMENDED TO ROGOR @ 2 ML PER LITR OF WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-03 17:52:43.503"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT BLIGHT OF TOMATO","ADVICE TO APPLY RODIMILL GOLD @ 2 GM/ LITRE","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-04 17:40:01.027"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","ASKING FOR THE VITAMIN REQUIREMENT OF PADDY","RECOMMENDED TO SPRAY PADDY SPECIAL @ 2GM PER LITRE OF WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-06 10:49:33.170"
"RABI","HORTICULTURE","Vegetables","Beans ","Cultural Practices","CULTURAL PRACTICE OF BEANS","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-07 16:27:57.800"
"RABI","HORTICULTURE","Fruits","Jack Fruit","Cultural Practices","ASKING CULTURAL PRACTICES","EXPLAIN IN DETAILS","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-08 13:24:41.527"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL MEASURE OF FRUIT BORER IN BOTTLE GOURD","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-09 06:52:34.067"
"RABI","HORTICULTURE","Vegetables","Watermelon","Fertilizer Use and Availability","WANTED TO KNOW THE AMOUNT OF FERTILIZER REQUIRED FOR 1 BIGHA WATERMELON","ADVISED TO APPLY 16 KG UREA 30 KG SUPER 10 KG POTASH AND 1 TON COWDANG AS DIRECTED","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-09 15:07:19.887"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING ABOUT SEED RATE","ADVICE TO SOWING SEEDS 3-3.5 QUINTAL/BIGHA","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-10 11:22:27.233"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","Agriculture Mechanization","Asking about the cultivation practices","Explained in details","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-11 08:44:20.250"
"RABI","HORTICULTURE","Vegetables","French Bean","Cultural Practices","QUERY REGARDING CULTURAL PRACTICE IN FRENCH BEAN","EXPLAINED DETAILS","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-11 10:04:11.437"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING FOR THE CONTROL OF BLIGHT IN TOMATO","RECOMMENDED TO SPRAY INDOFIL M-45 @ 2 GM PER LITRE OF WATER","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-11 11:12:34.113"
"RABI","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","ASKING ABOUT CULTURAL PRACTICES","ADVICE TO APPLY UREA 16 KG, SSP 35 KG,10 KG MOP","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-11 13:16:37.723"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING SEED TREATMENT METHOD OF POTATO","TREAT THE POTATO TUBERS WITH INDOFIL M-45 @ 2 GRAM PER LITRE OF WATER SOLUTION FOR 10-15 MINUTES","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-11 15:43:49.247"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","ASKING ABOUT THE CONTROL OF BROOT ROT OF PEA","SUGGEST TO SPRAY BLITOX 50 @ 2 GRAM /LITREA OF WATER","ASSAM","BONGAIGAON","TAPATTARY                                         ","2014-11-12 08:21:39.870"
"RABI","HORTICULTURE","Vegetables","Watermelon","Fertilizer Use and Availability","ASKING RECOMMNEDED FERTILIZER DOSE OF WATERMELON","APPLY RECOMMENDED DOSE OF FERTILIZER-UREA @ 16 KG,SSP @ 35 KG,MOP @ 10 KG,COMPOST @ 1 TONNE PER BIGHA","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-13 13:39:53.290"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING FOR CONTROL OF ANTHRACNOSE","RECOMMENDED HIM TO SPRAY CAPTAF @ 2 GRAM PER LITRE OF WATER","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-14 17:26:48.967"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","ASKING CONTROL OF SCARING BEETLE ATTACK IN BANANA FRUIT","SPRAY MALATHION 50 EC @ 1 ML PER LITRE OF WATER","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-15 09:01:32.410"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER SUPPLY","ADVICE TO CONTACT WITH ADO","ASSAM","BONGAIGAON","TAPATTARY                                         ","2014-11-15 09:51:46.447"
"RABI","HORTICULTURE","Fruits","Papaya","Cultural Practices","ASKING FOR NAME OF HERMOPHRODITE VARIETY OF PAPAYA","RECOMMENDED HIM COORG HONEY DEW","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-15 20:10:06.657"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","asking for control of die back","recommended to drench the soil with captaf @ 2 gram per litre of water","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-16 08:58:31.300"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF POTATO.","EXPLAIN IN DETAILS.","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-16 11:50:26.860"
"RABI","AGRICULTURE","Others","Others","Credit","ASKING ABOUT THE KCC LOAN","EXPLAINED IN DETAILS","ASSAM","BONGAIGAON","Borobazar(Part)","2014-11-16 12:13:46.847"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING CONTROL OF FRUIT ROT IN BRINJAL","SPRAY AMISTAR @ 1 ML PER LITRE OF WATER","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-16 17:46:00.710"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","CULTURAL PRACTICE OF CAULIFLOWER","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-16 19:22:11.833"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Fertilizer Use and Availability","ASKING RECOMMENDED FERTILIZER DOSE OF CAULIFLOWER","APPLY RECOMMNEDED FERTILIZER DOSE FOR CAULIFLOWER- UREA @ 22 KG,SSP @ 50 KG,MOP @ 13 KG,BORAX @ 1 KG, COMPOST @ 2-3 QUINTLE PER BIGHA","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-16 19:34:50.667"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","ASKING ABOUT FERTILZER DOSE","ADVICE TO APPLY UREA=18 KG,SSP=33 KG,MOP=8 KG/BIGHA","ASSAM","BONGAIGAON","Borobazar(Part)","2014-11-19 07:52:27.507"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","PROBLEM OF ANT IN PIGEON PEA.","ADVISED HIM TO APPLY MALATHION 50 EC @ 2 ML / LITRE OF WATER.","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-20 10:50:02.450"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","DISEASE PROBLEM IN BITTER GOURD","SPRAY SAAF @ 1GM/LITRE OF WATER","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-20 11:09:14.187"
"RABI","HORTICULTURE","Vegetables","Cabbage","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF CABBAGE","ADVICE HIM TO APPLY UREA 36 KG, SSP 50 KG, POTASH 14 KG","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-20 12:27:41.913"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Market Information","ASKING ABOUT THE FERTILIZER DOSE FOR LENTIL.","ADVISED HIM TO APPLY 4.5 KG UREA & 30 KG SSP AT THE TIME OF LAND PREPARATION .","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-20 12:32:00.743"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING CONTROL OF ROOT ROT IN POTATO","APPLY BLITOX-50 @ 2 GRAM PER LITRE OF WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-21 18:18:48.313"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL MEASURE OF DISEASE IN POTATO","APPLY INDOFIL M 45 @ 2ML/LTR OF WATER TO PREVENT BLIGHT DISEASE IN POTATO","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-21 18:20:49.627"
"RABI","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","FERTILIZER DOSE OF MUSTARD","SUGGESTED FERTILIZER DOSE AS UREA-12KG,SSP-30KG,MOP-3KG,BORAX-1.5KG/BIGHA","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-22 17:36:22.270"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","QUERY REGARDING APPLICATION OF VITAMIN IN POTATO","RECOMMENDED TO SPRAY TRACEL 2  @ 2 GM PER LITR OF WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-22 18:47:17.930"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","ASKING ABOUT CONTROL MEASURE OF APHID IN BEANS.","SUGGESTED TO SPRAY ROGOR @ 2 ML/LITER OF WATER AND THEN SPRAY TO CONTROL APHID IN BEANS.","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-24 11:43:19.503"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PROBLEM OF BLIGHT IN POTATO.","ADVISED HIM TO APPLY INDOFIL-M-45 @ 2 GM / LITRE OF WATER.","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-24 11:50:19.430"
"RABI","HORTICULTURE","Fruits","Papaya","Seeds and Planting Material","Asking about the planting time of Papaya","Told him that this is not right time of planting of Papaya","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-24 14:17:14.597"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL MEASURES OF LATE BLIGHT","ADVICE TO SPRAY INDOFIL M 45 @ 2 GM/L WATER","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-24 19:06:31.403"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING FOR THE CONTROL OF ROOT ROT IN BRINJAL","RECOMMENDED TO SPRAY BLITOX 50 @ 2 GM PER LITRE OF WATER","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-25 13:24:08.253"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING FOR CONTROL OF CUT WARM","RECOMMENDED HIM TO APPLY MALATHION 5% DUST @ 5 KG PER BIGHA","ASSAM","BONGAIGAON","Sidhli Chirang pt.(Part)","2014-11-26 08:56:59.510"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","INSECT PRST PROBLEM","ADVISED TO SPRAY MALATHION 50 EC @ 2 ML/ LITRE WATER","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-27 11:11:47.147"
"RABI","HORTICULTURE","Vegetables","Spine Gourd","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE FOR SPINE GOURD","APPLY 'UREA 14 KG, SSP 33 KG AND MOP 11 KG' PER BIGHA","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-27 11:43:59.060"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL OF LATE BLIGHT IN POTATO","SPRAY INDOFIL M 45 @ 2 GM PER LITER OF WATER","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-28 09:48:36.923"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL MEASURE OF DISEASE IN BOTTLE GOURD","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-28 11:17:46.247"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","Nutrient Management","Asking about the nutrient management","Spray Tracel-2@ 2ml/lit","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-11-28 11:19:00.050"
"RABI","HORTICULTURE","Vegetables","Potato","Weather","ASKING PREDICTED RAINFALL FOR COMING FEW DAYS","Cloudy sky will prevail during this week; No rainfall is predicted on 29th, 30th November, 1st, 2nd and 3rd December. ‘2014 respectively.","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-28 17:00:54.240"
"RABI","HORTICULTURE","Vegetables","Potato","Weather","ASKING FOR PREDICTED RAINFALL FOR COMING FEW DAYS","Cloudy sky will prevail during this week; No rainfall is predicted on 29th, 30th November, 1st, 2nd and 3rd December. ‘2014 respectively","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-11-28 17:47:58.737"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","ASKING ABOUT THE CONTROL OF BACTERIAL WILT","DRENCH THE SOIL STREPTOMYCIN @ 1 GRAM PER 10 LITRE OF WATER","ASSAM","BONGAIGAON","TAPATTARY                                         ","2014-11-29 08:17:26.180"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASKING FOR THE CROPS TO BE CULTIVATED IN THE PRESENT SEASON","RECOMMENDED TO CULTIVATE BORO RICE,WHEAT,LENTIL,MUSTURD,POTATO,BLACKGRAM,PEA","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-29 11:24:38.217"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","CONTROL MEASURE OF LEAF BORER OF BEAN","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-29 13:01:00.560"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Fertilizer Use and Availability","ASKING ABOUT THE RECOMMENDED FERTILIZER DOSE FOR LENTIL","SUGGESTED THAT RECOMMENDED FERTILIZER DOSE IS LIKE-UREA@4.5 KILOGRAM/BIGHA,SSP@30 KILOGRAM/BIGHA OR ONLY DAP@10 KILOGRAM/BIGHA,FYM@2 QUINTAL/BIGHA.HALF DOSE OF UREA AND FULL DOSES OF SSP AND MOP, FYM SHOULD BE APPLIED AT THE TIME OF LAND PREPARATION AND REMAINING UREA SHOULD BE TOP DRESSED 20-25 DAYS AFTER PLANTING.","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-11-30 11:39:35.820"
"RABI","HORTICULTURE","Vegetables","Watermelon","	Plant Protection	","ASKING ABOUT BLITE IN WATER MELON","ADVICE HIM TO SPRAY RIDOMIL GOLD@ 2ML/1LITRES WATER","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-11-30 15:19:18.043"
