"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Orange","	Plant Protection	","ASKING FOR CONTROL OF TRUNK BORER","RECOMMENDED HIM TO APPLY NUVAN @ 4 ML PER LITRE OF WATER","ASSAM","DARRANG","BECHIMARI                                         ","2014-11-01 07:21:14.573"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING ABOUT THE  FERTILIZER DOSE OF POTATO","EXPLAINED IN DETAILS","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-01 08:18:29.533"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","ASKING ABOUT VETY PROBLEM","TRANSFER TO VETY. EXPERT","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-01 13:21:12.310"
"JAYAD","HORTICULTURE","Condiments and Spices","Pepper","Spices and Condiment Crops","ASKING FOR PLANTING TIME","RECOMMENDED HIM FEB-MARCH","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-02 09:06:33.650"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","ASKING ABOUT THE AGE OF CASTRATION PERIOD OF A CALF.","SUGGESTED THAT THE AGE OF CASTRATION PERIOD OF A CALF IS 2-3 MONTH OF AGE.","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-11-02 09:13:11.550"
"RABI","HORTICULTURE","Vegetables","Knol-Khol","	Plant Protection	","QUERY REGARDING CONTROL MEASURES OF DUNGAL DISEASES IN KNOL KHOL","RECOMMENDED TO SPRAY CAPTAN @ 2 GM PER LITR OF WATER","ASSAM","DARRANG","PACHIM-MANGALDAI                                  ","2014-11-02 09:42:03.890"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING FOR FER DOSE OF POTATO","RECOMMENDED HIM TO APPLY 15 KG DAP, 12 KG UREA, AND 11 KG MOP PER BIGHA","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-02 10:15:43.490"
"JAYAD","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT SEED TREATMENT OF POTATO","ADVICED TO TREAT WITH 'INDOFIL M 45' @ 2 GM PER LITRE OF WATER FOR 10-15 MINUTE","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-03 06:55:39.197"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","AGRIL.QUERY","CALL TRANSFERRED","ASSAM","DARRANG","PUB-MANGALDAI                                     ","2014-11-03 11:51:57.797"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE TO CONTROL PEST IN BITTER GOURD","SUGGESTED TO SPRAY MALATHION 50EC@2 MILILITER/LITER OF WATER FOLLOWED BY WAITING PERIOD FOR 6-7 DAYS","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-11-03 14:32:47.120"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","QUERY REGARDING CONTROL MEASURES OF FRUIT ROT IN BOTTLE GOURD","RECOMMENDED TO SPARY MALATHION 50 EC @ 2 ML PER LITR OF WATER","ASSAM","DARRANG","PACHIM-MANGALDAI                                  ","2014-11-03 18:25:57.080"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING FOR CONTROL OF IMMATURE NUT FALLING","RECOMMENDED HIM TO APPLY 750 GRAM UREA, 1250 GRAM SSP, 875 GRAM MOP AND BORAX 25 GRAM PER PLANT BY RING METHOD","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-04 08:27:59.397"
"RABI","HORTICULTURE","Vegetables","Radish","	Plant Protection	","DISEASE PROBLEM IN RADISH","SPRAY SAAF @ 1GM/LITRE OF WATER","ASSAM","DARRANG","BECHIMARI                                         ","2014-11-04 18:34:51.543"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","ASKING CONTROL MEASURE OF CERCOSPRORA LEAF SPOT IN PEAS","APPLY INDOFIL M-45 @ 2 GRAM PER LITRE OF WATER","ASSAM","DARRANG","BECHIMARI                                         ","2014-11-04 18:53:53.540"
"RABI","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","ASKING  USE OF BIO-ACTIVATOR IN BRINJAL","SPRAY MAHAPHAL @ 2 ML PER LITRE OF WATER","ASSAM","DARRANG","DALGAON-SIALMARI                                  ","2014-11-05 12:23:32.663"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING CONTROL MEASURE OF CROWN CHOCKING IN COCONUT","APPLY BORAX @ 50 GRAM PER TREE ALONG WITH RECOMMENDED FERTILIZER DOSE IN RING METHOD","ASSAM","DARRANG","KALAIGAON  (Pt)","2014-11-05 19:07:57.577"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","AGRIL.QUERY","CALL TRANSFERRED","ASSAM","DARRANG","SIPAJHAR                                          ","2014-11-05 19:11:23.160"
