"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT PEST CONTROL IN POTATO","SUGGESTED TO SPRAY TRICEL @ 2 GM/LITER OF WATER TO CONTROL PEST IN POTATO.","ASSAM","DHEMAJI","DHEMAJI                                           ","2014-12-01 08:10:41.153"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","HORTICULTURE RELATED PROBLEM.","TRANSFER TO HORTICULTURE EXPERT.","ASSAM","DHEMAJI","SISSIBORGAON                                     ","2014-12-01 08:28:40.800"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING FOR USE OF GROWTH PROMOTER","RECOMMENDED HIM TO SPRAY MULTIPLEX POTATO SPECIAL @ 1 TEASPOON PER 2 LITRE OF WATER","ASSAM","DHEMAJI","SISSIBORGAON                                     ","2014-12-01 08:30:29.470"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","ASKING ABOUT THE PLANT PROTECTION IN MUSTARD","CALL TRANSFERRED TO EXPERT","ASSAM","DHEMAJI","DHEMAJI                                           ","2014-12-01 12:47:25.740"
"RABI","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA 8 UREA, SSP 10 KG, MOP 3 KG / BIGHA","ASSAM","DHEMAJI","DHEMAJI                                           ","2014-12-01 12:49:22.037"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL MEASURE OF BLIGHT OF POTATO","SPRAY 'INDOFIL M 45' @ 2 GM PER LITRE OF WATER","ASSAM","DHEMAJI","DHEMAJI                                           ","2014-12-01 13:48:53.770"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","MICRO NUTRIENT REQUIRMENT IN CAULIFLOWER","SPRAY TRACEL 2 @ 2 GM PER LITER OF WATER","ASSAM","DHEMAJI","DHEMAJI                                           ","2014-12-01 17:34:05.840"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","CULTURAL PRACTICE OF POTATO","CALL TRANSFERRED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","DHEMAJI","BORDOLONI                                         ","2014-12-01 19:10:36.200"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","PROBLEM OF FUNGAL WILT IN BRINJAL.","ADVISED HIM TO APPLY BAVISTIN @ 1 TEA SPOON / 3 LITRE OF WATER.","ASSAM","DHEMAJI","DHEMAJI                                           ","2014-12-02 09:09:50.270"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","PROBLEM OF THRIPS IN ONION.","ADVISED HIM TO APPLY MALATHION 50 EC @ 1.5 ML / LITRE OF WATER.","ASSAM","DHEMAJI","MACHKHOWA                                         ","2014-12-02 09:38:32.087"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","PROBLEM OF BACTERIAL WILT IN CHILLI.","ADVISED HIM TO APPLY PLANTOMYCIN @ 1 ML / LITRE OF WATER.","ASSAM","DHEMAJI","BORDOLONI                                         ","2014-12-02 10:02:26.033"
