"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Cabbage","Cultural Practices","asking cultural practices","explain briefly","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-01 06:37:44.360"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","Fertilizer Use and Availability","ASKING FOR CHEMICAL FERT DOSE FOR BOTTLE GOURD","RECOMMENDED HIM TO APPLY16 KG UREA, 46 KG SSP AND 24 KG MOP PER BIGHA","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-01 07:13:58.360"
"RABI","HORTICULTURE","Vegetables","Cabbage","Nursery Management","ASKING FOR NURSERY MANAGEMENT","EXPLAIN IN DETAILS","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-01 09:12:18.640"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","ASKING WHETHER HYBRID SEEDS ARE BETTER OR NOT THAN LOCAL SEEDS","HYBRIDS SEEDS ARE BETTER","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-01 09:44:31.903"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","QUERY REGARDING ANIMAL HUSBANDY","TRANSFERED TO AN EXPERT","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-01 09:52:12.503"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF CAULIFLOWER.","EXPLAIN IN DETAILS.","ASSAM","DIBRUGARH","BORBORUAH                                         ","2014-11-02 06:42:52.233"
"RABI","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","QUERY REGARDING CULTURAL PARCTICE OF MUSHROOM","EXPLAINED DETAILS","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-02 07:11:11.310"
"RABI","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","QUERY REGARDING YOUNG TEA MANAGEMENT","EXPLAINED DETAILS","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-02 07:50:14.270"
"RABI","HORTICULTURE","Vegetables","Pumpkin","Cultural Practices","asking foe spacing","2M X 1M SPACING OF PUMPKIN","ASSAM","DIBRUGARH","LAHOAL                                            ","2014-11-02 08:06:09.200"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","ASKING FOR BACTERIAL WILT","RECOMMENDED HIM TO DRENCH THE SOIL WITH STREPTOMYCIN","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-02 09:11:48.190"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT THE FERTILIZER USES IN MUSTARD OILSEEDS.","SUGGESTED TO APPLY 12 KG UREA, 30KG SSP AND3KG MOP AND ALSO APPLY 1-1.3KG BORAX.","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-02 09:52:30.120"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","agril.query","call transferred","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-02 11:45:56.920"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","asking about fungal disease of bottle gourd","advice to apply score @ 1ml / litre","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-02 13:38:34.730"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","RICE STEM BORER","ADVISED TO SPRAY CLASSIC-20 @ 2 ML/ LITRE WATER","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-02 15:44:47.333"
"RABI","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","asking about fetilizer dose of mustard","urea 18 kg, ssp 33 kg  mop 9 kg","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-02 15:45:49.813"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FUNGAL WILT OF BRINJAL","ADVISED TO SPRAY BAVISTIN @ 2GRAM / LITRE WATER","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-02 15:56:11.107"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","PLANTING PROCESS OF COCONUT","EXPLAINED IN DETAILS","ASSAM","DIBRUGARH","JOYPUR                                            ","2014-11-02 18:12:40.250"
"RABI","HORTICULTURE","Vegetables","Cabbage","Nutrient Management","MICRONUTRIENT FOR CABBAGE","SPRAY MULTIPLEX BORON @ 2GM/LITRE OF WATER","ASSAM","DIBRUGARH","PANITOLA                                          ","2014-11-03 08:16:26.223"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","ASKING ABOUT PEST CONTROL IN BEANS.","SUGGESTED TO SPRAY MALATHION 50 EC @ 2 ML /LITER OF WATER AND THEN SPRAY.","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-03 09:00:00.523"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","INSECT PEST PROBLEM","ADVISED TO SPRAY MALATHION50 EC 2ML / LITRE WATER","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-03 11:46:28.480"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING CONTROL OF LEAF MINER ATTACK IN BRINJAL","SPRAY AZACEL 3000 @ 5 ML PER LITRE OF WATER","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-03 17:37:15.203"
"RABI","HORTICULTURE","Vegetables","Cabbage","Nutrient Management","ASKING ABOUT FRUIT CRACKING","ADVICE TO APPLY CROP BOSTER @ 2ML / LITRE","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-03 19:18:07.107"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT GROWTH REGULATOR OF POTATO","ADVICE TO APPLY CROP BOOSTER @ 2ML / LITRE","ASSAM","DIBRUGARH","BORBORUAH                                         ","2014-11-03 20:10:14.010"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","CONTROL MEASURES OF FRUIT DROP","ADVICE TO APPLY BORAX @ 50 GM/PLANT","ASSAM","DIBRUGARH","LAHOAL                                            ","2014-11-04 07:53:13.103"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT THE CONTROL OF INSECT IN POTATO.","SUGGESTED TO APPLY MALATHION POW@ 4KG PER BIGHA OF LAND.","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-04 18:32:19.363"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE TO CONTROL BACTERIAL               WILT DISEASE IN TOMATO","SUGGESTED TO SPRAY STREPTOCYCLIN (STREPTOMYCIN SULPHATE)@200 MILIGRAM/LITER OF WATER AT 15 DAYS INTERVAL","ASSAM","DIBRUGARH","BORBORUAH                                         ","2014-11-05 10:28:38.697"
"KHARIF","AGRICULTURE","Oilseeds","Toria","Fertilizer Use and Availability","ASKING ABOUT THE RECOMMENDED FERTILIZER DOSE FOR TORIA","SUGGESTED ABOUT THE RECOMMENDED FERTILIZER DOSE LIKE-UREA@12 KILOGRAM/BIGHA,SSP@30 KILOGRAM/BIGHA,MOP@3 KILOGRAM/BIGHA","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-05 11:00:31.583"
"RABI","HORTICULTURE","Vegetables","Cabbage","Cultural Practices","ASKING CULTURAL PRACTICES","EXPLAIN BRIEFLY","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-05 12:59:25.693"
"RABI","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","AGRIL.QUERY","CALL TRANSFERRED","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-05 18:22:01.380"
"RABI","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","ASKING ABOUT THE POND MANAGEMENT","EXPLAINED IN DETAILS","ASSAM","DIBRUGARH","BORBORUAH                                         ","2014-11-05 18:36:38.537"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL MEASURES OF LEAF CURL","ADVICE TO SPRAY ROGOR @ 2 ML/L WATER","ASSAM","DIBRUGARH","LAHOAL                                            ","2014-11-06 12:00:12.620"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","ASKING ABOUT THE CULTIVATION PRACTICES OF BRINJAL","GIVEN IN DETAILS ABOUT THE PACKAGE OF PRACTICES","ASSAM","DIBRUGARH","TENGAKHAT                                         ","2014-11-06 15:32:32.100"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING FOR CONTROL OF BACTERIAL WILT","DRENCH THE SOIL WITH STREPTOMYCIN @ 1 GRAM PER 10 LITRE OF WATER","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-06 17:22:18.700"
"JAYAD","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE FOR RAYA","'UREA 13 KG, SSP 30 KG, MOP 3 KG' PER BIGHA","ASSAM","DIBRUGARH","KHOWANG                                           ","2014-11-06 18:53:54.550"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","ASKING CONTROL OF LOOPER ATTACK IN CABBAGE","SPRAY CLASSIC 20 EC @ 2 ML PER LITRE OF WATER","ASSAM","DIBRUGARH","PANITOLA                                          ","2014-11-07 11:18:28.450"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL MEASURE OF FRUIT DROP OF COCONUT","APPLY 'UREA 750 GM, SSP 1250 GM, MOP 900 GM, BORUX 25 GM AND COWDUNG 15 KG' PER PLANT IN RING METHOD","ASSAM","DIBRUGARH","LAHOAL                                            ","2014-11-08 10:01:15.240"
"RABI","ANIMAL HUSBANDRY","Animal","Pig","Disease Management","ASKING ABOUT VETY. PROBLEM","TRANSFER TO VETY. EXPERT","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-08 12:12:37.087"
"KHARIF","ANIMAL HUSBANDRY","Animal","Pig","Disease Management","Asking about the medicine for pig","Advice-Ciplox eye drop-instill 2 drop thrice daily x5 days. Sinarest tab.-1 tab thrice daily x3 days.","ASSAM","DIBRUGARH","TINGKHONG                                         ","2014-11-08 12:18:53.990"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL MEASURE OFLEAF CURLING","SPRAY 'ROGOR' @ 2 ML PER LITRE OF WATER","ASSAM","DIBRUGARH","BORBORUAH                                         ","2014-11-08 17:38:36.107"
