"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","ASKING FOR USE OF BORAX","RECOMMENDED HIM TO SPRAY MULTIPLEX BORON @ 5 GRAM PER LITRE OF WATER","ASSAM","JORHAT","UJANI MAJULI                                      ","2014-12-01 08:10:23.040"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","HORTICULTURE RELATED PROBLEM.","TRANSFER TO HORTICULTURE EXPERT.","ASSAM","JORHAT","UJANI MAJULI                                      ","2014-12-01 08:12:44.587"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT STEM ROT","ADVICE TO APPLY BLITOX 50 @ 2 ML / LITRE","ASSAM","JORHAT","JORHAT EAST                                       ","2014-12-01 10:21:41.310"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","asking about the cultural practices of tomato","advice him to apply urea 22 kg, ssp 50 kg, mop 11 kg","ASSAM","JORHAT","TITABOR                                           ","2014-12-01 10:34:56.150"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","ASKING ABOUT APHID INFESTATION","ADVICE TO APPLY TUFGOR @ 2ML /LITRE","ASSAM","JORHAT","TITABOR                                           ","2014-12-01 11:02:56.463"
"RABI","HORTICULTURE","Vegetables","Chillies","Cultural Practices","ASKING ABOUT VARIETY OF CHILLI","ADVICE TO APPLY ANY VARIETY OF MAHICO COMPANY","ASSAM","JORHAT","NORTH WEST JORHAT                                 ","2014-12-01 11:10:55.597"
"RABI","HORTICULTURE","Vegetables","French Bean","	Plant Protection	","PROBLEM OF FUNGAL WILT IN FRENCH BEAN","ADVISED HIM TO APPLY BAVISTIN @ 1 TEA SPOON / 3 LITRE OF WATER.","ASSAM","JORHAT","MAJULI                                            ","2014-12-01 11:16:42.530"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","ASKING ABOUT THE FERTILIZER DOSE FOR ONION.","ADVISED HIM TO APPLY 25 QTL COMPOST,8 KG UREA,40 KG SSP & 10 KG MOP AT THE TIME OF LAND PREPARATION AGAIN 8 KG UREA AFTER  PLANTING OF 30-40 DAYS .","ASSAM","JORHAT","JORHAT CENTRAL                                    ","2014-12-01 11:36:23.253"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	",". ASKING ABOUT THE CONTROL MEASURE TO CONTROL IMMATURE FRUIT DROP PROBLEM IN COCONUT AT THE AGE OF 5 YEARS","SUGGESTED TO APPLY RECOMMENDED FERTILIZER LIKE-UREA@1.5 KILOGRAM/PLANT,SSP@2.5 KILOGRAM/PLANT,MOP@1.75 KILOGRAM/PLANT,BORAX@50GRAM/PLANT.FERTILIZER SHOULD BE APPLIED IN TWO EQUAL HALVES TWICE IN A YEAR TO A TRENCH OF 10-12 CENTIMETER DEPTH,30 CENTIMETER BREADTH WITH A RADIUS OF 1-1.75 METER  AWAY FROM THE MAIN TRUNK.","ASSAM","JORHAT","MAJULI                                            ","2014-12-01 13:17:37.457"
"RABI","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","ASKING FOR THE VITAMIN REQUIREMENT OF BRINJAL","RECOMMENDED TO SPRAY TRACEL 2 @ 2GM PER LITRE OF WATER","ASSAM","JORHAT","KALIAPANI                                         ","2014-12-01 14:15:50.263"
