"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING FOR FERT DOSE OF MUSTARD","RECOMMENDED HIM TO APPLY 8 KG UREA, 10 KG DAP, 3 KG MOP AND 1.3 KG BORAX PER BIGHA","ASSAM","KAMRUP METROPOLITAN","Chandarpur","2014-11-01 09:51:45.480"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING FOR CONTROL OF SOIL PEST","RECOMMENDED HIM TO APPLY MALATHION 5% DUST","ASSAM","KAMRUP METROPOLITAN","Chandarpur","2014-11-01 09:58:28.317"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT FREE SEEDS","ADVICE TO CONTACT WITH KVK","ASSAM","KAMRUP METROPOLITAN","","2014-11-01 13:08:15.210"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","AGRIL.QUERY","CALL TRANSFERRED","ASSAM","KAMRUP METROPOLITAN","Chandarpur","2014-11-02 13:30:36.550"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","agril.query","call transferred","ASSAM","KAMRUP METROPOLITAN","Dimoria","2014-11-03 14:02:05.447"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","ASKING FOR THE VITAMIN REQUIREMENNT OF ASHGOURD","RECOMMENDED TO SPRAY TRACEL 2 @ 2 GM PER LITRE","ASSAM","KAMRUP METROPOLITAN","Chandarpur","2014-11-04 12:23:45.130"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","ASKING FOR USE OF FERT","APPLY 750 GRAM UREA, 1250 GRAM SSP, 875 GRAM MOP AND BORAX 25 GRAM PER PLANT BY RING METHOD TWICE IN A YEAR","ASSAM","KAMRUP METROPOLITAN","Chandarpur","2014-11-06 08:40:16.987"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","WANTED TO REGISTER HIS NAME IN KCC","REGISTERED HIS NAME IN KCC","ASSAM","KAMRUP METROPOLITAN","Dimoria","2014-11-11 12:10:06.050"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LEAF CURL DISEASE IN POTATO.","SUGGESTED TO SPRAY BAVISTIN @ 2 GM/LITER OF WATER FOR THE TREATMENT OF LEAFCURL DISEASE.","ASSAM","KAMRUP METROPOLITAN","Rani(Part)","2014-11-11 13:29:26.010"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","ASKING ABOUT THE CONTROL OF FRUIT FLY IN BOTLE GOURD","ADVISED TO SPRAY MALATHION 50 EC 2 2ML/LITRES OF WATER","ASSAM","KAMRUP METROPOLITAN","Dimoria","2014-11-14 12:21:04.220"
