"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","FERTILIZER DOSE FOR CHILLI","UREA- 20KG (BASAL DOSE- 10 KG, AFTER ONE MONTH 5KG AND ANOTHER 5KG BEFORE FLOWERING), SSP- 33KG, MOP- 13KG, COMPOST- 2 QTL","ASSAM","KAMRUP","HAJO                                              ","2014-12-01 09:09:53.327"
"RABI","HORTICULTURE","Vegetables","Knol-Khol","	Plant Protection	","ASKING ABOUT CRACKING OF OF KNOL KHOL","ADVICE TO APPLY BORON @ 2GM / LITRE","ASSAM","KAMRUP","CHAMARIA(PT.)                                     ","2014-12-01 10:25:33.023"
"RABI","HORTICULTURE","Vegetables","Pumpkin","Cultural Practices","ASKING ABOUT SPACING OF PUMKIN","ADVICE TO APPLY 3 METRE BY 1 METRE","ASSAM","KAMRUP","RANGIA                                            ","2014-12-01 11:17:52.210"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","CONTROL MEASURE OF FUNGAL WILT OF BEANS","SPRAY 'BAVISTIN' @ 2 GM PER LITRE OF WATER","ASSAM","KAMRUP","BIHDIA                                            ","2014-12-01 12:38:45.957"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","ASKING ABOUT GROWTH REGULATOR","ADVICE TO APPLY TRACEL 2 @ 2ML / LITRE","ASSAM","KAMRUP","BIHDIA                                            ","2014-12-01 15:08:24.883"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","PROBLWEM OF LEAF ROT .","ADVISED HIM TO APPLY AMISTER @ 1 ML / LITRE OF WATER.","ASSAM","KAMRUP","DIMORIA(PT.)                                      ","2014-12-01 15:48:57.963"
"RABI","HORTICULTURE","Vegetables","Indian Bean (Vegetable)","	Plant Protection	","ASKING FOR CONTROL OF PEST IN VEGETABLES","RECOMMENDED HER TO SPRAY MALATHION 50 EC @ 2 ML PER LITRE OF WATER","ASSAM","KAMRUP","DIMORIA(PT.)                                      ","2014-12-01 17:28:00.523"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL MEASURE OF LEAF CURLING OF POTATO","SPRAY 'ROGOR' @ 2 ML PER LITRE OF WATER","ASSAM","KAMRUP","BEZERA                                            ","2014-12-01 17:29:19.230"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE ON BOTH SIDE OF LEAVES AFTER 15 DAYS INTERVAL","ASSAM","KAMRUP","BOKO                                              ","2014-12-01 18:02:37.317"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING FOR CONTROL OF APHID","RECOMMENDED HIM TO SPRAY ROGOR @ 1.5 ML PER LITRE OF WATER","ASSAM","KAMRUP","GORESWAR                                          ","2014-12-01 18:02:45.793"
