"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING ABOUT APHID INFESTATION","ADVICE TO APPLY MALATHION @ 2ML / LITRE","ASSAM","KARBI-ANGLONG","HOWRAGHAT                                         ","2014-12-01 10:28:25.770"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","CONTROL MEASURE OF LEAF EATING CATERPILLER OF CAULIFLOWER","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-01 12:48:42.930"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT BLIGHT OF TOMATO","ADVICE TO APPLY INDOFILL M 45 @ 2ML / LITRE","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-01 13:08:18.790"
"RABI","HORTICULTURE","Vegetables","Chillies","Cultural Practices","ASKING FOR SEED TREATMENT","RECOMMENDED HIM TO TREAT THE SEEDS WITH CAPATF @ 3 GRAM PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-01 17:24:40.667"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","ASKING FOR MANDI ABOUT SESAMUM","i WILL PUT SESAMUM IN MANDI AND FROM THAT YOU WILL GET THE MANDI RATE THROUGH MOBILE","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-01 17:44:04.533"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING FOR CONTROL OF LEAF CURLING","RECOMMENDED HIM TO SPRAY ROGOR @ 1.5 ML PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","AMRI                                              ","2014-12-02 09:38:49.980"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","CONTROL MEASURE OF PEST OF BITTER GOURD","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 10:46:31.080"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL MEASURE OF FRUIT BORER OF BOTTLE GOURD","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-02 19:37:16.547"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL MEASURE OF FRUIT BORER OF BOTTLE GOURD","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-02 19:37:50.677"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT MICRONUTRIENT REQUIREMENT FOR POTATO","SPRAY 'MULTIPLEX POTATO SPECIAL' @ 2 GM PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-02 19:39:40.103"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","ASKING FOR CONTROL OF LEAF EATING CATERPILLAR","RECOMMENDED HIM TO SPRAY MALATHION 50 EC @ 2 ML PER LITRE OF WATER","ASSAM","KARBI-ANGLONG","BOKAJAN                                           ","2014-12-02 19:52:45.250"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:53:35.260"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:33.633"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:33.760"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:33.880"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.007"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.147"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.240"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.397"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.520"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.677"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.787"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:34.970"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:35.113"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:35.237"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:35.423"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:35.550"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:35.627"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT LATE BLIGHT OF POTATO","ADVICE TO APPLY INDOFILL M 45 @ 2 ML / LITRE","ASSAM","KARBI-ANGLONG","CHINTHONG                                         ","2014-12-02 19:55:35.787"
