"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","ASKING CULTURAL PRACTICES","EXPLAIN BRIEFLY","ASSAM","LAKHIMPUR","BOGINADI                                          ","2014-11-01 07:32:55.667"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING FOR FERT DOSE FOR MUSTARD","RECOMMENDED HIM TO APPLY 8 KG UREA, 10 KG DAP, 3 KG MOP AND 1.3 KG BORAX PER BIGHA","ASSAM","LAKHIMPUR","TELAHI                                            ","2014-11-01 07:40:02.183"
"RABI","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","QUERY REGARDING CULTURAL PRACTICE OF TEA","EXPLAINED DETAILS","ASSAM","LAKHIMPUR","BOGINADI                                          ","2014-11-01 11:00:34.157"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA=12 KG,SSP=30 KG,MOP=3 KG,BORAX 1.3 KG/BIGHA","ASSAM","LAKHIMPUR","TELAHI                                            ","2014-11-01 12:14:39.063"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT FERTILZER DOSE","ADVICE TO APPLY URA=12,SSP=30,MOP=3 KG/BIGHA","ASSAM","LAKHIMPUR","NARAYANPUR                                        ","2014-11-01 12:21:37.013"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL MEASURES OF BACTERIAL WILT","ADVICE TO SPRAY STREPTOMYCIN @ 1 GM/10 L WATER","ASSAM","LAKHIMPUR","DHAKUAKHANA                                       ","2014-11-01 12:33:25.300"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","CONTROL MEASURES OF TRUNK BORER","ADVICE TO BLOCK WITH COOTON WHICH IS DIPPED IN KEROSENE OIL.","ASSAM","LAKHIMPUR","KARUNABARI                                        ","2014-11-01 13:13:24.423"
"RABI","HORTICULTURE","Plantation Crops","Tea","	Plant Protection	","ASKING ABOUT GOOD GROWTH","ADVICE TO SPRAY ISABION @ 3 ML/L WATER","ASSAM","LAKHIMPUR","NOWBOICHA                                         ","2014-11-01 13:33:55.233"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT FERTILZER DOSE","ADVICE TO APPLY UREA=8 KG,DAP=10 KG,MOP=3 KG/BIGHA","ASSAM","LAKHIMPUR","DHAKUAKHANA                                       ","2014-11-01 13:46:52.457"
"RABI","HORTICULTURE","Vegetables","Cabbage","Fertilizer Use and Availability","ASKING ABOUT FERTILZER DOSE","ADVICE TO APPLY UREA=36,SSP=50,MOP=13 KG/BIGHA","ASSAM","LAKHIMPUR","LAKHIMPUR                                         ","2014-11-01 14:00:24.543"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL MEASURE OF PEST INFESTATION IN BRINJAL","CALL TRANSFERED TO AGRIL. EXPERT","ASSAM","LAKHIMPUR","DHAKUAKHANA                                       ","2014-11-01 14:57:32.540"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","asking about pest of brinjal","advice to apply malathion @ 2ml / liter","ASSAM","LAKHIMPUR","DHAKUAKHANA                                       ","2014-11-01 15:17:39.233"
"RABI","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","ASKING ABOUT FERTILIZER DOSE OF MUSTARD","UREA 12 KG,SSP 30 KG,3 MOP","ASSAM","LAKHIMPUR","NARAYANPUR                                        ","2014-11-01 15:26:14.760"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","Cultural Practices","ASKING FOR CULTURAL PRACTICES","EXPLAIN BRIEFLY","ASSAM","LAKHIMPUR","BIHPURIA                                          ","2014-11-02 11:40:15.990"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","FUNGAL WILT OF TOMATO","ADVISED TO SPRAY BAVISTIN @ 2 GRAM / LITRE WATER","ASSAM","LAKHIMPUR","GHILAMARA                                         ","2014-11-02 11:44:37.887"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING ABOUT USE OF BIO-ACTIVATOR IN BRINJAL","APPLY MAHAPHAL @ 2 ML PER LITRE OF WATER","ASSAM","LAKHIMPUR","LAKHIMPUR                                         ","2014-11-02 13:52:31.133"
"RABI","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","ASKING APPLICATION OF BIO-ACTIVATOR IN BRINJAL PLANTATION","SPRAY MAHAPHAL @ 2 ML PER LITRE OF WATER 20-25 DAYS AFTER TRANSPLANTING","ASSAM","LAKHIMPUR","NARAYANPUR                                        ","2014-11-02 15:46:51.730"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","Cultural Practices","PLANTING TIME OF GINGER","PROPER PLANTING TIME OF GINGER AS MARCH-APRIL","ASSAM","LAKHIMPUR","NARAYANPUR                                        ","2014-11-02 21:26:18.777"
"JAYAD","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","CONTROL MEASURE OF FRUIT FLY IN PUMPKIN","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","LAKHIMPUR","NARAYANPUR                                        ","2014-11-03 07:23:27.840"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL MEASURE OF LEAF BORER IN TOMATO","SPRAY 'MALATHION 50 EC' @ 2 ML PER LITRE OF WATER","ASSAM","LAKHIMPUR","DHAKUAKHANA                                       ","2014-11-03 09:43:23.767"
