"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","ASKING ABOUT THE CULTURAL PRACTICES OF ASH GOURD","ADVICE HIM TO USE QUALITY SEED FOR BETTER PRODUCTION","ASSAM","NALBARI","BARKHETRI                                         ","2014-12-01 08:34:44.293"
"RABI","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA 8 KG, SSP 10, MOP 3 KG / BIGHA","ASSAM","NALBARI","BARKHETRI                                         ","2014-12-01 10:45:55.147"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","ASKING FOR THE CONTROL OF CUTWORMS IN CAULIFLOWER","RECOMMENDED TO SPRAY MALATHION 5 % DUST @ 2 GM PER BIGHA","ASSAM","NALBARI","PASCHIM NALBARI                                   ","2014-12-01 12:54:57.060"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","ASKING ABOUT APHID INFESTATION","ADVICE TO APPLY MALATHION 50 EC @ 2 ML / LITRE","ASSAM","NALBARI","PASCHIM NALBARI                                   ","2014-12-01 12:58:33.963"
"RABI","HORTICULTURE","Vegetables","Knol-Khol","	Plant Protection	","CONTROL OF TERMITE IN KNOL KHOL","SPRAY TRICEL 20 @ 3 ML PER LITER OF WATER","ASSAM","NALBARI","PASCHIM NALBARI                                   ","2014-12-01 15:25:11.627"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","VATERINARY PROBLEM.","REGISTERED,CALL TRANSEFERED TO THE EXPERT FOR FURTHER DISCUSSION.","ASSAM","NALBARI","BASKA                                             ","2014-12-01 16:16:40.397"
"RABI","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","CONTROL OF DOWNY MILDEW IN COWPEA","SPRAY BAVISTIN @ 2 GM PER LITER OF WATER","ASSAM","NALBARI","PASCHIM NALBARI                                   ","2014-12-01 17:36:28.957"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING FOR GOVT SUBSIDISED SCHEME OF AGRICULTURE","RECOMMENDED HIM TO CONTACT OFFICE OF THE DISTRICT AGRICULTURE OFFICER","ASSAM","NALBARI","BASKA                                             ","2014-12-01 17:50:59.147"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","FERTILIZER REQUIRMENT IN PEA","APPLY UREA 4 KG, SSP 40 KG AND MOP 2 KG PER BIGHA","ASSAM","NALBARI","MADHUPUR                                          ","2014-12-01 18:50:23.990"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","ASKING ABOUT FERTILIZER","ADVICE TO APPLY UREA 19,SSP 45, MOP 12 / BIGHA","ASSAM","NALBARI","BARKHETRI                                         ","2014-12-01 19:01:06.500"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING ABOUT STEM ROT","ADVICE TO APPLY BLITOX 50 @ 2GM / LITRE","ASSAM","NALBARI","BARKHETRI                                         ","2014-12-01 19:05:27.457"
"RABI","HORTICULTURE","Vegetables","Cabbage","Training and Exposure Visits","SEEKING TRAINING ON RABI CROP","ADVISED TO KVK, NALBARI","ASSAM","NALBARI","TAMULPUR                                          ","2014-12-01 19:26:53.290"
"RABI","HORTICULTURE","Vegetables","Lettuce","Cultural Practices","ASKING ABOUT LOW PRODUCTION","ADVICE FOR SOIL TESTING ABD ADVICE TO GO FERTILIZER APPLICATION BEFORE SOWING OF SEED","ASSAM","NALBARI","BASKA                                             ","2014-12-01 19:36:42.933"
"RABI","AGRICULTURE","Oilseeds","Mustard","Nutrient Management","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY  UREA 12 KG, SSP 30 KG, MOP 3 KG / BIGHA","ASSAM","NALBARI","MADHUPUR                                          ","2014-12-01 20:38:57.187"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA UREA 19 KG, SSP 45 KG, MOP 12 KG / BIGHA","ASSAM","NALBARI","MADHUPUR                                          ","2014-12-01 21:02:23.807"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","CONTROL MEASURE OF PEST","SPRAY MALATHION 50EC @ 2ML/LTR WATER","ASSAM","NALBARI","PASCHIM NALBARI                                   ","2014-12-02 08:19:53.930"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","MICRONUTRIENT FOR POTATO","APPLY 'MULTIPLEX POTATO SPECIAL' @ 2GM/LTR WATER FOR BETTER GROWTH","ASSAM","NALBARI","BASKA                                             ","2014-12-02 08:32:19.230"
"RABI","HORTICULTURE","Vegetables","Cabbage","Government Schemes","WANTED TO KNOW ABOUT GOVT SCHEME","ADVISED TO VISIT DIST. AGRIL. OFFICE","ASSAM","NALBARI","BARKHETRI                                         ","2014-12-02 10:33:06.493"
"RABI","AGRICULTURE","Oilseeds","Toria","Fertilizer Use and Availability","ASKING ABOUT THE RECOMMENDED FERTILIZER DOSE FOR TORIA","SUGGESTED ABOUT THE RECOMMENDED FERTILIZER DOSE LIKE-UREA@12 KILOGRAM/BIGHA,SSP@30 KILOGRAM/BIGHA,MOP@3 KILOGRAM/BIGHA","ASSAM","NALBARI","BARKHETRI                                         ","2014-12-02 12:50:33.700"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT THE FERTILIZERS DOSE IN MUSTARD","ADVICE HIM TO APPLY UREA 12 KG, SSP 30 KG, MOP 3 KG ,BORAX 1.5 KG","ASSAM","NALBARI","PUB NALBARI                                       ","2014-12-02 14:03:59.473"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT THE CULTURAL PRACTICES OF POTATO","ADVICE HIM TO SPRAY TRACEL 2 @ 2GM PER LITRES OF WATER AFTER 35 TO 45 DAYS","ASSAM","NALBARI","BARIGOG BANBHAG                                   ","2014-12-02 17:32:56.780"
