"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","ASKING CULTURAL PRACTICES","EXPLAIN BRIEFLY","ASSAM","SIVASAGAR","SONARI                                            ","2014-11-01 09:47:40.420"
"RABI","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","ASKING ABOUT TEA CONSULT","TRANSFER TO TEA EXPERT","ASSAM","SIVASAGAR","SONARI                                            ","2014-11-01 12:29:41.290"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","FERTILIZER DOSE FOR POTATO","UREA 19 KG, SUPER 45KG, POTAS 12 KG AND RCW 2 QTL","ASSAM","SIVASAGAR","DEMOW                                             ","2014-11-01 12:38:37.460"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL MEASURES OF RICE HISPA","ADVICE TO SPRAY CHLORPYRIPHOS 20 EC @ 2 ML/L WATER","ASSAM","SIVASAGAR","SIVASAGAR                                         ","2014-11-01 14:04:51.497"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","PEST INFESTATION IN CHILLI","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","SIVASAGAR","SIVASAGAR                                         ","2014-11-01 14:55:11.060"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","QUERY REGARDING CULTURAL PRACTICE OF BRINJAL","EXPLAINED DETAILS","ASSAM","SIVASAGAR","AMGURI                                            ","2014-11-02 07:58:14.303"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","asking about pest of brinjal","advice to apply ekalux @ 2ml / litre","ASSAM","SIVASAGAR","SAPEKHATI                                         ","2014-11-02 14:54:35.020"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","INSECT PEST PROBLEM","ADVISED TO APPLY MALATHION 50 EC @ 2 ML / LITRE WATER","ASSAM","SIVASAGAR","SAPEKHATI                                         ","2014-11-02 15:02:27.597"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","FUNGAL WILT PROBLEM IN BEANS","SOIL DRENCHING WITH BAVISTIN @ 1GM/LITRE OF WATER","ASSAM","SIVASAGAR","NAZIRA                                            ","2014-11-02 16:55:18.280"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL MEASURE OF PEST IN BRINJAL","APPLY MALATHION 50EC @ 2ML/LTR OF WATER","ASSAM","SIVASAGAR","SONARI                                            ","2014-11-03 07:12:40.780"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","CONTROL MEASURE OF FUNGAL DISEASE IN BEANS","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","SIVASAGAR","SONARI                                            ","2014-11-03 10:06:04.933"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","FUNGAL WILT PROBLEM IN BEANS","SOIL DRENCHING WITH BAVISTIN @ 1GM/LITRE OF WATER","ASSAM","SIVASAGAR","SONARI                                            ","2014-11-03 10:08:40.877"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING ABOUT THE RECOMMENDED FERTILIZER DOSE FOR BHUT CHILLI","SUGGESTED THAT RECOMMENDED FERTILIZER DOSE IS LIKE-UREA@30 KILOGRAM/BIGHA,SSP@50 KILOGRAM/BIGHA,MOP@13 KILOGRAM/BIGHA,FYM@2 QUINTAL/BIGHA.HALF DOSE OF UREA AND FULL DOSES OF SSP AND MOP,FYM SHOULD BE APPLIED AT THE TIME OF LAND PREPARATION AND REMAINING UREA SHOULD BE TOP DRESSED 20-25 DAYS AFTER PLANTING","ASSAM","SIVASAGAR","LAKWA                                             ","2014-11-03 11:22:14.153"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","AGRIL.QUERY","CALL TRANSFERRED","ASSAM","SIVASAGAR","NAZIRA                                            ","2014-11-03 19:40:50.567"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","agril.query","call transferred","ASSAM","SIVASAGAR","AMGURI                                            ","2014-11-03 19:47:39.267"
"RABI","HORTICULTURE","Fruits","Papaya","Cultural Practices","agril.query","call transferred","ASSAM","SIVASAGAR","GAURISAGAR                                        ","2014-11-03 19:50:00.630"
"RABI","HORTICULTURE","Fruits","Papaya","Cultural Practices","CULTURAL PRACTICES OF PAPAYA","EXPLAINED IN DETAILS","ASSAM","SIVASAGAR","GAURISAGAR                                        ","2014-11-03 19:58:02.630"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","AGRIL.QUERY","CALL TRANSFERRED","ASSAM","SIVASAGAR","AMGURI                                            ","2014-11-03 20:18:12.690"
"RABI","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","CONTROL MEASURES RED ANTS","ADVICE TO APPLY MALATHION POWDER @ 2 KG/BIGHA","ASSAM","SIVASAGAR","NAZIRA                                            ","2014-11-04 07:47:04.580"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","horticulture related problem.","TRANSFER TO HORTICULTURE EXPERT.","ASSAM","SIVASAGAR","SONARI                                            ","2014-11-04 09:29:27.520"
