"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING FOR CONTROL FUNGAL WILT","RECOMMENDED HIM TO DRENCH THE SOIL WITH CAPTAF @ 2 GRAM PER LITRE OF WATER","ASSAM","SONITPUR","NADUAR                                            ","2014-12-01 07:20:42.310"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL MEASURE BACTERIAL WILT","SPRAY PLANOMYCINE @ 1GM/10 LITER WATER","ASSAM","SONITPUR","BALIPARA                                          ","2014-12-01 08:13:17.583"
"RABI","HORTICULTURE","Vegetables","Knol-Khol","Nutrient Management","MICRONUITRIENT FOR KNOL-KHOL","SPRAY MULTIPLEX BORON @ 2GM PER LITRE OF WATER","ASSAM","SONITPUR","BAGHMARA                                          ","2014-12-01 08:41:28.043"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PRECAUTIONARY MEASURE OF BLIGHT OF POTATO","SPRAY DIATHEN M-45 @ 2GM PER LITRE OF WATER","ASSAM","SONITPUR","NADUAR                                            ","2014-12-01 08:46:50.970"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CONTROL MEASURE OF DISEASE","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","SONITPUR","BALIPARA                                          ","2014-12-01 09:04:42.783"
"RABI","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","ASKING ABOUT THE CULTURAL PRACTICES OF BRINJAL","ADVICE HIM TO APPLY UREA 15 KG, SSP 42 KG,MOP 11 KG ,BORAX 1.5 KG","ASSAM","SONITPUR","BORCHALA                                          ","2014-12-01 09:05:54.063"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TOP DRESSING OF UREA IN TOMATO","TOP DRESS UREA-5KG PER BIGHA","ASSAM","SONITPUR","BALIPARA                                          ","2014-12-01 09:05:59.767"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ASKING ABOUT THE MICRONUTRIENTS IN BITTER GOURD","ADVICE HIM TO SPRAY TRACEL 2 @ 2GM PER LITRES OF WATER","ASSAM","SONITPUR","RANGAPARA                                         ","2014-12-01 09:10:56.740"
"RABI","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","QUALITY SEED MATERIAL OF CHILLI","PUSA JWALA, SURJYAMUKHI, KRISHNA ETC","ASSAM","SONITPUR","BEHALI                                            ","2014-12-01 09:21:07.903"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PRECAUTION FOR BLIGHT","SPARY INDOFIL M 45 @ 2GM/LTR WATER AT MONTHLY DOSE","ASSAM","SONITPUR","GABHORU                                           ","2014-12-01 09:27:30.347"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","ASKING SEED RATE OF POTATO","RECOMMENDED HIM 3.5 QT PER BIGHA","ASSAM","SONITPUR","DHEKIAJULI                                        ","2014-12-01 09:43:14.230"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PROBLEM OF BLIGHT IN POTATO.","ADVISED HIM TO APPLY INDOFIL-M-45 @ 2 GM / LITRE OF WATER.","ASSAM","SONITPUR","GABHORU                                           ","2014-12-01 10:28:25.770"
