"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","AURANGABAD","RAFIGANJ                                          ","2014-11-01 15:15:30.037"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","AURANGABAD","DEO                                               ","2014-11-01 15:44:11.593"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","Weed management in onion-","Weed management in onion- spray oxy phlorophen @1.5 ml in 1 litre of water","BIHAR","AURANGABAD","RAFIGANJ                                          ","2014-11-03 11:20:04.120"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowinging of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","AURANGABAD","OBRA                                              ","2014-11-05 16:30:50.597"
"KHARIF","AGRICULTURE","Cereals","Triticale","	Plant Protection	","REGISTRATION","OK","BIHAR","AURANGABAD","OBRA                                              ","2014-11-05 19:09:23.913"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Varieties","varities of masur","varities of masur- arun, HUL--57, NARENDAR MASUR-1","BIHAR","AURANGABAD","RAFIGANJ                                          ","2014-11-06 10:00:33.143"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","AURANGABAD","DAUDNAGAR                                         ","2014-11-06 16:39:02.010"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","INSECT I N BRINJAL","SPRAY IMIDACLOPRID @ 1 ML./3LT OF WATER","BIHAR","AURANGABAD","DAUDNAGAR                                         ","2014-11-06 21:16:37.653"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","plant protection","copper oxycholoride 2 ml/liter","BIHAR","AURANGABAD","OBRA                                              ","2014-11-07 07:22:33.153"
"KHARIF","ANIMAL HUSBANDRY","Avian","Flying Duck","Animal Breeding","delay growth in all crop","spray boomflower/mirakulon/trasol 2 ml/lt. water","BIHAR","AURANGABAD","BARUN                                             ","2014-11-08 12:22:50.210"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","Field Preparation","Weed management in fallow field","Spray paraquate and diquate @ 2 ml in 1 ltr. of water","BIHAR","AURANGABAD","DEO                                               ","2014-11-09 13:16:45.403"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Insect control","spray cloropyriphos@2ml/lit of water","BIHAR","AURANGABAD","AURANGABAD                                        ","2014-11-10 20:52:18.490"
"KHARIF","AGRICULTURE","Others","Others","Weather","1.Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","AURANGABAD","NABINAGAR                                         ","2014-11-11 07:11:10.843"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem OF BRINJAL","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","AURANGABAD","NABINAGAR                                         ","2014-11-11 08:50:29.397"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","insect problme in tomato plant","Spray chlorpryphos @ 2ml/lit of water","BIHAR","AURANGABAD","BARUN                                             ","2014-11-11 08:59:14.030"
