"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weed Management","Weed management in fallow field","Spray paraquate and diquate @ 2 ml in 1 ltr. of water","BIHAR","BEGUSARAI","GADHPURA                                          ","2014-11-01 17:28:26.707"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","fertilizer dose","fertilizer dose- Urea = 260 kg/ha , SSP = 350 kg / ha and MOP = 65 kg/ha.Apply half dose of urea and full dose of SSP and MOP at time of field preparation and rest half dose of urea after 45 days of sowing.","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-02 11:04:23.603"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","VARIETIES OF WHEAT","HD-2733,PBW-343,443,502,UP-262","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-02 11:08:49.790"
"JAYAD","AGRICULTURE","Millets","Common Millet (Panivaragu/Chena/Proso Millet/Hogm","Bio-Pesticides and Bio-Fertilizers","Yellowing / drying of   seedling","spray zinc (5 gram )+ urea (10 gram )/ liter of water","BIHAR","BEGUSARAI","BALLIA                                            ","2014-11-03 07:05:05.777"
"RABI","AGRICULTURE","Oilseeds","Mustard","Weed Management","Weed problem in mustard","pendimethalin @ 2 ml in 1 litre of water","BIHAR","BEGUSARAI","BHAGWANPUR                                        ","2014-11-03 11:32:42.637"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,PBW-343, PBW-502,HD-2285,hd-2285, hd-2307, hd-2329, hd-2643","BIHAR","BEGUSARAI","CHERIA BARIARPUR                                  ","2014-11-03 12:04:04.843"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BEGUSARAI","TEGHRA                                            ","2014-11-03 19:04:16.470"
"KHARIF","HORTICULTURE","Flowers","Crossandra","Crop Insurance","Delay in growth","Spray muwlti micro nutrients @ 2 ml in 1 litre of ater","BIHAR","BEGUSARAI","BARAUNI                                           ","2014-11-04 18:47:12.103"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Credit","insect problem","Spray malathion @ 2 gram in 1 litre of water","BIHAR","BEGUSARAI","BARAUNI                                           ","2014-11-04 19:10:37.030"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","SMS PORTAL","OK","BIHAR","BEGUSARAI","GADHPURA                                          ","2014-11-05 19:12:29.007"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","VARITIES","RAJENDRA AALOO 1,2,3 ,KUFRI JYOTI","BIHAR","BEGUSARAI","BAKHRI                                            ","2014-11-05 20:48:05.500"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT IN BRINJAL","Spray quinalphos@ 1 ml in 1 litre of watera","BIHAR","BEGUSARAI","BARAUNI                                           ","2014-11-06 08:10:51.353"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","insect problem","Spray quinalphos@ 1 ml in 1 litre of water","BIHAR","BEGUSARAI","GADHPURA                                          ","2014-11-06 08:52:59.367"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Today and tomorrow no chance of rain","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-06 10:04:02.647"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","insect in maiz","Apply Carbaofuran 3G @ 10-15 kg/ha.","BIHAR","BEGUSARAI","DANDARI                                           ","2014-11-06 15:22:50.123"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","insect problem in beans","clorypiyriphos @ 1 ml par liter pani me mila kar spray kare","BIHAR","BEGUSARAI","BEGUSARAI                                         ","2014-11-06 17:37:53.217"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Weather information","No chance of rain in your area","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-06 19:29:56.417"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT","VARIETIES OF WHEAT - HD-2733 , HD-2967","BIHAR","BEGUSARAI","BEGUSARAI                                         ","2014-11-11 18:55:45.493"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,PBW-343, PBW-502,HD-2285,hd-2285, hd-2307, hd-2329, hd-2643","BIHAR","BEGUSARAI","GADHPURA                                          ","2014-11-11 21:08:02.490"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,PBW-343, PBW-502,HD-2285,hd-2285, hd-2307, hd-2329, hd-2643","BIHAR","BEGUSARAI","BEGUSARAI                                         ","2014-11-13 09:19:01.497"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","BIHAR","BEGUSARAI","BAKHRI                                            ","2014-11-14 08:26:31.820"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaf","spray mencozeb @2gm/liter water","BIHAR","BEGUSARAI","BALLIA                                            ","2014-11-14 18:42:27.873"
"RABI","AGRICULTURE","Others","Others","Weather","weather information","today cloudy weather but no  chance rain","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-15 15:37:20.410"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,HD-2285,HD-2733, PBW-343, AND PBW-502,PBW-154, up-262,","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-15 21:19:58.893"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Good variety of maize-","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","BIHAR","BEGUSARAI","BACHHWARA                                         ","2014-11-17 11:21:09.887"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","varieties of wheat","hd-2733,2888,,2967/ pbw-343,443/up-262","BIHAR","BEGUSARAI","SAHEBPUR KAMAL                                    ","2014-11-17 11:22:35.063"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudyweather in your area but no chance of rain","BIHAR","BEGUSARAI","BEGUSARAI                                         ","2014-11-17 13:13:31.740"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BEGUSARAI","BHAGWANPUR                                        ","2014-11-17 13:15:47.760"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","INSECT PROBLEM IN BANANA","SPRAY QONOLPHOS @ 1ML /LITER OF WATER","BIHAR","BEGUSARAI","KHODAWANDPUR                                      ","2014-11-17 14:26:52.737"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","Day
N
E
S
W

W 2 mph 
Gusts: 5 mph 
Mostly sunny

Max UV Index: 6 (High) 
Thunderstorms: 0% 
Precipitation: 0 in 
Rain: 0 in 
Snow: 0 in 
Ice: 0 in 
Hours of Precipitation: 0 hrs 
Hours of Rain: 0 hrs","BIHAR","BEGUSARAI","NAWKOTHI                                          ","2014-11-17 14:36:36.413"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Field Preparation	","insect problem","cartap hydrochloride@10 kg \heq","BIHAR","BEGUSARAI","CHHAURAHI                                         ","2014-11-18 09:56:17.707"
