"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","FUNGAL PROBLEM OF CAULIFLOWER","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","DARBHANGA","KEOTIRUNWAY                                       ","2014-11-01 06:17:03.870"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","insect problem","You should use neem oil 2ml / litar of water
aap neem oil ka  prayog kare","BIHAR","DARBHANGA","KEOTIRUNWAY                                       ","2014-11-01 07:03:07.007"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Beekeeping","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","BIHAR","DARBHANGA","BIRAUL                                            ","2014-11-01 08:40:24.880"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","DARBHANGA","BIRAUL                                            ","2014-11-01 21:00:38.137"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","weed management of potato","sprays atrazin @ 2 ml /liter of water","BIHAR","DARBHANGA","HANUMAN NAGAR                                     ","2014-11-02 06:55:42.187"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","Delay in growth","Spray borex @ 2 gram in 1 litre of water.","BIHAR","DARBHANGA","DARBHANGA                                         ","2014-11-02 08:01:32.210"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Agriculture Mechanization","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","BIHAR","DARBHANGA","SINGHWARA                                         ","2014-11-02 08:27:07.340"
"KHARIF","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","Credit","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","BIHAR","DARBHANGA","SINGHWARA                                         ","2014-11-02 08:28:58.103"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","insect problem","Spray cloropyriphos @ 2 ml in 1 litre of water","BIHAR","DARBHANGA","MANIGACHHI                                        ","2014-11-02 08:52:57.827"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","No Chance of precipitation to some extent in your area","BIHAR","DARBHANGA","KEOTIRUNWAY                                       ","2014-11-02 17:58:40.737"
