"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","Fungal problem","Spray copper oxychloride @ 2 gram in 1 litre of 
water","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-02 14:20:33.823"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","yellowing of leaves","Spray copper oxychloride @ 2 gram in 1 litre of 
water","BIHAR","JEHANABAD","GHOSHI                                            ","2014-12-03 16:22:17.063"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","yellowing of leaves","Spray copper oxychloride @ 2 gram in 1 litre of 
water","BIHAR","JEHANABAD","GHOSHI                                            ","2014-12-03 16:30:36.243"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","yellowing of leaves","yellowing of leaves - Spray copper oxychloride @ 2 gram in 1 litre of water","BIHAR","JEHANABAD","RATNI FARIDPUR                                    ","2014-12-07 15:55:27.773"
"RABI","HORTICULTURE","Vegetables","Brinjal","Field Preparation","Field preparation","Thoroughly prepare the field with the addition of FYM @ 25 t / ha and form ridges and furrows at a spacing of 60 cm. Apply 2 kg / ha of Azospirillum and 2 kg / ha of Phosphobacteria by mixing with 50 kg of FYM. Irrigate the furrows and transplant 30-35 days old seedlings at 60 cm apart on the ridges.","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-08 12:15:21.887"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Wheat fertilizer dose-","Wheat fertilizer dose- NPK- 120, 60,40KG/HACT","BIHAR","JEHANABAD","HULASGANJ                                         ","2014-12-09 20:15:51.613"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","DELEY IN GROWTH","SPRAY DHANZIME GOLD @ 200 ML./ ACRE.","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-12-10 06:36:32.513"
"RABI","HORTICULTURE","Flowers","Carnation","Credit","Weed management in onion","Weed management in onion- spray oxy phlorophen @1.5 ml in 1 litre of water","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-12-12 16:47:22.583"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","insect control","spray traizophos @2ml/lit of water","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-12 17:21:15.663"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","Weather query","Very low Cloudy weather in your area no chance of rain","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-12-13 09:20:12.120"
"RABI","AGRICULTURE","Others","Others","Weather","weather","cloudy weather","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-12-13 16:29:19.230"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","insect problem","spray quinalphos @ 1 ml / liter of water","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-12-13 16:38:59.077"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Insect infestation","METASISTOX @ 1ML./ LT. OF WATER","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-12-13 19:15:27.423"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Today and tomarrow litle chance of rain in your area","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-14 07:31:35.507"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","WEATHER INFORMATION","No rain in your area but clowdy in nature","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-17 08:34:43.490"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","late blight of potato","spray mencozeb @2ml/lit of water","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-12-17 18:29:42.713"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","DRYING OF SEEDLLING","spray saaf @ 2gm / liter of water","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-12-18 17:17:22.803"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","JEHANABAD","KAKO                                              ","2014-12-19 09:22:46.130"
"RABI","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","	Plant Protection	","aphid problem in mustard","clorypiyriphos @ 1 ml par liter pani me mila kar spray kare","BIHAR","JEHANABAD","GHOSHI                                            ","2014-12-19 10:48:22.007"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","weather in your area but no chance of rain","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-19 14:16:56.067"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Varieties OF wheats","Varieties OF wheats HD 2733 , PBW 343,PBW-443,HD-2967","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-12-20 07:29:28.133"
