"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","VIRAL INFECTION IN PAPAYA","REMOVE THE AFFECTED PLANT AND SPRAY MONOCROTOPHOS @ 1ML/LTER OF WATER","BIHAR","KISHANGANJ","BAHADURGANJ                                       ","2014-12-02 10:05:48.997"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","late blight disease of potato","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","KISHANGANJ","THAKURGANJ                                        ","2014-12-02 15:08:33.077"
"RABI","AGRICULTURE","Others","Others","Varieties","fungal problem","spray mencozeb @2gm/liter water","BIHAR","KISHANGANJ","BAHADURGANJ                                       ","2014-12-04 20:46:30.723"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","insect control","spray carbaril @2ml/lit of water","BIHAR","KISHANGANJ","KISHANGANJ                                        ","2014-12-04 21:13:31.153"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","insect problem","Spry quinalphos@ 1 ml in 1 litre of water","BIHAR","KISHANGANJ","BAHADURGANJ                                       ","2014-12-05 15:03:10.963"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","BLIGHT DISEASE IN POTATO","Spray mencozeb @ 2g/lit of water","BIHAR","KISHANGANJ","DIGHALBANK                                        ","2014-12-05 16:39:14.113"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","fertilizer dose at the time of earthing","fertilizer dose at the time of earthing-apply urea @ 1 kg/kattha","BIHAR","KISHANGANJ","KISHANGANJ                                        ","2014-12-06 09:24:13.910"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","Fungal problem","Spray copper oxychloride @ 2 gram in 1 litre of water","BIHAR","KISHANGANJ","KOCHADHAMAN                                       ","2014-12-07 20:22:30.023"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Varieties","Good variety of maize-","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","BIHAR","KISHANGANJ","KOCHADHAMAN                                       ","2014-12-08 19:57:59.480"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","insect problem in maize","insect problem in maize spray Imidacloprid 48% FS 1ml/3liter of water","BIHAR","KISHANGANJ","THAKURGANJ                                        ","2014-12-09 16:21:50.173"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","KISHANGANJ","BAHADURGANJ                                       ","2014-12-10 08:18:08.080"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Weather query","Very low Cloudy weather in your area no chance of rain","BIHAR","KISHANGANJ","DIGHALBANK                                        ","2014-12-10 13:06:35.473"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","no chance of rainfall","BIHAR","KISHANGANJ","BAHADURGANJ                                       ","2014-12-12 19:04:26.800"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","VARIETIES OF WHEAT","FERTILIZER USE IN WHEAT- N P K-120, 60, 40 KG/HACT","BIHAR","KISHANGANJ","THAKURGANJ                                        ","2014-12-13 16:32:27.690"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","sowing time of maize","15 feb.","BIHAR","KISHANGANJ","POTHIA                                            ","2014-12-16 16:07:55.480"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","late variety of wheat","late variety of wheat - PBW 373,HD 2285","BIHAR","KISHANGANJ","TERHAGACHH                                        ","2014-12-18 16:47:16.193"
