"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Flowers","Carnation","Bio-Pesticides and Bio-Fertilizers","Yellowinging of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","MADHUBANI","BENIPATTI                                         ","2014-11-01 09:08:53.287"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Yellowing of leaves","SPRAY COPPEROXYCLORIDE @ 2ML IN 1 LITRE","BIHAR","MADHUBANI","KALUAHI                                           ","2014-11-01 15:57:23.440"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weed managemet in potato","sprey pendimethlin @ 2.5 l./ha.","BIHAR","MADHUBANI","BENIPATTI                                         ","2014-11-01 17:04:03.480"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","variety of mustard -","variety of mustard - rajendra sarson -1, swarna, 66-197-3","BIHAR","MADHUBANI","BABU BARHI                                        ","2014-11-02 09:11:57.693"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Crop Insurance","insect problem","Spray Fesolone or asefet or carbaril @ 2 ml in 1 litre of water","BIHAR","MADHUBANI","GHOGHARDIHA                                       ","2014-11-02 11:44:48.793"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Crop Insurance","insect problem","Spray Fesolone or asefet or carbaril @ 2 ml in 1 litre of water","BIHAR","MADHUBANI","GHOGHARDIHA                                       ","2014-11-02 11:44:49.190"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","VARIETY OF GRAM-PUSA-","VARIETY OF GRAM-PUSA-256,KPG-59,PUSDA-372,KWR-108","BIHAR","MADHUBANI","BABU BARHI                                        ","2014-11-03 07:50:22.867"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Crop Insurance","ferlizer recomendation in maize","use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","BIHAR","MADHUBANI","BASOPATTI                                         ","2014-11-03 09:20:16.473"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ant problem in mango","chloropyriphosh@2ml / litar of water","BIHAR","MADHUBANI","MADHEPUR                                          ","2014-11-03 15:44:19.770"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","fruit droping in papaya","planofix @ 1 ml per 4.5 Lite","BIHAR","MADHUBANI","LAUKAHI                                           ","2014-11-03 16:27:17.270"
