"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","Beekeeping","fungal problem","Spray saaf @2gm /lit of water","BIHAR","MUZAFFARPUR","KURHANI                                           ","2014-11-02 06:54:19.070"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","Beekeeping","fungal problem","Spray saaf @2gm /lit of water","BIHAR","MUZAFFARPUR","KURHANI                                           ","2014-11-02 06:54:19.620"
"RABI","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","insect problem","Spray imidachloprid @ 1ml/3lit of water","BIHAR","MUZAFFARPUR","MUSHAHARI                                         ","2014-11-02 07:14:30.670"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","MUZAFFARPUR","BOCHAHAN                                          ","2014-11-02 07:19:35.247"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","Good variety of maize-","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","BIHAR","MUZAFFARPUR","GAIGHAT                                           ","2014-11-02 19:59:02.677"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","Potato fertilizer dose-","Potato fertilizer dose- compost-150quintal+urea150+dap-80+pottas-50+zn-sulphate-20kg/ha...","BIHAR","MUZAFFARPUR","MURAUL                                            ","2014-11-03 07:04:52.190"
"RABI","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","Seeds","variety of sunflower- morden, surya, co-1, drsf","variety of sunflower- morden, surya, co-1, drsf","BIHAR","MUZAFFARPUR","SAHEBGANJ                                         ","2014-11-03 07:15:06.257"
"JAYAD","AGRICULTURE","Pulses","Khesari (chickling vetch/ grass pea)","	Field Preparation	","ferlizer recomendation in maize","use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","BIHAR","MUZAFFARPUR","KATRA                                             ","2014-11-03 10:05:59.430"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","How I do seed treatment","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","MUZAFFARPUR","KANTI                                             ","2014-11-03 21:20:46.487"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Seeds","VARIETIES OF LENTIL:","VARIETIES OF LENTIL: B. R.-25, P. L.-406, MALLIKA, ARUN, P. L. -639, H.U.L.-57, K.L.H-218, NARENDRA MUSOOR-1","BIHAR","MUZAFFARPUR","MUSHAHARI                                         ","2014-11-04 07:14:49.647"
"RABI","AGRICULTURE","Pulses","Khesari (chickling vetch/ grass pea)","Weed Management","Weed management","pendimethalin @ 2 ml in 1 litre of water","BIHAR","MUZAFFARPUR","GAIGHAT                                           ","2014-11-04 08:01:06.183"
"RABI","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","Bio-Pesticides and Bio-Fertilizers","insect problem","Spray dimethoate @ 1.5 ml in 1 litre of water","BIHAR","MUZAFFARPUR","SAKRA                                             ","2014-11-04 14:44:35.197"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot & fruit borer","Quinalphos 25 % EC
 
1.5 ml/lit.","BIHAR","MUZAFFARPUR","MOTIPUR                                           ","2014-11-05 10:21:46.053"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","insect in chilli","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","BIHAR","MUZAFFARPUR","KURHANI                                           ","2014-11-05 15:58:31.163"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","insect problem","spray imidachlorpid @ 1 ml / 3 lt of water","BIHAR","MUZAFFARPUR","MOTIPUR                                           ","2014-11-06 09:33:19.520"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT","VARIETIES OF WHEAT-HD-2733,HD-2967,PBW-343,PBW-443","BIHAR","MUZAFFARPUR","PAROO                                             ","2014-11-06 20:49:41.610"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fetz dose","324 kg urea,190 DAP,140 MOP, 20 KG ZINC SULPHATE/HECTARE","BIHAR","MUZAFFARPUR","SAKRA                                             ","2014-11-07 09:40:29.240"
"RABI","AGRICULTURE","Others","Others","Varieties","Weather information","NO chance of rain","BIHAR","MUZAFFARPUR","KANTI                                             ","2014-11-07 14:23:03.653"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","Weed management in onion","Weed management in onion- spray oxy phlorophen @1.5 ml in 1 litre of water","BIHAR","MUZAFFARPUR","MUSHAHARI                                         ","2014-11-08 08:59:46.767"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Today no chance of rain","BIHAR","MUZAFFARPUR","KURHANI                                           ","2014-11-08 09:48:32.073"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","Bio-Pesticides and Bio-Fertilizers","-fruit cracking in guvava or other fruit tree","spray borex 2 gm/lt. water","BIHAR","MUZAFFARPUR","MUSHAHARI                                         ","2014-11-08 11:10:21.393"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","varieties","hd2733,pbw343,pbw443","BIHAR","MUZAFFARPUR","SARAIYA                                           ","2014-11-09 06:32:53.380"
"KHARIF","HORTICULTURE","Flowers","Gerbera","Spices and Condiment Crops","Irrigation","Planting
Plant 45 days old seedlings at a spacing of 10 cm apart on both the sides of the ridges.","BIHAR","MUZAFFARPUR","MURAUL                                            ","2014-11-09 13:47:10.617"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO chance of rain","BIHAR","MUZAFFARPUR","KANTI                                             ","2014-11-10 07:54:05.520"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","HD2733","BIHAR","MUZAFFARPUR","KANTI                                             ","2014-11-10 20:43:59.697"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","FUNGAL PROBLEM OF TOBACCO","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","MUZAFFARPUR","SAKRA                                             ","2014-11-11 08:02:02.797"
"KHARIF","AGRICULTURE","Cereals","Wheat","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","MUZAFFARPUR","PAROO                                             ","2014-11-11 11:19:03.470"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GOOD VARIETY OF WHEAT","GOOD VARIETY OF WHEAT
HD-2733,PBW-343,HP-1731,K-9107,HP-1761PBW-443,UP-262,RW-346,RW-3413,HD2824.","BIHAR","MUZAFFARPUR","KANTI                                             ","2014-11-11 15:09:20.860"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT","VARIETIES ARE H.D-2733,P.B.W-343,P.B.W-443 AND SEED RATE 100-125KG/HECT","BIHAR","MUZAFFARPUR","MUSHAHARI                                         ","2014-11-11 15:23:53.170"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","mosice disease of papaya","remove the affected plant and then spray chloropyriphos @ 2ml /liter of water","BIHAR","MUZAFFARPUR","MUSHAHARI                                         ","2014-11-12 09:40:02.620"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Partly sunny
Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","BIHAR","MUZAFFARPUR","SAKRA                                             ","2014-11-12 12:21:20.920"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","SEED TREATMENT OF WHEAT","SEED TREATMENT OF WHEAT @THIRAM","BIHAR","MUZAFFARPUR","BANDRA                                            ","2014-11-12 12:52:00.110"
