"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","How I do seed treatment","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","NAWADHA","ROH                                               ","2014-11-01 20:26:49.917"
"RABI","HORTICULTURE","Fruits","Lehberry","	Plant Protection	","Delay in growth","spray boomflower @ 2 ml / lt of water","BIHAR","NAWADHA","NAWADA                                            ","2014-11-02 07:22:10.100"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","false smut disease in paddy-","false smut disease in paddy- spray propiconazole @1ml/liter of water","BIHAR","NAWADHA","HISUA                                             ","2014-11-03 09:19:39.300"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","sowing time","15 nov - 15 dec.","BIHAR","NAWADHA","NAWADA                                            ","2014-11-04 09:02:22.997"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","insect problem","Spray chloropyriphos @ 1 ml in 1 litre of water","BIHAR","NAWADHA","NAWADA                                            ","2014-11-04 19:21:50.600"
"RABI","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","PEST MANAGEMENT","QUINALPHOSH 1.5 ML/LITER","BIHAR","NAWADHA","ROH                                               ","2014-11-07 09:46:26.770"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","VARIETY OF WHEAT","VARIETY OF WHEAT-PBW-343,HD-2967","BIHAR","NAWADHA","KAWAKOLE                                          ","2014-11-08 07:00:00.273"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","VARITIES OF WHEAT","H D 2733/PBW 343,443","BIHAR","NAWADHA","NARDIGANJ                                         ","2014-11-09 07:29:21.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","1.	Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","NAWADHA","NARDIGANJ                                         ","2014-11-10 12:49:52.963"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Whitefly","Phosphamidon 40 % SL
 
1.5 ml/lit.
 

Thiamethoxam 25 % WG
 
4.0 g/10 lit.","BIHAR","NAWADHA","HISUA                                             ","2014-11-11 11:30:44.397"
"RABI","AGRICULTURE","Others","Others","Government Schemes","KISSAN MELA","You should consult to block agricultural 0fficer","BIHAR","NAWADHA","SIRDALA                                           ","2014-11-11 18:49:06.193"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","SEED TREATMENT OF WHEAT","SEED TREATMENT BY CARBENDAZYME @ 2.5 GM / KG SEED","BIHAR","NAWADHA","GOBINDPUR                                         ","2014-11-12 09:15:22.830"
"RABI","HORTICULTURE","Vegetables","Chillies","Bio-Pesticides and Bio-Fertilizers","Delay in growth","spray boomflower @ 2 ml / lt of water","BIHAR","NAWADHA","HISUA                                             ","2014-11-14 14:15:21.877"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT","VARIETIES OF WHEAT - HD-2733 , HD-2967","BIHAR","NAWADHA","PAKRI BARAWAN                                     ","2014-11-15 17:47:35.037"
"RABI","AGRICULTURE","Others","Others","Weather","Weather","sunny day no clouds in the sky","BIHAR","NAWADHA","NAWADA                                            ","2014-11-15 17:50:05.810"
"KHARIF","HORTICULTURE","Vegetables","Potato","Crop Insurance","weed management In potato","Spary Atrazin 50 w.p @ 3 gram/liter of water.","BIHAR","NAWADHA","KAWAKOLE                                          ","2014-11-16 20:25:01.043"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Fungal problem","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","NAWADHA","SIRDALA                                           ","2014-11-17 15:16:06.173"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Varieties OF wheats","Varieties OF wheats HD 2733 , PBW 343,PBW-443,HD-2967","BIHAR","NAWADHA","AKBARPUR                                          ","2014-11-17 15:26:40.897"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Fertilizer recommendation-","Chana-30 cm x 10 cm.
27.17kg/heq-400gm/kattha-urea
54kg/heq-800gm/kattha-DAP
20kg/heq-300gm/kattha-mop
10kg sulphur+25kg/heq zn","BIHAR","NAWADHA","NAWADA                                            ","2014-11-19 10:01:50.360"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","variety of wheat-","variety of wheat- HD-2733,HP- 1761,C-306,RW-3016, PBW-343, PBW-373","BIHAR","NAWADHA","KAWAKOLE                                          ","2014-11-19 14:08:20.457"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","NAWADHA","ROH                                               ","2014-11-20 10:16:49.880"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","NAWADHA","AKBARPUR                                          ","2014-11-20 15:50:34.050"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","NAWADHA","SIRDALA                                           ","2014-11-20 16:53:57.877"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","NAWADHA","SIRDALA                                           ","2014-11-20 18:49:19.320"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Today and tomorrow no chance of rain","BIHAR","NAWADHA","GOBINDPUR                                         ","2014-11-21 14:05:33.173"
"KHARIF","AGRICULTURE","Pulses","Rajmash Bean","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water *","BIHAR","NAWADHA","RAJAULI                                           ","2014-11-22 11:11:42.150"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LES GROWTH OF TOMATO","Spray muwlti micro nutrients @ 2 ml in 1 litre of ater","BIHAR","NAWADHA","RAJAULI                                           ","2014-11-22 11:28:57.393"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,HD-2285,HD-2733, PBW-343, AND PBW-502,PBW-154, up-262,","BIHAR","NAWADHA","SIRDALA                                           ","2014-11-22 16:39:41.097"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","DISEASE IN CORIENDER","Spray sulphur @ 2 gram in 1 litre of water","BIHAR","NAWADHA","PAKRI BARAWAN                                     ","2014-11-24 10:26:11.720"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat-","Variety of wheat- P.B.W-373, P.B.W-573, P.B.W-443, P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","BIHAR","NAWADHA","NARDIGANJ                                         ","2014-11-24 15:07:18.623"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-573, P.B.W-443, P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","BIHAR","NAWADHA","ROH                                               ","2014-11-25 20:14:51.070"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","yellowing of leaves","yellowing of leaves - spray carbendazim @ 2 gm/lt of water","BIHAR","NAWADHA","KASHICHAK                                         ","2014-11-28 15:29:21.920"
