"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","BIHAR","CHAMPARAN(WEST)","BAGAHA-II                                         ","2014-12-01 08:30:14.973"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","FERTILIZER DOSE IN WHEAT","FERTILIZER DOSE IN WHEAT -  APPLY UREA @ 120 KG/HA , DAP @ 130 KG/HA , MOP - 70 KG/HA AT THE TIME OF LAND PREPARATION AND APPLY UREA @ 120 KG/HA AT THE TIME OF FIRST IRRIGATION","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-12-01 16:49:34.020"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","Varieties OF wheats","Varieties OF wheats HD 2733 , PBW 343,PBW-443,HD-2967","BIHAR","CHAMPARAN(WEST)","MADHUBANI                                         ","2014-12-01 16:56:56.563"
"RABI","HORTICULTURE","Vegetables","Cucumber","Water Management, Micro Irrigation","Insect problem","spray  IMIDACHLROPRID @1ML/3LITER OF WATER","BIHAR","CHAMPARAN(WEST)","MAJHAULIA                                         ","2014-12-01 16:58:49.287"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","Weather information","Very low Cloudy weather in your area","BIHAR","CHAMPARAN(WEST)","GAUNAHA                                           ","2014-12-02 07:11:45.547"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","INSECT PROBLEM","spray Imidacloprid 48% FS 1ml/3liter of water","BIHAR","CHAMPARAN(WEST)","MAJHAULIA                                         ","2014-12-02 16:52:57.230"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","CHAMPARAN(WEST)","MADHUBANI                                         ","2014-12-02 21:03:22.423"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","for germination of wheat","spray poshak @2ml/lit of water","BIHAR","CHAMPARAN(WEST)","BAGAHA-II                                         ","2014-12-03 07:26:15.560"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","cow disease","consult doctor","BIHAR","CHAMPARAN(WEST)","BAGAHA-II                                         ","2014-12-03 07:28:26.253"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","Weed control in wheat","Weed control in wheat - spray chlodinolfop @ 2 gram/liter of water","BIHAR","CHAMPARAN(WEST)","BAIRIA                                            ","2014-12-03 14:45:45.540"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","VARIETIES OF WHEAT(LATE)","D B W-14,H D-2307,2985,2329,2643,N W- 1014,1563,2036,2045,H P-1744,RAJ-3765","BIHAR","CHAMPARAN(WEST)","NAUTAN                                            ","2014-12-04 15:00:12.923"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Today and tomorrow no chance of rain","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-12-06 15:39:16.077"
"KHARIF","AGRICULTURE","Millets","Common Millet (Panivaragu/Chena/Proso Millet/Hogm","	Plant Protection	","pode borer in arhar","Spray quinolphos @ 2 ml in one litre of water","BIHAR","CHAMPARAN(WEST)","MADHUBANI                                         ","2014-12-07 10:29:15.863"
"RABI","HORTICULTURE","Vegetables","Brinjal","Field Preparation","Field preparation","Thoroughly prepare the field with the addition of FYM @ 25 t / ha and form ridges and furrows at a spacing of 60 cm. Apply 2 kg / ha of Azospirillum and 2 kg / ha of Phosphobacteria by mixing with 50 kg of FYM. Irrigate the furrows and transplant 30-35 days old seedlings at 60 cm apart on the ridges.","BIHAR","CHAMPARAN(WEST)","PIPRASI                                           ","2014-12-08 12:22:37.630"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","today no chance of rain","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-12-08 13:45:11.350"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED CONTROL IN WHEAT-","WEED CONTROL IN WHEAT- SPRAY SALFOSALFURAN @33 GRAM/HACT","BIHAR","CHAMPARAN(WEST)","BAGAHA-I                                          ","2014-12-08 20:41:40.623"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","today cool weather and no of chance rain","BIHAR","CHAMPARAN(WEST)","BETTIAH                                           ","2014-12-09 09:54:54.643"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","today cloudy weather but no chance rain","BIHAR","CHAMPARAN(WEST)","BETTIAH                                           ","2014-12-09 12:18:33.433"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato - spray saaf @ 2 gram/liter of water","BIHAR","CHAMPARAN(WEST)","BAGAHA-II                                         ","2014-12-10 17:58:11.720"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","TODAY CLOUDY WEATHER BUT NO CHANCE OF RAIN IN YOUR AREA","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-12-11 07:13:45.970"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect control","spray cloropyriphos @2ml/lit of water","BIHAR","CHAMPARAN(WEST)","MADHUBANI                                         ","2014-12-11 08:19:48.037"
"RABI","AGRICULTURE","Oilseeds","Brown Sarson","	Plant Protection	","yellowing of leaves","Spray mancozeb @ 2g/lit of water","BIHAR","CHAMPARAN(WEST)","MADHUBANI                                         ","2014-12-11 08:42:24.967"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","weather in your area but no chance of rain","BIHAR","CHAMPARAN(WEST)","NARKATIAGANJ                                      ","2014-12-11 11:26:46.357"
