"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","VARIETY OF GRAM-","VARIETY OF GRAM-PUSA-256,KPG-59,PUSDA-372,KWR-108","BIHAR","PATNA","PALIGANJ                                          ","2014-11-01 15:00:05.253"
"RABI","AGRICULTURE","Others","Others","Weather",".Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","PATNA","PALIGANJ                                          ","2014-11-01 17:21:26.130"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","DELAY GROWTH","spray boomflower @2ml/lit of water","BIHAR","PATNA","MOKAMA                                            ","2014-11-01 20:38:50.467"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","PATNA","BIKRAM                                            ","2014-11-02 06:38:12.367"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","PATNA","BIKRAM                                            ","2014-11-02 06:40:39.600"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","PATNA","BIKRAM                                            ","2014-11-02 06:43:00.107"
"RABI","AGRICULTURE","Others","Others","Weather","WEED MANAGEMENT OF SHALLOW FIELD","SPRAY PARAQUATE @ 2ML/ LITER OF WATER","BIHAR","PATNA","DHANARUA                                          ","2014-11-02 13:06:58.477"
"RABI","AGRICULTURE","Fodder Crops","Barseem","Seeds","seed rate / kattha","seed rate / kattha - 350 gram/kattha","BIHAR","PATNA","PALIGANJ                                          ","2014-11-03 06:20:16.160"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Vegetative Propagation and Tissue Culture","Weather information","Today and tomorrow chance of rain","BIHAR","PATNA","DANIYAWAN                                         ","2014-11-03 06:31:09.600"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","varities of onion","varities of onion
Arka niketan, Nasik red, Arka kalyan 76","BIHAR","PATNA","PALIGANJ                                          ","2014-11-03 07:54:25.377"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","FERTILIZER DOSES IN WHEAT","FERTILIZER DOSES IN N.P.K @ 120:60:40 KG./HECT","BIHAR","PATNA","MOKAMA                                            ","2014-11-03 12:50:00.040"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","PATNA","GHOSWARI                                          ","2014-11-03 15:31:49.257"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","PATNA","PHULWARI                                          ","2014-11-03 16:08:14.543"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","VARIETY OF WHEAT -HD 2733","BIHAR","PATNA","PHULWARI                                          ","2014-11-03 16:39:10.553"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT MANAGEMENT","IMIDACHOLOROPID 1 ML/ 3 LITER WATER","BIHAR","PATNA","PUNPUN                                            ","2014-11-03 16:45:20.893"
