"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","Good variety of maize-","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","BIHAR","SAMASTIPUR","DALSINGHSARAI                                     ","2014-11-02 06:46:40.610"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","VARIETY OF GRAM","VARIETY OF GRAM-PUSA-256,KPG-59,PUSDA-372,KWR-108","BIHAR","SAMASTIPUR","MOHANPUR                                          ","2014-11-02 07:26:02.303"
"KHARIF","AGRICULTURE","Pulses","Horse Gram (kulthi/kultha)","Soil Testing","Insect infestation","Spray imidachloprid @ 1ml/3lit of water *","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-02 11:46:09.573"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","SAMASTIPUR","UJIARPUR                                          ","2014-11-02 21:50:54.073"
"RABI","AGRICULTURE","Cereals","Triticale","	Field Preparation	","Variety of wheat","P.B.W-373,573,443,343,154,HD-2733,2824,k-9107","BIHAR","SAMASTIPUR","ROSERA                                            ","2014-11-03 09:01:02.017"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","FUNGAL CONTROL","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-03 09:46:06.577"
"KHARIF","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","Credit","Fungal problem./ yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","SAMASTIPUR","WARISNAGAR                                        ","2014-11-03 12:51:14.740"
"RABI","AGRICULTURE","Others","Others","Weather","yellowing of seedling","spray coper oxychloride @ 2ml /liter of water","BIHAR","SAMASTIPUR","MOHIUDDINAGAR                                     ","2014-11-03 15:13:37.810"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","SEED TREATMENT","BAVISTIN 2 GM/KG","BIHAR","SAMASTIPUR","SINGHIA                                           ","2014-11-03 17:28:12.150"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","PLANT PROTECTION","COPPER OXYCHOLORIDE 2 GM/LITER","BIHAR","SAMASTIPUR","SAMASTIPUR                                        ","2014-11-03 18:56:36.950"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","late blight","spray mencozeb @2ml/lit of water","BIHAR","SAMASTIPUR","KHANPUR                                           ","2014-11-04 08:01:28.750"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","DELAY GROWTH","spray boomflower @2ml/lit of water","BIHAR","SAMASTIPUR","UJIARPUR                                          ","2014-11-04 08:59:51.300"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","treated your seed","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-04 18:09:49.520"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","SOWING TIME IN PEA","SOWING TIME IN PEA @ MID.NOVEMBER","BIHAR","SAMASTIPUR","KHANPUR                                           ","2014-11-05 09:06:08.983"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","INSECT IN RADISH","Spray imidachloprid @ 1ml/3lit of water *","BIHAR","SAMASTIPUR","TAJPUR                                            ","2014-11-05 15:13:12.987"
"KHARIF","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","BIHAR","SAMASTIPUR","TAJPUR                                            ","2014-11-05 15:15:20.847"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Weed Management","weed in lentil","SPREY PENDIMETHALIN @ 1/ACRE","BIHAR","SAMASTIPUR","BIBHUTPUR                                         ","2014-11-05 15:40:10.990"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","CURLINGH","COPPER OXYCVHOLORIDE 2 ML/LITER","BIHAR","SAMASTIPUR","SAMASTIPUR                                        ","2014-11-05 16:37:11.090"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","VARIETY OF GRAM","VARIETY OF GRAM-BG-203,ANURADHA,BR-77,78","BIHAR","SAMASTIPUR","WARISNAGAR                                        ","2014-11-06 11:31:18.073"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LATE BLIGHT IN POTATO","SPRAY MANCOZEB 2.5GRAM/LIT OF WATER","BIHAR","SAMASTIPUR","WARISNAGAR                                        ","2014-11-06 11:44:03.210"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area","BIHAR","SAMASTIPUR","PUSA                                              ","2014-11-07 15:14:13.853"
"JAYAD","AGRICULTURE","Oilseeds","Linseed (alsi)","Bio-Pesticides and Bio-Fertilizers","ferlizer recomendation in maize","use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","BIHAR","SAMASTIPUR","KHANPUR                                           ","2014-11-07 16:19:49.477"
"RABI","AGRICULTURE","Cereals","Wheat","Market Information","msp wheat","1400 rupees per kg","BIHAR","SAMASTIPUR","TAJPUR                                            ","2014-11-08 12:01:04.190"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Yellowing / drying of   seedling","spray zinc (5 gram )+ urea (10 gram )/ liter of water","BIHAR","SAMASTIPUR","KHANPUR                                           ","2014-11-08 13:31:27.727"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","yellowing of leaves","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SAMASTIPUR","BIBHUTPUR                                         ","2014-11-09 12:25:12.850"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","PBW 343,443/ HD 2733","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-09 13:37:57.867"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","variety of wheat-","variety of wheat- HD-2733,HP- 1761,C-306,RW-3016, PBW-343, PBW-373","BIHAR","SAMASTIPUR","ROSERA                                            ","2014-11-09 14:32:05.390"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","insect problem","apply carbofuron 3G @ 10 kg/ha.","BIHAR","SAMASTIPUR","BIBHUTPUR                                         ","2014-11-10 06:12:17.670"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","Weather information","NO chance of rain","BIHAR","SAMASTIPUR","DALSINGHSARAI                                     ","2014-11-10 07:52:30.947"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","VARIETIES OF MAIZE","SHAKTIMAN 4,3","BIHAR","SAMASTIPUR","SARAIRANJAN                                       ","2014-11-11 08:38:35.713"
"KHARIF","AGRICULTURE","Others","Others","Weather","1.Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SAMASTIPUR","BIBHUTPUR                                         ","2014-11-11 12:08:15.540"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","SAMASTIPUR","MORWA                                             ","2014-11-11 17:54:54.180"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Partly sunny and pleasant
Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","BIHAR","SAMASTIPUR","SAMASTIPUR                                        ","2014-11-12 08:24:17.407"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Weather information","Very low Cloudy weather in your area","BIHAR","SAMASTIPUR","SHIVAJI NAGAR                                     ","2014-11-12 09:32:19.247"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","TODAY NO CHANCE OF RAIN","BIHAR","SAMASTIPUR","MORWA                                             ","2014-11-12 14:06:52.957"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,PBW-343, PBW-502,HD-2285,hd-2285, hd-2307, hd-2329, hd-2643","BIHAR","SAMASTIPUR","SARAIRANJAN                                       ","2014-11-13 09:25:23.217"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","Potato fertilizer dose-","Potato fertilizer dose- compost-150quintal+urea150+dap-80+pottas-50+zn-sulphate-20kg/ha...","BIHAR","SAMASTIPUR","UJIARPUR                                          ","2014-11-13 11:17:47.433"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","SAMASTIPUR","MORWA                                             ","2014-11-13 14:27:34.763"
"KHARIF","AGRICULTURE","Pulses","Mochai (lab-lab)","	Field Preparation	","yellowing of leaves","Spray mencozeb @ 2gm/lit of water","BIHAR","SAMASTIPUR","SHIVAJI NAGAR                                     ","2014-11-13 14:50:31.353"
"RABI","AGRICULTURE","Others","Others","Weather","weather INFORMATION","sunny day no clouds in the sky","BIHAR","SAMASTIPUR","DALSINGHSARAI                                     ","2014-11-14 15:09:16.450"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","How I do seed treatment","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","SAMASTIPUR","SINGHIA                                           ","2014-11-14 19:21:26.303"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,HD-2285,HD-2733, PBW-343, AND PBW-502,PBW-154, up-262,","BIHAR","SAMASTIPUR","ROSERA                                            ","2014-11-14 21:08:10.463"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT","HD-2733/PBW-343,443/UP-262","BIHAR","SAMASTIPUR","PUSA                                              ","2014-11-15 08:19:25.587"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","FUNGAL PROBLEM OF MANGO","Spray carbaril @ 2 gram in 1 litter of water","BIHAR","SAMASTIPUR","SINGHIA                                           ","2014-11-15 10:25:08.880"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-15 11:53:49.643"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","drying plant","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-15 12:20:06.740"
"KHARIF","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","yellowing of leaves","Spray sulphur @ 2 gram in 1 litre of water","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-15 13:21:21.927"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Wheat fertilizer dose-","Wheat fertilizer dose- NPK- 120KG, 60KG,40KG /HACT","BIHAR","SAMASTIPUR","PUSA                                              ","2014-11-15 17:32:29.020"
"RABI","AGRICULTURE","Others","Others","Weather","weather information","today cloudy weather but no chance rain","BIHAR","SAMASTIPUR","PATORI                                            ","2014-11-15 17:36:24.403"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","SAMASTIPUR","SARAIRANJAN                                       ","2014-11-16 14:07:58.990"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SAMASTIPUR","DALSINGHSARAI                                     ","2014-11-16 14:23:23.313"
"RABI","HORTICULTURE","Vegetables","Brinjal","Agriculture Mechanization","yellowing of leaves","Spray sulphur @ 2 gram in 1 litre of water","BIHAR","SAMASTIPUR","KHANPUR                                           ","2014-11-16 20:09:22.623"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","FUNGI PROBLME IN MANGO PLANT","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SAMASTIPUR","BIBHUTPUR                                         ","2014-11-17 13:23:33.457"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","HIGH GROWTH OF POTATO","LEHOSIN 2ML/LITER OF WATER","BIHAR","SAMASTIPUR","SARAIRANJAN                                       ","2014-11-18 06:45:25.857"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","use of fertilizer in wheat field","N;P;K-120;60;40KG/HA","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-18 08:55:18.943"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","insect control","spray cloropyriphos@2ml/lit of water","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-18 21:03:07.043"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","FERTILIZER DOSE IN WHEAT","FERTILIZER DOSE IN WHEAT -  APPLY UREA @ 120 KG/HA , DAP @ 130 KG/HA , MOP - 70 KG/HA AT THE TIME OF LAND PREPARATION AND APPLY UREA @ 120 KG/HA AT THE TIME OF FIRST IRRIGATION","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-19 07:18:28.613"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Soil Testing","Fertilizer recommendation-","wheat
 Urea-2.48kg\173kg
 dap -1.2kg/85kg
Potash-1kg\ kathha70kg\heq","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-19 11:35:15.563"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SAMASTIPUR","PUSA                                              ","2014-11-19 12:28:46.237"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SAMASTIPUR","PUSA                                              ","2014-11-19 12:31:19.517"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","Night
N
E
S
W
W 4 mph 
Gusts: 6 mph 
Clear
Max UV Index: N/A
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","BIHAR","SAMASTIPUR","KALYANPUR                                         ","2014-11-19 17:20:27.810"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TERMITE ATTACK TO WHEAT","SEED TREATMENT 8ML/KG SEED FOR WHEAT","BIHAR","SAMASTIPUR","SAMASTIPUR                                        ","2014-11-19 19:32:00.250"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","no chance of rain","BIHAR","SAMASTIPUR","WARISNAGAR                                        ","2014-11-20 08:14:58.937"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","SAMASTIPUR","WARISNAGAR                                        ","2014-11-20 18:36:49.020"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","yellowing of leaves","Spray SAAF @ 2g/lit of water","BIHAR","SAMASTIPUR","UJIARPUR                                          ","2014-11-21 10:06:17.903"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","about attack cobs in birds","about attack cobs in birds use in polythien bag","BIHAR","SAMASTIPUR","DALSINGHSARAI                                     ","2014-11-21 12:39:59.453"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","variety of wheat","HD-2733,HP- 1761,C-306,RW-3016, PBW-343, PBW-373","BIHAR","SAMASTIPUR","PUSA                                              ","2014-11-21 14:16:47.003"
