"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","VARIETY OF SARSON-","VARIETY OF SARSON- RAJENDRA SARSON-1, SWARNA","BIHAR","SITAMARHI","BELSAND                                           ","2014-11-01 15:56:20.313"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","How I do seed treatment","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","SITAMARHI","SURSAND                                           ","2014-11-03 14:31:03.130"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weather information","No chance of rain","BIHAR","SITAMARHI","SITAMARHI","2014-11-03 15:57:55.723"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","pest management","monocrotophosh 36 wsc 10 ml soaked in cotton after that placed in pest hole","BIHAR","SITAMARHI","BATHANAHA                                         ","2014-11-05 09:38:08.663"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","Mealy bug","mealy bugs can be controlled by spraying Triazophos @ 2ml/lit + neem oil 5 ml or phosalone 0.05% + neem oil 5 ml.  Release of Cryptolaemus montrouzieri beetles (Coccinellid beetles) @ 10 beetles /tree is also recommended.","BIHAR","SITAMARHI","SUPPI                                             ","2014-11-05 09:55:53.300"
"RABI","HORTICULTURE","Vegetables","Potato","Water Management, Micro Irrigation","weed in potato","spray gramoxone @ 1 lt./acre.","BIHAR","SITAMARHI","DUMRA                                             ","2014-11-05 20:47:02.977"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","variety in potato","variety in potato kufari badsah,chandramukhi,alankar","BIHAR","SITAMARHI","SUPPI                                             ","2014-11-06 15:44:11.313"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","varities","hd2733,pbw343,pbw443,","BIHAR","SITAMARHI","RUNNISAIDPUR                                      ","2014-11-07 07:13:36.570"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","FUNGAL PROBLEM OF POTATO","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SITAMARHI","SURSAND                                           ","2014-11-10 08:17:37.013"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","VARIETY OF SARSON-","VARIETY OF SARSON- RAJENDRA SARSON-1, SWARNA","BIHAR","SITAMARHI","SONBARSA                                          ","2014-11-11 18:45:42.517"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Partly sunny
Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","BIHAR","SITAMARHI","SUPPI                                             ","2014-11-12 09:56:04.597"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Agriculture Mechanization","Weather information","Today and tomorrow chance of rain","BIHAR","SITAMARHI","SONBARSA                                          ","2014-11-12 19:29:44.890"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","insect problem  OF BEANS","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","SITAMARHI","PARSAUNI                                          ","2014-11-14 07:56:05.727"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT CONTROL","Spray quinolphos @ 2 ml in one litre of water","BIHAR","SITAMARHI","NANPUR                                            ","2014-11-16 15:21:09.720"
