"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","flowr drooping in bottel guard","spray planofix @ 1ml/ liter of water","BIHAR","SIWAN","PACHRUKHI                                         ","2014-11-03 12:40:29.900"
"RABI","HORTICULTURE","Vegetables","Potato","Field Preparation","varieties of potato","kufri ashoka, kufri lalima,kufri sinduri","BIHAR","SIWAN","ANDAR                                             ","2014-11-03 13:08:31.103"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Insect problem in gevada","Spry quinalphos@ 1 ml in 1 litre of water","BIHAR","SIWAN","SIWAN                                             ","2014-11-03 14:36:16.377"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","SIWAN","BHAGWANPUR HAT                                    ","2014-11-03 17:40:58.217"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Fertilizer Use and Availability","fertilizer application in cauliflower-","fertilizer application in cauliflower- compost200 kg , potash 80 kg, 10-15 kg boron and molybdenum, 1 kg sodium molibdate per hec. ke hisab se chidkaw karen","BIHAR","SIWAN","GORIAKOTHI                                        ","2014-11-04 07:00:09.577"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","sms portal","ok","BIHAR","SIWAN","RAGHUNATHPUR                                      ","2014-11-05 10:05:18.190"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","VARIETIES OF WHEAT","VARIETIES ARE H.D-2733,P.B.W-343,443","BIHAR","SIWAN","LAKRI NABIGANJ                                    ","2014-11-05 18:58:39.503"
"RABI","HORTICULTURE","Vegetables","Cucumber","Cultural Practices","ferlizer recomendation in maize","use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","BIHAR","SIWAN","DARAUNDHA                                         ","2014-11-07 14:22:16.140"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","insect problem","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","SIWAN","MAIRWA                                            ","2014-11-13 11:02:56.100"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","How I do seed treatment","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","SIWAN","BARHARIA                                          ","2014-11-14 20:37:40.867"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PLANT PROTECTION OF POTATO","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","SIWAN","BARHARIA                                          ","2014-11-17 08:34:27.587"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED CONTROL IN WHEAT-","WEED CONTROL IN WHEAT- SPRAY SALFOSALFURAN @ 33 GRAM/HACT","BIHAR","SIWAN","GUTHANI                                           ","2014-11-20 09:58:49.830"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","Weed Management in wheat","weed managment in wheat - spray sulphosulfuron @ 16 gram in 400 liter of water after 30 days of sowing","BIHAR","SIWAN","BHAGWANPUR HAT                                    ","2014-11-20 10:37:40.950"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","drying plant of papaya","spray copper oxy chloride @2ml/lit of water","BIHAR","SIWAN","BARHARIA                                          ","2014-11-20 17:54:41.047"
"RABI","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","fertilizer doses in mango","fertilizer doses in mango- 
NPK- 1000:300:700 GRAM+ VERMICOMPOST PER TREE","BIHAR","SIWAN","BASANTPUR                                         ","2014-11-22 11:22:54.580"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Soil Testing","VARIETIES OF WHEAT","VARIETIES OF WHEAT - HD-2733,HD-2967,PBW-343,PBW-443","BIHAR","SIWAN","SISWAN                                            ","2014-11-26 17:14:18.883"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Varieties OF wheats","HD 2733 , PBW 343,PBW-443,HD-2967","BIHAR","SIWAN","DARAUNDHA                                         ","2014-11-30 09:30:10.933"
