"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","SUPAUL","BASANTPUR                                         ","2014-11-01 18:04:52.703"
"KHARIF","AGRICULTURE","Oilseeds","Karan Rai","Crop Insurance","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","BIHAR","SUPAUL","KISHANPUR                                         ","2014-11-02 17:31:17.610"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","Application of fertilizers","Apply 15 t/ha of FYM and 2 kg each of Azospirillum and Phosphobacterium as basal and 120 kg N, 240 kg P and 120 kg K/ha in two splits; half as basal and the balance for top dressing on 30 days after sowing.  Apply Magnesium sulphate at 60 kg/ha as basal dose.","BIHAR","SUPAUL","TRIBENIGANJ                                       ","2014-11-05 09:36:40.610"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","Application of fertilizers","Apply 15 t/ha of FYM and 2 kg each of Azospirillum and Phosphobacterium as basal and 120 kg N, 240 kg P and 120 kg K/ha in two splits; half as basal and the balance for top dressing on 30 days after sowing.  Apply Magnesium sulphate at 60 kg/ha as basal dose","BIHAR","SUPAUL","TRIBENIGANJ                                       ","2014-11-05 20:04:14.183"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Today no chance of rain","BIHAR","SUPAUL","KISHANPUR                                         ","2014-11-06 08:31:05.557"
"RABI","AGRICULTURE","Pulses","Rajma (french bean)","Cultural Practices","sowing time in rajama","sowing time in rajama @ November.","BIHAR","SUPAUL","CHHATAPUR                                         ","2014-11-06 11:40:19.420"
"RABI","AGRICULTURE","Others","Others","Varieties","VARIETIES OF RAJMA","P .D .R. 14,H .U .R .15","BIHAR","SUPAUL","CHHATAPUR                                         ","2014-11-11 07:40:04.173"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat variety","wheat variety-HD-2733","BIHAR","SUPAUL","NIRMALI                                           ","2014-11-12 09:53:27.260"
"JAYAD","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","insect problem","spray dimethoate @ 1 ml / lt of water","BIHAR","SUPAUL","NIRMALI                                           ","2014-11-16 09:35:30.623"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","fungal problem of onion","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","SUPAUL","NIRMALI                                           ","2014-11-17 11:43:04.050"
