"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Farmer want to know information about  weather forecast  ?","01/11               02/11               03/11               04/11               05/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","JASHPUR","PATTHALGAON                                       ","2014-11-01 08:42:09.013"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Farmer want to control of fungal disease in cauliflower ?","Spraying of   hexaconozole 5 ec  @ 16 gram  /pump","CHHATTISGARH","JASHPUR","BAGICHA                                           ","2014-11-01 16:20:47.670"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about Which fertilizer and nutrient give for better growth in crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","CHHATTISGARH","JASHPUR","JASHPUR                                           ","2014-11-02 07:38:24.227"
"RABI","AGRICULTURE","Others","Others","Weather","weather information in jashpur ?","02/11               03/11               04/11               05/11               06/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","JASHPUR","PATTHALGAON                                       ","2014-11-02 09:13:26.387"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Control  of  Downy Mildew, Late Blight, Leaf Spot,Stem rot,fruit rot and  Canker?","Spray  of  Copper oxychloride 50%WP(Blue copper  or  Dhanucop)@  45 gm/pump.","CHHATTISGARH","JASHPUR","PATTHALGAON                                       ","2014-11-04 10:59:01.967"
"KHARIF","HORTICULTURE","Fruits","Litchi","	Plant Protection	","fertuilizer application","Name of the fruit with botanical name

Varieties

Spacing

Manures and fertilizers

Yield

Litchi
(Litchi chinensis Sonner.)

Muzafarpur, Dehradun, Calcutta, seedless late and Rose scented Cauvery

10 x 10 m

FYM : 60 kg
N:100 g, P:40 g and K:400 g for 10 year old tree.  Apply N in two split doses in Feb. & April.  FYM, P and K to be applied in Dec.
80 – 100 kg/tree","CHHATTISGARH","JASHPUR","BAGICHA                                           ","2014-11-05 13:52:22.790"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Farmer want to know informarion about mandi rate seva ?","your mobile number mandi rate start","CHHATTISGARH","JASHPUR","KUNKURI                                           ","2014-11-05 14:02:56.497"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","blight control in tomato ?","spray of chlorotahlonil @ 2 gm / liter .","CHHATTISGARH","JASHPUR","KUNKURI                                           ","2014-11-05 17:23:20.117"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal fruit & stem borer control ?","apply cartap hydrochloride @ 7.5 kg / acre .","CHHATTISGARH","JASHPUR","BAGICHA                                           ","2014-11-05 19:10:33.367"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","JASHPUR","BAGICHA                                           ","2014-11-06 11:24:40.530"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","how to improve growth ?","spray poshak super @2ml./litre of water.","CHHATTISGARH","JASHPUR","JASHPUR                                           ","2014-11-06 17:02:05.487"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ADDRES OF KVK","Dr. A Kuraishi
Programme Coordinator
Krishi Vigyan Kendra
Pahalgaon
District Jashpur – 496118
- 07765-
233206
- 09981553006
09406333039","CHHATTISGARH","JASHPUR","KUNKURI                                           ","2014-11-07 12:10:09.473"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","farmer want to know information about How to control of fungal attack in potato crop ?","copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","CHHATTISGARH","JASHPUR","DULDULA                                           ","2014-11-07 12:18:44.190"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about Which non selective herbicide use in field?","Spray  of Glyphosate 41% SL 100 ml per pump.","CHHATTISGARH","JASHPUR","DULDULA                                           ","2014-11-07 12:21:43.360"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about  Fertilizer dose in wheat crop ?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","CHHATTISGARH","JASHPUR","KUNKURI                                           ","2014-11-08 12:06:38.537"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","how to increse yield of tomato","use boomflower","CHHATTISGARH","JASHPUR","JASHPUR                                           ","2014-11-09 08:55:52.687"
