"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","farmer wants to information of variety of potato?","variety of potato- kufri chandramukhi, kufri jawahar, kufri lalima.","CHHATTISGARH","KORBA","PALI                                              ","2014-11-01 07:32:32.330"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about How to control white fly in crop?","Spray daiphenthuran (pegasas) 10 to 15 gram at per pump","CHHATTISGARH","KORBA","PALI                                              ","2014-11-01 09:11:17.827"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control of fungal attack in paddy crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","KORBA","PALI                                              ","2014-11-01 10:45:50.817"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control false smut in paddy ?","Two sprayings of Propiconazole 25 EC @ 500ml/hectare (at boot leaf and 50% flowering stages.","CHHATTISGARH","KORBA","KATGHORA                                          ","2014-11-01 15:56:29.963"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","how to control false smut in paddy ?","Spray - Carbendazim + Thiram + Mancozeb (1:1:1) 0.2% at 50% flowering stage to control false smut in paddy .","CHHATTISGARH","KORBA","KATGHORA                                          ","2014-11-01 16:57:23.653"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Farmer want to information  of weather for?","Your district has no daily rainfall","CHHATTISGARH","KORBA","KATGHORA                                          ","2014-11-01 19:31:16.580"
"RABI","AGRICULTURE","Others","Others","Weather","Tell me Weather forecast ?","chance of no rainfall next five days.","CHHATTISGARH","KORBA","PODI UPARODA                                      ","2014-11-01 21:20:31.693"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","KORBA","PALI                                              ","2014-11-02 08:55:16.237"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control white fly in soyabean crop?","Spray Dimethoate 30%EC (Rogar) 40 ml per pump","CHHATTISGARH","KORBA","PALI                                              ","2014-11-03 07:44:21.277"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","KORBA","PODI UPARODA                                      ","2014-11-03 07:47:53.340"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of bph in paddy ?","??? ??? ??? ?????? ????, ???? ??? ??? ????? ??? ?? ???????? ?? ??? ?????????????  36  ??????? 1500  ??.??.  ?? ??????????????  125 ??  .??. ?? ???????? + ???????????? 150 ??.??.  .?? ?????? ???","CHHATTISGARH","KORBA","PALI                                              ","2014-11-03 08:05:13.943"
