"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","how to control Bacterial Wilt ?","Splitting of the tubers at the time of the planting should be avoided as splitting spreads the disease even to health tubers.
Application of stable bleaching powder (12kg/ha) mixed with fertilizer in furrows while planting reduces wilt incidence by 80%.
Practicing crop rotation for 2-3 years with crops like maize, finger millet, cereals, garlic, lupin, and onion cabbage can reduce the disease inoculum.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-11-01 17:20:44.860"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","Farmer want to know about Varieties of Wheat crop?","Recommended for Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti) are wheat crop varieties.
Recommended for Irrigated Late sown- Lok-1, GW 173, DL 788-2 (vidisha), HI 1454 (Abha), MP 4010, HI 1418 (Naveen Chandusi), HD 2402, HD 2932 (Pust wheat-111) are wheat crop varieties Recommended for Unirrigated – sujata, MP 3020, HW 2004 (amar), JWS 17, HI 1500, HI 1531, HI 4672 (Malavratna), HI 8627, HI 7483 (Meghdut) are wheat crop varieties.","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-11-01 18:02:03.807"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","aphids control in chilli ?","spray imidaclopride @ 5 ml / pump.","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-11-01 18:18:52.027"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-11-02 08:07:59.527"
"RABI","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","FRHUIT ANTHACNOSE control in POMEGRANATE ?","spray of chlorotahlonil @ 2 gm / liter .","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-11-02 14:06:49.120"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to  control boron Deficiency ?","spray borex @ 2gm/litre of water.","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-11-03 15:35:03.937"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant leafhopper","•Apply any one of the following insecticides ?Phosalone 35 EC 1500 ml/ha
?Carbaryl 10 D 25 kg/ha
?Methyl demeton 25 EC 1000 ml/ha
?Chlorpyriphos 20 EC 1250 ml/ha
?Acephate 75 % SP 666-1000 g/ha
?Azadirachtin 0.03% 1000 ml/ha
?Buprofezin 25% SC 800 ml/ha
?Carbosulfan 25 EC 800-1000 ml/ha
?Chlorantraniliprole 18.5% SC 150 g/ha
?Chlorantraniliprole 0.4% G 10 kg/ha","CHHATTISGARH","KORIYA","KHADGAWANA                                        ","2014-11-04 07:10:18.010"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer wants to know about verities of paddy crop?","Recommended for I.R.-64, I.R.-36, Mahamaya, Kranti, Madhuri, Pusa Basmati 1, Pusa sundha 2, Pusa sundha 3 are paddy verities.","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-11-04 15:04:42.507"
"RABI","AGRICULTURE","Others","Others","Weather","weather forecast ?","chance of no  rainfall next five days .","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-11-04 18:29:56.427"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control of fungal attack in tomato crop?","???? ????? ???????? ??? ?? 45 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???| 
???????? 63% + ????????????? 12% WP ??? ?? 40 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-11-05 12:21:29.893"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","time of sowing of wheat ?","?????? ??? ??? ???? ????? ????? ?? ?????? ????????? ?? ?? ???? ???","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-11-05 16:29:18.440"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Farmer want to stem borer control in brinjal  ?","Spraying of Cartap Hydrochloride (Keldon)  @ 35 gm  /pump.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-11-05 21:17:12.827"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about  Fertilizer dose in wheat crop ?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-11-06 08:56:45.150"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weather information ?","some clouds in your area","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-11-07 07:40:49.830"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","Fertilizer dose in wheat crop?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-11-07 17:58:56.057"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about varieties of Wheat crop?","Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti).","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-11-08 10:46:07.570"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather information ?","some clouds in your area","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-11-09 09:33:16.317"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","How to control white fly ?","Spray Dimethoate 30%EC (Rogar) 40 ml per pump.","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-11-09 09:37:18.587"
