"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-01 07:03:41.190"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-01 07:50:02.380"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","How to control white fly in beans crop?","Spray Daiphenthuran (Pegasas) 10 to 15 gram at per pump.","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-11-01 08:19:14.320"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control caterpillars in BRINJAL crop?","Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.","CHHATTISGARH","RAIGARH","PUSSORE                                           ","2014-11-01 09:34:09.110"
"RABI","HORTICULTURE","Vegetables","Amaranthus/Grain Amaranthus","	Plant Protection	","Control  of   Sucking Pests  of  Cotton, Rice and Vegetables ?","Spray of  Imidacloprid 17.8 % SL(confidor)  @ 7 ml/pump","CHHATTISGARH","RAIGARH","KHARSIA                                           ","2014-11-01 11:55:43.050"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","farmer want to know information about How to control white fly in crop?","Spray daiphenthuran (pegasas) 10 to 15 gram at per pump","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-01 12:54:34.137"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about weather?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              02/11               03/11               04/11               05/11               06/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-01 12:59:56.020"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast control paddy ?","spray propiconazole @ 1 ml / liter ,","CHHATTISGARH","RAIGARH","RAIGARH                                           ","2014-11-01 14:44:52.147"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant hopper, Green leaf hopper White backed plant hopper Jassid, Thrips, Whitefly  in paddy?","Spray Buprofezin 25% SC  @ 800 ml / Hectare Recommendation for use :","CHHATTISGARH","RAIGARH","KHARSIA                                           ","2014-11-01 15:17:55.860"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","how to control leaf curl disease in tomato ?","spray Dimethoate 30 EC 1ml/litre","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-01 15:27:20.097"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control Grain discoluration ?","Spray - Carbendazim + Thiram + Mancozeb (1:1:1) 0.2% at 50% flowering stage.","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-01 15:32:29.770"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","leaf blight control in ginger ?","spray of chlorotahlonil @ 2 gm / liter .","CHHATTISGARH","RAIGARH","PUSSORE                                           ","2014-11-01 15:52:18.863"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","FARMER WANT TO HOW KNOW TO CONTROL FUNGAL INFECTION IN CHILLI CROP ?","Recommended for spray  HEXACONAZOL 30 ML and  steptrocyclin 1 gram at 15 liter of water","CHHATTISGARH","RAIGARH","","2014-11-01 16:31:32.647"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","Farmer wants to know about sowing time of wheat crop?","recommended for 15 th october to 1 st week of november is the best sowing time for inirrigated wheat crop.","CHHATTISGARH","RAIGARH","LAILUNGA                                          ","2014-11-01 18:34:10.830"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","Farmer wants to know about sowing time of wheat crop?","recommended for 15 th october to 1 st week of november is the best sowing time for inirrigated wheat crop.","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-11-01 19:47:24.960"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control of fungal attack in tomato crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","RAIGARH","LAILUNGA                                          ","2014-11-02 06:51:36.693"
"RABI","HORTICULTURE","Vegetables","Onion","Agriculture Mechanization","farmer want to know information about  How to control caterpillars in crop?","Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-11-02 10:08:42.843"
