"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","ZIC DEFICENCY IN WHEAT","SPRAY OF ZINK SULPHATE  1.5 KG + BUJA HUA CHUNA 750 GRAM IN 125  LITER WATER","DELHI","North East","DELHI","2014-12-01 07:54:34.937"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME LATE VARIETY IN WHEAT","LATE VARIETY IN WHEAT PBW- 373, DBW- 16 , RAJ-3765 , HD- 2985","DELHI","North East","DELHI","2014-12-01 08:40:59.767"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","tell me disease in marigold .","sprsy carbendazim 2g/lit of water .","DELHI","North East","DELHI","2014-12-02 16:26:44.000"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","late varity of wheat","raj 3765.pbw-590,373 up -2425 late varity of wheat","DELHI","North East","DELHI","2014-12-03 13:50:42.597"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PLZ TELL ME CONTROL OF APHIDS IN POTATO","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","DELHI","North East","DELHI","2014-12-03 14:29:26.883"
"RABI","HORTICULTURE","Condiments and Spices","Turmeric","Cultural Practices","TELL ME TURMERIC DRY PROCESS IN CONTACT  NUMBER","TURMERIC DRY PROCESS IN CONTACT  NUMBER Krishi Vigyan Kendra
 Khadrabad, Near Tehsil Modinagar Distt. Ghaziabad - 201002 
0120-
 2756534","DELHI","North East","DELHI","2014-12-04 08:59:03.133"
"RABI","HORTICULTURE","Vegetables","Cabbage","Nutrient Management","MIRONUTRENT DEFICENCY IN CABBAGE","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","DELHI","North East","DELHI","2014-12-04 09:58:18.790"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","TELL ME FERTILIZER IN WHEAT","ZINK SULPHATE DOSE FOR WHEAT - 20-25 KG/HA ON SOIL TESTING BASE","DELHI","North East","DELHI","2014-12-04 10:03:49.720"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","TELL ME FERTILIZER IN WHEAT","SPRAY SOLUBLE NPK  18:18:18 GRADE 5 GM/LTR WATER","DELHI","North East","DELHI","2014-12-04 10:47:35.160"
"RABI","AGRICULTURE","Oilseeds","Brown Sarson","	Plant Protection	","PLZ TELL ME CONTROL APHIDS IN MUSTARD","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","DELHI","North East","DELHI","2014-12-05 08:22:31.583"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","PLZ TELL ME MARKET RATE OF DHAN -1121 IN NARELA MANDI","MARKET RATE OF DHAN -1121 IN NARELA MANDI-2844/Q","DELHI","North East","DELHI","2014-12-05 09:01:25.470"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME TRMAIAT control in wheat .","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","DELHI","North East","DELHI","2014-12-06 10:19:14.753"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","PLZ TELL ME LATE VARIETY OF WHEAT","late VARIETY OF WHEAT -RAJ-3077 HD -2885 RAJ-3765 PBW-373 UP-2425","DELHI","North East","DELHI","2014-12-07 08:06:08.877"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","THRIPS IN ONION","SPRAY OF ACEPHATE 75% SP 2 MENCOJEB 2GM GM +PER LITER WATER","DELHI","North East","DELHI","2014-12-07 12:20:22.270"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","TELL ME CONT. OF WEED","SPRAY OF SALFASULFURAN 25GM +METSULFURAN METHAYL 4GM PER HACTER 400-500LIT.WATER","DELHI","North East","DELHI","2014-12-07 20:53:57.407"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME WHEAT LATE VARIETIES.","WHEAT LATE VARIETIES PBW-590,RAJ-3765,UP-2425","DELHI","North East","DELHI","2014-12-10 10:03:16.060"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","TELL ME MANDI PRICE OF DHAN","Paddy 1121 - - 2734 2350 2050 
Sugandh - - 1560 1510 1450","DELHI","North East","DELHI","2014-12-11 09:05:43.257"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","TELL ME CONTROL WEEDS IN WHEAT","USES= METRIBUZIN 175 GRAM/HECATER  500 LITER WATER IN WHEAT AFTER SOWING 25-30 DAYS","DELHI","North East","DELHI","2014-12-11 16:30:43.800"
"RABI","AGRICULTURE","Others","Others","Soil Testing","TELL ME SOIL TEST IN SAMPLE","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL 
CONTACT TO AG. DEPTT. FOR SOIL TESTING","DELHI","North East","DELHI","2014-12-12 11:04:39.627"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE NEXT 3-4 DAYS","DELHI","North East","DELHI","2014-12-13 10:26:40.900"
