"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","TELL ME  MAGAZINE AVALAIBLE IN PUSA","??. ??. ????, ??????? ???????
 ???? ????? ?????? ????????
 ?????? ???? ???????? ?????
 ???? ???????? ???-I, ???? , ?? ??????-110 012 INDIA
 Phone: 91-11-25843657 Fax: 91-11-25841282","DELHI","South West","DELHI","2014-12-01 10:09:47.007"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME CONT. OF WEED IN WHEAT","ALL WEED CONTROL IN WHEAT CROPS SPRAY TOTAL( SULFOSULFURAN 75%+METASULFURAN METHYL 5 % )80 WG 32 GM DISSOLVE 400-500 LITAR WATER SPRAY AFTER SOWING 30-35 DAYS","DELHI","South West","DELHI","2014-12-02 14:02:43.543"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","TELL ME CONTROL BLACK RUST IN WHEAT","SPRAY= PROPEKONIZOL 1 ML/LITER WATER IN WHEAT","DELHI","South West","DELHI","2014-12-02 17:58:33.400"
"RABI","AGRICULTURE","Others","Others","Market Information","TELL ME COMMISION AGENT IN MANDI OF AZADPUR","COMMISION AGENT IN MANDI OF AZADPUR IN CONTACT OF  MANDI SUPERVIOSER","DELHI","South West","DELHI","2014-12-04 09:28:20.083"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","TELL ME FERTILIZER IN WHEAT","ZINK SULPHATE DOSE FOR WHEAT - 20-25 KG/HA ON SOIL TESTING BASE","DELHI","South West","DELHI","2014-12-04 10:20:53.577"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME LATE VARIETY NAME  OF WHEAT","LATE VARIETY NAME  OF WHEAT  PBW- 373 , DBW- 16 ,HD- 16","DELHI","South West","DELHI","2014-12-04 10:24:13.470"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","NO RAIN FALL NEXT FIVE DAYS.","DELHI","South West","DELHI","2014-12-04 15:24:43.630"
"RABI","HORTICULTURE","Fruits","Sapota","Cultural Practices","TELL ME CONTROL FLOWER DROPING IN SAPOTA.","SPRAY PLANOFIX 1ML PER 4 LITTER WATER.","DELHI","South West","DELHI","2014-12-04 17:31:34.123"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","South West","DELHI","2014-12-05 09:45:33.223"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","tell me insect control leaf in marigold .","SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER","DELHI","South West","DELHI","2014-12-06 16:05:36.543"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","TELL ME WEED CONTROL  IN WHEAT CROP","ALL WEED CONTROL IN WHEAT CROPS SPRAY ( SULFOSULFURAN 75%+METASULFURAN METHYL 5 % )80 WG 32 GM DISSOLVE 400-500 LITAR WATER SPRAY AFTER SOWING 30-35 DAYS","DELHI","South West","DELHI","2014-12-07 08:05:25.610"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","TELL ME TOMATO SEED AVLAIBLE IN DELHI","TOMATO SEED AVLAIBLE IN DELHI CONTACT IN PUSA BEEJ BHAWAN 011 25841670 ,25842684","DELHI","South West","DELHI","2014-12-07 10:04:59.593"
"RABI","HORTICULTURE","Fruits","Ber","	Plant Protection	","TELL ME CONTROL FRUIT BORER IN BER PLANT.","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","DELHI","South West","DELHI","2014-12-07 17:59:14.167"
"RABI","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","TELL ME MUSHROOM TRANING CENTER FOR CONTACT","MUSHROOM TRANING CENTER FOR CONTACT IN KVK UJWA 9818087979","DELHI","South West","DELHI","2014-12-08 08:26:57.090"
"RABI","AGRICULTURE","Oilseeds","Mustard","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","South West","DELHI","2014-12-08 11:47:56.020"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","TELL ME FERTILIZER IN WHEAT CROP","ZINK SULPHATE DOSE FOR WHEAT - 20-25 KG/HA ON SOIL TESTING BASE","DELHI","South West","DELHI","2014-12-08 12:28:23.423"
