"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","PLZ TELL ME CONTROL  OF FRUIT BORER IN CABBAGE","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","DELHI","South","DELHI","2014-12-01 09:32:02.200"
"RABI","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","TELL ME CONTACT NUMBER IN KVK UJWA","CONTACT NUMBER IN KVK UJWA - 9818087979","DELHI","South","DELHI","2014-12-01 11:12:50.953"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","TELL ME DIEMOND BACK MONTH CONTROL IN CAULIFLOWER","SPRAY OF QUINOLPHOS 2 ML PER LITER WATER","DELHI","South","DELHI","2014-12-04 11:13:05.247"
"RABI","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Beekeeping","varity of wheat","pvw373 dbw14 dbw16","DELHI","South","DELHI","2014-12-05 10:22:58.843"
"RABI","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Beekeeping","varity of wheat","pvw373 dbw14 dbw16","DELHI","South","DELHI","2014-12-05 10:22:59.130"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","FLOWER DROPING IN PAPAYA","SPRAY PLANOFIX 1 ML/4 L. WATER","DELHI","South","","2014-12-07 15:36:42.407"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","PLZ TELL ME CONTROL OF APHIS IN POTATO","SPRAY OF ACEPHATE  75% SP 2 GM PER LITER WATER","DELHI","South","DELHI","2014-12-08 13:26:34.593"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","TELL ME APHID CONTROL IN POTATO CROP","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER 
SPRAY OF MENCOJEB 2GM PAR LITAR WATER","DELHI","South","DELHI","2014-12-08 13:38:17.500"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","TELL ME CONTACT NO OF NDRI","PLEASE CALL TO TOLL FREE NO 18001801199  10:00 TO 4:00 PM","DELHI","South","DELHI","2014-12-08 16:03:06.033"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","TELL ME USES UREA IN WHEAT 1ST IRRIGATION TIME","USES UREA IN WHEAT 1ST IRRIGATION TIME 20 KG/ACRE","DELHI","South","DELHI","2014-12-09 12:33:13.923"
"RABI","HORTICULTURE","Plantation Crops","Sandal Wood","	Plant Protection	","TELL ME CONTROL TERMIT IN SISAM PLANT.","USE-CALOROPYRIPHOS 20EC 10ML PER PLANT WITH WATER.","DELHI","South","DELHI","2014-12-10 08:49:19.077"
"RABI","HORTICULTURE","Fruits","Mango","Cultural Practices","TELL ME CONTECT NUMBER OF PUSA","YOU SHOULD BE CONTECT 011-25841670","DELHI","South","DELHI","2014-12-11 09:11:17.493"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Fertilizer Use and Availability","TELL ME FERTILIZER IN CAULIFLOWER","USE  IN VERMICOMPOST FERTILIZER IN CAULIFLOWER","DELHI","South","DELHI","2014-12-12 08:41:36.593"
