"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","tell me disease in chillies .","DRENCHING OF CARBENDAZIM 50 WP  250 GM PER BEEGHA","DELHI","West","DELHI","2014-12-02 16:18:12.637"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME SUBSIDY ON TRACTOR.","25% OR MORE THAN 45000 RUPEES.","DELHI","West","DELHI","2014-12-09 18:21:43.910"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","ZIC DEFICENCY IN WHEAT","ZINK SULPHATE DOSE FOR WHEAT - 20-25 KG/HA ON SOIL TESTING BASE","DELHI","West","DELHI","2014-12-10 12:30:36.273"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","TELL ME SOIL TEST IN DELHI","YOU SHOULD BE SOIL TEST IN IARI SOIL DEPARTMENT","DELHI","West","DELHI","2014-12-10 14:16:50.927"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","TELL ME CONTACT NO OF PUSA ATIC","PLEASE CONTACT TO PUSA ATIC 011-25841670,25841039","DELHI","West","DELHI","2014-12-10 18:16:31.170"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","TELL ME FERTILIZER IN POTATO","ZINK SULPHATE DOSE FOR POTATO  - 20-25 KG/HA ON SOIL TESTING BASE
SPRAY OF MENCOJEB 2GM PAR LITAR WATER","DELHI","West","DELHI","2014-12-11 11:44:51.423"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","TELL ME VARITIES OF PAPAYA","TAIWAN,PUSA MEJESTIC","DELHI","West","DELHI","2014-12-16 13:40:29.160"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","TELL ME FERTILIZER IN WHEAT CROP","DOSE OF UREA FOR TOP DRESSING IN WHEAT  = 40 KG PER HA","DELHI","West","DELHI","2014-12-18 08:21:05.560"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","LATE VARITY OF WHEAT","PBW-590,373,RAJ-3765 LATE VARITY OF WHEAT","DELHI","West","DELHI","2014-12-18 17:44:59.020"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","PLZ TELL  ME CONTROL OF STEM BORER IN WHEAT","FIPRONI 0.3 % @ 12-14 KG PER HAC WITH IRRIGATION","DELHI","West","DELHI","2014-12-28 11:42:42.157"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","TELL ME CONTROL LEAF CURL IN POTATO.","SPRAY DIMETHOATE 30EC 2ML PER LITTER WATER.","DELHI","West","DELHI","2014-12-29 18:17:46.450"
"RABI","AGRICULTURE","Fodder Crops","Anjan Grass","Fertilizer Use and Availability","N AND P DEFFICENCT IN GRASS","SPRAY -UREA PHOSPHATE 17-44@10 GRAM PER LIT WATER","DELHI","West","DELHI","2014-12-30 11:58:19.220"
