"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Chillies","Agriculture Mechanization","variety of chiili","variety of chiili - roshani , agnirekha , jyoti","GOA","GOA SOUTH","CANACONA                                          ","2014-12-03 15:55:30.283"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Cultural Practices","seed treatment?","??????? ???? ????????? - ???????? 300 ???? + 100 ?????  ??????????? / 100 ???? ??????? ???? 5-10 ?????? ?????? ????","GOA","GOA SOUTH","SANGUEM                                           ","2014-12-06 15:39:56.090"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in latur  ?","Partly cloudy, no   possible of rain .","GOA","GOA SOUTH","CANACONA                                          ","2014-12-06 16:52:27.813"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer?","Spray Proclaim 5gm/15lit of Water.	
????????? 5?????/15???? ??????????? ???? ?????? ?????.­­­","GOA","GOA SOUTH","CANACONA                                          ","2014-12-09 17:52:28.920"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","WILT ON CHILLI","BAVISTIN 20 GM + HUMIC ACID 20 ML /15 LITER WATER DRENCHING","GOA","GOA SOUTH","CANACONA                                          ","2014-12-10 12:07:37.327"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","period for chilly seedling?","period for chilly seedling-30-40 days","GOA","GOA SOUTH","CANACONA                                          ","2014-12-15 17:39:01.067"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","FERTILIZER DOSE FOR CHILLIES?","FERTILIZER DOSE FOR CHILLIES IS 1 BAG UREA + 1 BAG 10:26:26 + MICRONUTRIENTS 10 KG + GRANULE 10 KG / ACRE","GOA","GOA SOUTH","CANACONA                                          ","2014-12-19 12:10:00.467"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Thrips Attack ?","Spray Metador 15 gm / 15 lit of water","GOA","GOA SOUTH","CANACONA                                          ","2014-12-21 18:41:17.130"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Fertilizer Dose –","24:24:00 Two Bags + Shakti 25 Kilo + Kranti 20 Kilo","GOA","GOA SOUTH","SANGUEM                                           ","2014-12-21 18:42:46.347"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","WEATHER ?","cloudy weather  with no rainfall","GOA","GOA SOUTH","SANGUEM                                           ","2014-12-22 20:40:51.023"
"RABI","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather ,  no chances of rainfall","GOA","GOA SOUTH","CANACONA                                          ","2014-12-22 20:46:05.990"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","APHID","Spray Chloropyriphos 30ml/15 Lit of Water.","GOA","GOA SOUTH","CANACONA                                          ","2014-12-28 12:45:01.987"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","ASKED ABOUT SMS Activation ?","Sms scheme is activated successfully","GOA","GOA SOUTH","CANACONA                                          ","2014-12-30 11:30:54.817"
