"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","ask for termite in wheat information","suggest: apply cloropayriphsoe 300ml/vigha","GUJARAT","AHMADABAD","DHOLKA                                            ","2014-11-01 09:11:45.950"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","ask for weather information","suggest: 18001801717 pleaes contact on this number","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-11-01 10:22:53.777"
"KHARIF","HORTICULTURE","Condiments and Spices","Fenugreek","Agriculture Mechanization","ask for fenugreek sowing information","suggest: sowing time is october","GUJARAT","AHMADABAD","MANDAL                                            ","2014-11-01 11:06:35.350"
"KHARIF","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","ask for potato fertilizer dose information","suggest: in potato  give 220:110:220 npk kg/ha","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-11-01 16:32:13.317"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Agriculture Mechanization","ask for chili mosaic information","""suggest: spray  dimethoate 20ml/pump 
""","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-11-01 18:03:35.553"
"KHARIF","HORTICULTURE","Condiments and Spices","Fenugreek","	Plant Protection	","ask abt methi in seed rate","20 to 25 kg/ha","GUJARAT","AHMADABAD","DHANDHUKA                                         ","2014-11-01 20:13:44.730"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask for cotton flower dropping problem.","I suggested to spray boomflower 25 ml./pump.","GUJARAT","AHMADABAD","DHANDHUKA                                         ","2014-11-02 08:34:08.950"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","ask for weather information","suggest: 18001801717 pleaes contact on this number","GUJARAT","AHMADABAD","AHMADABAD CITY                                    ","2014-11-02 08:47:34.710"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton angular disease control","suggest:streptocyclin 6 gm+blue coper 50 gm/100 lit water","GUJARAT","AHMADABAD","DHANDHUKA                                         ","2014-11-02 09:51:42.003"
"KHARIF","AGRICULTURE","Others","Others","Weather","aSK FOR WEATHER INFORMATION","CALL 1800 180 1717","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-11-02 10:33:55.947"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton flower drop information","suggest:sprey boron 25 gm/gest:pump","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-11-02 10:44:49.370"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask about sucking pest in coton","Traizophos 20 ml / 10 lit water","GUJARAT","AHMADABAD","DETROJ RAMPURA                                    ","2014-11-02 11:12:02.373"
"KHARIF","AGRICULTURE","Others","Others","	Water Management	","suggest:contect to gram sevak","suggest:contect to gram sevak","GUJARAT","AHMADABAD","DASKROI                                           ","2014-11-02 11:13:33.457"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","ask for okra weedi side","not use weedicide.","GUJARAT","AHMADABAD","VIRAMGAM                                          ","2014-11-02 11:31:25.687"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","AHMADABAD","DHANDHUKA                                         ","2014-11-02 11:44:13.443"
"KHARIF","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask abt seedrate in cumin crop","16kg/ha need seed rate in cumin crop","GUJARAT","AHMADABAD","DHANDHUKA                                         ","2014-11-02 14:36:31.220"
