"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Fodder Crops","fodder sorghum","	Plant Protection	","ask for sorghum  fertilizer dose","sugg to 15 kg uriya/vigha","GUJARAT","AMRELI","AMRELI","2014-12-01 10:54:35.440"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Cultural Practices","ASK FOR CUMIN VARIETY INFORMATION","I SUGGESTED GUJARAT CUMIN 4","GUJARAT","AMRELI","BAGASARA                                          ","2014-12-01 14:56:49.010"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","ask for fungus problem","suggest:blue copper 40 gm per pamp and dranching","GUJARAT","AMRELI","BABRA                                             ","2014-12-01 15:01:04.520"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about chusia in coton","suggeseted trayjofos 25ml per pump","GUJARAT","AMRELI","BAGASARA                                          ","2014-12-01 16:31:13.910"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASK FOR ONION BROWN LEAF SPOT CONTROL","I SUGGESTED TO SPREY CARBANDAZIM 25 GM/PUMP","GUJARAT","AMRELI","SAVERKUNDLA                                       ","2014-12-01 17:30:40.690"
"RABI","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","ASK FOR WATERMELON SOWING SEASON","I SUGGESTED AT FEB-MARCH","GUJARAT","AMRELI","KUNKAVAV -VADIA                                   ","2014-12-01 18:24:06.513"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ask for fungus problem","suggest:mancozeb 30 gm per pamp and to sprey","GUJARAT","AMRELI","RAJULA                                            ","2014-12-01 19:17:59.770"
"RABI","AGRICULTURE","Others","Others","Market Information","Asking for registration in kisan call center","suggest:Registration successfully done.","GUJARAT","AMRELI","DHARI                                             ","2014-12-01 20:58:59.460"
"RABI","AGRICULTURE","Others","Others","Market Information","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","AMRELI","BABRA                                             ","2014-12-01 21:07:29.767"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Registration in kisan call center","Registration in kisan call center","GUJARAT","AMRELI","DHARI                                             ","2014-12-01 21:11:15.423"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask abt larvae problem?","suggested apply carbaril 40 gm/pump.","GUJARAT","AMRELI","DHARI                                             ","2014-12-01 21:18:35.563"
"RABI","AGRICULTURE","Others","Others","Government Schemes","aSK FOR WEATHER INFORMATION","CALL 1800 180 1717","GUJARAT","AMRELI","LATHI                                             ","2014-12-02 10:11:44.290"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask for govt. scheme information","I suggested to contact dao","GUJARAT","AMRELI","AMRELI","2014-12-02 11:22:25.703"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","ask about lemone sowing time","I suggested june-july","GUJARAT","AMRELI","LATHI                                             ","2014-12-02 12:32:43.250"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask for market price information","suggest:call:18001028767 for market price","GUJARAT","AMRELI","LATHI                                             ","2014-12-02 14:13:24.070"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for  larva problem /iyal","suggest:quinalphose 30 ml per pump and to sprey","GUJARAT","AMRELI","BAGASARA                                          ","2014-12-02 16:22:08.813"
