"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask for cumin varatie","sugg to cumin-3,4","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 08:49:43.993"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Agriculture Mechanization","ASK ABT CUMIN VAR..?","SUGGESTED GUJ.JIRU-4 AND NOE APPLT IRRIGATION.","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 08:58:51.663"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask for con no","02742-252634","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 10:15:45.260"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Water Management, Micro Irrigation","ask abt irrigation ?","suggested apply 8 to 12 day interval.","GUJARAT","BANAS KANTHA","VAV                                               ","2014-12-01 10:28:51.107"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask abt sms language problem?","suggested all info. and change language.","GUJARAT","BANAS KANTHA","VAV                                               ","2014-12-01 11:09:34.820"
"RABI","AGRICULTURE","Others","Others","Weed Management","Ask for the govt schme","contact jilla khetiwadi adhikari","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 12:33:15.120"
"RABI","HORTICULTURE","Condiments and Spices","Methi (Fenugreek)","Agriculture Mechanization","ask  abut isabgul seed rate and var.?","suggested 4 kg seed /ha and first week of December.","GUJARAT","BANAS KANTHA","VAV                                               ","2014-12-01 13:25:27.147"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Ask about subsidy information","suggested to contact Agriculture officer","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 14:06:07.400"
"RABI","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ask for fungus problem","suggest:mancozeb 30 gm per pamp and to sprey","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 14:33:10.877"
"RABI","AGRICULTURE","Others","Others","Market Information","Ask for market rate info.","call 1800 102 8767 for market rate","GUJARAT","BANAS KANTHA","THARAD                                            ","2014-12-01 15:10:31.440"
"RABI","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","ask for castor larva","sugg to novalyuron 10 ec 25 ml/pamp spre","GUJARAT","BANAS KANTHA","THARAD                                            ","2014-12-01 15:14:42.753"
"RABI","HORTICULTURE","Condiments and Spices","Fennel","	Plant Protection	","ask for fennel weediside","sugg to hand weeding","GUJARAT","BANAS KANTHA","DEODAR                                            ","2014-12-01 15:37:29.313"
"RABI","HORTICULTURE","Condiments and Spices","Fenugreek","	Plant Protection	","ask for fenugreek wilt","sugg to carbandizam 15 gram /10 liter woter spre","GUJARAT","BANAS KANTHA","DEESA                                             ","2014-12-01 15:43:54.477"
