"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","ask for cotton fal kharva","100  gram urea and 7  ml. NAA per 10 liter water and to spray.","GUJARAT","BHARUCH","JHAGADIA                                          ","2014-12-01 10:53:38.693"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for  larva problem","suggest:cypermethrin 10 ml. per pump and to spray.","GUJARAT","BHARUCH","AMOD                                              ","2014-12-02 10:23:09.103"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask about government schemes","i suggested to contact district agriculture officer","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-12-03 10:06:43.850"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","ask for  larva problem","suggest:cypermethrin 10 ml. per pump and to spray.","GUJARAT","BHARUCH","AMOD                                              ","2014-12-03 15:41:31.200"
"RABI","AGRICULTURE","Others","Others","Market Information","ask for market information","I suggested to contact 18001028767","GUJARAT","BHARUCH","JAMBUSAR                                          ","2014-12-04 08:02:14.863"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Water Management	","ask for green gram  heliothis information","suggest: spray  quinalphose 20ml/pump","GUJARAT","BHARUCH","JHAGADIA                                          ","2014-12-04 16:45:13.290"
"JAYAD","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Field Preparation	","ask about root wilt","suggetsed mencozeb 35 gm per pump","GUJARAT","BHARUCH","AMOD                                              ","2014-12-04 16:49:52.797"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ask for fertilizer information","suggest:give 19-19-19 100 gm/pump and to sprey","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-12-04 18:40:08.950"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","ask  for marke rate","suggested 18001028767","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-12-04 18:52:25.723"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","ask for chilly fertilizer information","i suggested to give ammonium sulphet","GUJARAT","BHARUCH","HANSOT                                            ","2014-12-05 09:42:48.077"
"RABI","HORTICULTURE","Fruits","Mango","Cultural Practices","ASK FOR GOVT. SCHEME INFORMATION","I SUGGESTED TO CONTACT DAO","GUJARAT","BHARUCH","BHARUCH                                           ","2014-12-05 11:28:02.283"
"RABI","HORTICULTURE","Fruits","Mango","Cultural Practices","ASK FOR GOVT. SCHEME INFORMATION","I SUGGESTED TO CONTACT DAO","GUJARAT","BHARUCH","BHARUCH                                           ","2014-12-05 11:31:00.413"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ask about factory pollution on agriculture","I suggested contact to agriculture  officer","GUJARAT","BHARUCH","BHARUCH                                           ","2014-12-05 14:06:29.123"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask abt under line pipeline ?","suggested apply number of dealer.","GUJARAT","BHARUCH","JAMBUSAR                                          ","2014-12-05 17:49:04.993"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","ask ver in coriander","suggested gujarat coriander 1
2","GUJARAT","BHARUCH","JAMBUSAR                                          ","2014-12-05 21:32:11.210"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Agriculture Mechanization","ask for sugarcane root rot information","suggest: drenchign with blue coperr","GUJARAT","BHARUCH","BHARUCH                                           ","2014-12-06 10:32:56.290"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ask abt termite problem?","`suggested chlorpyriphos 25 ml/pump.","GUJARAT","BHARUCH","BHARUCH                                           ","2014-12-06 11:20:35.310"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","ask about sowing time of wheat","i suggested to 15 to 25 november  sowing time of wheat","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-12-06 19:19:53.657"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton heliothis information","suggest: spray  quinalphose 20ml/pump","GUJARAT","BHARUCH","BHARUCH                                           ","2014-12-07 09:14:48.400"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","Ask for brinjal sowingtime information.","brinjal sowingtime :feb.-march month.","GUJARAT","BHARUCH","ANKLESVAR                                         ","2014-12-08 17:57:32.917"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton red leaf control","suggest:megnesium sulphet 300 gm/pump","GUJARAT","BHARUCH","AMOD                                              ","2014-12-09 14:43:58.397"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","ask for fertilizer information","suggest: give urea fertilizer","GUJARAT","BHARUCH","JAMBUSAR                                          ","2014-12-09 18:39:26.977"
