"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about sucking pest in cotton","i suggested spray trizophosh 30  mili / 15 liter","GUJARAT","BHAVNAGAR","GADHADA                                           ","2014-12-01 08:38:20.760"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about chusia in coton","suggeseted trayjofos 25ml per pump","GUJARAT","BHAVNAGAR","UMRALA                                            ","2014-12-01 09:40:48.783"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ask for wheat weediside","2,4 -d 18 gram /pamp spre","GUJARAT","BHAVNAGAR","SIHOR                                             ","2014-12-01 10:51:17.773"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASK ABOUT SUCKING PEST","Traizophos 30 ml / 10 lit water","GUJARAT","BHAVNAGAR","TALAJA                                            ","2014-12-01 11:28:51.250"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about fungus in cotton","i suggested spray mencozeb 35 gram / 15 liter","GUJARAT","BHAVNAGAR","PALITANA                                          ","2014-12-01 12:37:16.933"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Cultural Practices","ASK FOR SESAMUNM SOWING SEASON","I SUGGESTED AT FEB-MARCH","GUJARAT","BHAVNAGAR","TALAJA                                            ","2014-12-01 14:15:50.813"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASK FOR ONION FERTILIZER INFORMATION  AT 35 DAYS","I SUGGESTED TO GIVE AMMONIUM SALPHET","GUJARAT","BHAVNAGAR","MAHUVA                                            ","2014-12-01 15:16:19.207"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","Ask for the larva control","quinalphos 30 ml.per pump and to spray.","GUJARAT","BHAVNAGAR","SIHOR                                             ","2014-12-01 15:38:54.823"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","ask for agri media information","suggest:contect to junagadh agriculture college,call:????-2673040","GUJARAT","BHAVNAGAR","UMRALA                                            ","2014-12-01 15:58:36.460"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASK FOR BRINJAL CATERPILLAR CONTROL","I SUGGESTED TO SPREY QUINALPHOS 20 ML/PUMP","GUJARAT","BHAVNAGAR","MAHUVA                                            ","2014-12-01 17:14:23.860"
"RABI","AGRICULTURE","Others","Others","Weed Management","ask for  weed control information","suggest:sprey glyphoset weedicide 20 ml/pump","GUJARAT","BHAVNAGAR","VALLABHIPUR                                       ","2014-12-01 17:22:28.050"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ask about onion tikka","sugg to carbandizam 15 gram /10 liter woter spre","GUJARAT","BHAVNAGAR","TALAJA                                            ","2014-12-01 17:28:49.963"
