"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","ask for wheat weediside","2,4 -d 18 gram /pamp spre","GUJARAT","DOHAD","GARBADA                                           ","2014-12-01 09:53:49.257"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ask about mango flowering problem","I suggested spray 20 ppm NAA + 2 % urea","GUJARAT","DOHAD","GARBADA                                           ","2014-12-02 09:30:13.770"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Agriculture Mechanization","ask for sesamum sowing time information","suggest: sowing time is fbe-march","GUJARAT","DOHAD","DAHOD                                             ","2014-12-02 16:00:03.463"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","Ask for market price sms.","market price sms:Dial 1800 102 8767.","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-03 17:03:00.823"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASK FOR CHILLY LEAF CURL CONTROL","I SUGGESTED TO SPREY DIEMITHOAT 15 ML/PUMP","GUJARAT","DOHAD","LIMKHEDA                                          ","2014-12-03 18:23:32.987"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","ask abt apply 90 percent sulphur ?","suggested apply before water .","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-03 21:00:50.533"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ask for varity of wheat information","suggest:gw-496,sonalika,lok-1","GUJARAT","DOHAD","DHANPUR                                           ","2014-12-04 08:31:15.697"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","ask for sowing time of wheat","sugggest:best time for sowing is 15 - 25 navember","GUJARAT","DOHAD","JHALOD                                            ","2014-12-04 10:19:53.120"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Agriculture Mechanization","ask for groundnut extra growth information","suggest: spray liosin 20ml/pump for hight control","GUJARAT","DOHAD","DAHOD                                             ","2014-12-04 14:01:15.690"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ask about rust in wheat","i suggested spray mencozeb 35 gram / 15 liter","GUJARAT","DOHAD","GARBADA                                           ","2014-12-06 11:15:14.297"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton fungiside information","suggest: spray mancozeb 35gm/pump","GUJARAT","DOHAD","LIMKHEDA                                          ","2014-12-08 08:19:52.927"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ask about root wilt","suggetsed mencozeb 35 gm per pump","GUJARAT","DOHAD","DAHOD                                             ","2014-12-12 08:40:22.090"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask about different government scheme","I suggested http://ikisan.gujarat.gov.in/","GUJARAT","DOHAD","GARBADA                                           ","2014-12-12 11:24:03.517"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASK FOR ONION DRYING CONTROL","I SUGGESTED TO GIVE COC 2.5 KG/HA","GUJARAT","DOHAD","DHANPUR                                           ","2014-12-12 16:24:42.757"
"RABI","AGRICULTURE","Others","Others","Market Information","ask for market price information","suggest:call:18001028767 for market price","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-15 18:46:18.010"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Agriculture Mechanization","ask fertilizer in cumin","I suggested give 5 to 7 kilo d.a.p and 2 kilo urea fertilizer","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-15 19:47:21.360"
"RABI","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","ask for fungus problem","suggested apply wettable sulphur 20 gm/pump.","GUJARAT","DOHAD","DAHOD                                             ","2014-12-20 09:32:30.753"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Ask for the larva control","cypermethrin 10 ml. per pump and to spray.","GUJARAT","DOHAD","FATEPURA                                          ","2014-12-20 16:37:12.880"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Ask for the wilt control","blue copper 40 gram per pump and to drenching.","GUJARAT","DOHAD","DAHOD                                             ","2014-12-20 17:26:20.660"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","maize powdery mildew.","watable sulfur 25 gram per pump and to spray.","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-21 11:26:26.917"
"RABI","AGRICULTURE","Fodder Crops","fodder maize ","	Plant Protection	","ask abt maize wilt","carbendezim 10gm / 10 lit water","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-21 12:13:52.583"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","ask about weedside","suggested hand weeding","GUJARAT","DOHAD","FATEPURA                                          ","2014-12-22 09:34:37.360"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Ask about subsidy information in detail","suggested to contact district agriculture officer","GUJARAT","DOHAD","DHANPUR                                           ","2014-12-22 15:39:30.240"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","ask about wilt in maize","i suggested to spray carbendezim 5 gm 10 lit water for control  wilt in maize","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-24 09:39:51.013"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","ask for fertilizer information","suggest: give urea fertilizer","GUJARAT","DOHAD","FATEPURA                                          ","2014-12-24 18:29:02.440"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","ask for govt.scheems information","suggest: contact with gram sevak","GUJARAT","DOHAD","DEVGAD BARIYA                                     ","2014-12-28 09:29:30.797"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","ask for  weed control information","suggest: not use weedicide in any stand crop","GUJARAT","DOHAD","DHANPUR                                           ","2014-12-28 12:11:13.930"
