"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ask for sucking pest control information","suggest:imidachloropride 5 ml/pump","GUJARAT","JAMNAGAR","KHAMBHALIA                                        ","2014-11-01 08:35:13.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","aSK FOR WEATHER INFORMATION","CALL 1800 180 1717","GUJARAT","JAMNAGAR","BHANVAD                                           ","2014-11-01 08:38:01.120"
"KHARIF","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","ask for wheat sowing time information","suggest: sowing time is november","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-11-01 08:42:29.533"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","ask for sucking pest control information","suggest:monocrotophose 25 ml+aecifet 15 gm/pump","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-11-01 08:57:49.343"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask for weather information","suggest: 18001801717 pleaes contact on this number","GUJARAT","JAMNAGAR","JAMJODHPUR                                        ","2014-11-01 09:00:05.770"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton flower drop information","suggest: spray 5mlNAA+200gm 13-0-45/pump","GUJARAT","JAMNAGAR","BHANVAD                                           ","2014-11-01 09:06:56.870"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Spices and Condiment Crops","ask for sowing information","suggest:octo-nov for sowing","GUJARAT","JAMNAGAR","KALYANPUR                                         ","2014-11-01 09:11:34.370"
"KHARIF","AGRICULTURE","Others","Others","Weather","aSK FOR WEATHER INFORMATION","CALL 1800 180 1717","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-11-01 09:30:15.523"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton fungiside information","suggest: spray mancozeb 35gm/pump","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-11-01 09:40:18.917"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton flower drop information","suggest: sprey nepthelik aesitic acid 10 ml/pump","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-11-01 10:16:56.660"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask about message service","I suggested your registration has been done","GUJARAT","JAMNAGAR","KALYANPUR                                         ","2014-11-01 11:03:13.723"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Seeds and Planting Material","ask about variety of coriander","I suggested Gujarat dhana -1 and 2","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-11-01 11:24:17.783"
"KHARIF","AGRICULTURE","Others","Others","Market Information","market information message service","I suggested your registration has been done","GUJARAT","JAMNAGAR","KALAVAD                                           ","2014-11-01 11:38:11.047"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton angular disease control","suggest:streptocyclin 6 gm+blue coper 50 gm/100 lit water","GUJARAT","JAMNAGAR","KHAMBHALIA                                        ","2014-11-01 11:45:35.317"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton angular disease control","suggest:streptocyclin 6 gm+blue coper 50 gm/100 lit water","GUJARAT","JAMNAGAR","KHAMBHALIA                                        ","2014-11-01 11:45:35.800"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask for govt.schemes information","suggest: contact with dist. agriculture officer","GUJARAT","JAMNAGAR","KHAMBHALIA                                        ","2014-11-01 11:58:36.987"
