"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ask for termite control information","suggest:fipronil 25 ml/pump sprey","GUJARAT","NARMADA","NANDOD                                            ","2014-11-01 12:00:20.077"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton milibag","prophenophosh 30  mili/pump spray","GUJARAT","NARMADA","SAGBARA                                           ","2014-11-02 10:28:46.347"
"KHARIF","AGRICULTURE","Others","Others","Market Information","ask for market price information","suggest:call:18001028767 for market price","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-02 11:09:24.920"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask abt termite problem?","suggested chlorpyrophos 25 ml/pump.","GUJARAT","NARMADA","NANDOD                                            ","2014-11-02 16:21:57.863"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask for the wilt control","blue copper 40 gram per pump and to drenching.","GUJARAT","NARMADA","NANDOD                                            ","2014-11-02 16:22:41.243"
"RABI","AGRICULTURE","Others","Others","Market Information","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","NARMADA","SAGBARA                                           ","2014-11-03 08:44:58.300"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask for chilli virus","sugg to phoshphamidon 10 ml/pamp spre","GUJARAT","NARMADA","DEDIYAPADA                                        ","2014-11-04 09:56:18.193"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ask for fungus problem","suggest:mancozeb 30 gm per pamp and to sprey","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-04 11:58:11.003"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","ask for market information","sugg to 1800 10 28 767","GUJARAT","NARMADA","DEDIYAPADA                                        ","2014-11-05 09:47:37.173"
"KHARIF","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","Ask for agricultural machinery information.","i suggested to contact gram sevak.","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-07 15:24:25.993"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana fertilizer fertilizer dose information","suggest: aplly npk fertilizer with irrigation","GUJARAT","NARMADA","NANDOD                                            ","2014-11-08 14:31:59.977"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton fungiside information","suggest: spray mancozeb 35gm/pump","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-09 14:56:54.970"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton wilt","sugg to mancozeb 25 gram /pamp spre","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-11 10:23:04.820"
"RABI","HORTICULTURE","Vegetables","Watermelon","	Plant Protection	","ask for information wotermelon in season","sugg to krushi vignan kendra","GUJARAT","NARMADA","DEDIYAPADA                                        ","2014-11-11 12:08:55.937"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ask for fungus problem","suggest:carbendesim 30 gm/10 lit water and sprey","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-11 17:18:13.613"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","ask for sowing information","suggest:octo-nov for sowing","GUJARAT","NARMADA","NANDOD                                            ","2014-11-15 10:17:33.987"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","Agriculture Mechanization","ask for market rate information","suggest: 18001028767 please contact on this number","GUJARAT","NARMADA","NANDOD                                            ","2014-11-15 19:11:16.860"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for fungus problem","suggest:mancozeb 30 gm per pamp and to sprey","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-16 17:02:14.677"
"KHARIF","AGRICULTURE","Others","Others","Market Information","Ask for market rate","call on 1800 102 8767 for market price","GUJARAT","NARMADA","NANDOD                                            ","2014-11-17 17:00:45.930"
"KHARIF","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","ask for wheat varitey information","suggest: wheat varitey= gujrat wheat-496,503,190,173,lok-1","GUJARAT","NARMADA","","2014-11-18 14:43:33.033"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Field Preparation	","ask abt sesamum sowing time and var..?","suggested feb.march and guj.tal-1,2.","GUJARAT","NARMADA","NANDOD                                            ","2014-11-20 21:41:29.393"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Agriculture Mechanization","ask for  larva problem /iyal","suggest:quinalphose 30 ml per pump and to sprey","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-21 12:05:21.067"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","ask about catterpiller","suggested quinalphos 30 ml per pump","GUJARAT","NARMADA","NANDOD                                            ","2014-11-22 10:31:03.870"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ask about break down in brinjal","suggested boron 20 gram per pump","GUJARAT","NARMADA","NANDOD                                            ","2014-11-22 11:55:31.523"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:27:16.520"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:27:43.280"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:29:06.970"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:29:07.483"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:29:08.060"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:29:08.600"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:29:09.087"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:29:09.620"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:00.293"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:00.780"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:01.443"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:01.950"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:02.557"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:03.090"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","ask for banana weedisdie information","suggest: no any advised in standing crop","GUJARAT","NARMADA","NANDOD                                            ","2014-11-23 15:31:03.583"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Varieties","ask for groundnut varietie","sugg to gg-6,tg-26","GUJARAT","NARMADA","DEDIYAPADA                                        ","2014-11-25 08:29:13.443"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about pink boll worm","i suggested quinalphosh 30 mili / 15 liter","GUJARAT","NARMADA","TILAKWADA                                         ","2014-11-26 18:24:52.563"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ask about fertilizer management in s'cane","I suggested apply NPK as basal dose","GUJARAT","NARMADA","NANDOD                                            ","2014-11-28 09:36:31.387"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","ask abt til in variety","gujarat til-3","GUJARAT","NARMADA","SAGBARA                                           ","2014-11-28 16:38:29.153"
