"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Market Information","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","PATAN","SIDHPUR                                           ","2014-12-01 08:38:02.530"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Spices and Condiment Crops","ask for cumin weediside","not use weedicide.","GUJARAT","PATAN","RADHANPUR                                         ","2014-12-01 10:00:17.750"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ask abt weedicide ?","suggested apply 2-4-d 25 ml/pump.","GUJARAT","PATAN","PATAN                                             ","2014-12-01 12:59:26.740"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","Asking for registration in kisan call center","suggest:Registration successfully done.","GUJARAT","PATAN","PATAN                                             ","2014-12-01 14:26:32.943"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask for sucking pest control information","suggest:imidachloropride 5 ml/pump","GUJARAT","PATAN","RADHANPUR                                         ","2014-12-01 14:37:50.187"
"RABI","HORTICULTURE","Fruits","Pomegranate","Cultural Practices","Ask for pomogranate information.","i suggested to visit bagayat nursery.","GUJARAT","PATAN","PATAN                                             ","2014-12-01 14:44:41.247"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","ask for sowing information","suggest:feb-march time for sowing","GUJARAT","PATAN","SIDHPUR                                           ","2014-12-01 16:46:59.593"
"RABI","AGRICULTURE","Others","Others","Market Information","ask for market price information","??????? ??? ???? ???? ??? ???? ?? ?? ?????? ????","GUJARAT","PATAN","RADHANPUR                                         ","2014-12-01 17:44:08.737"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask abt registration ?","suggested all info. and registration done.","GUJARAT","PATAN","HARIJ                                             ","2014-12-01 18:32:15.023"
"RABI","HORTICULTURE","Condiments and Spices","Fenugreek","	Plant Protection	","Ask for fenugreek sowingtime information.","fenugreek sowingtime :september to november month.","GUJARAT","PATAN","PATAN                                             ","2014-12-01 18:49:31.190"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASK ABOUT FLOWERING","SUGGESTED BOOM FLOWER 30 ML PER PUMP","GUJARAT","PATAN","PATAN                                             ","2014-12-01 21:09:36.023"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask for cumin leaf curl control","I suggested to spry diemithoat 15 ml/pump","GUJARAT","PATAN","SAMI                                              ","2014-12-02 08:01:37.183"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","ask about sowing time of wheat","I suggested 15 to 25 NOV","GUJARAT","PATAN","HARIJ                                             ","2014-12-02 09:09:40.153"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask for cumin sucking pest control","I suggested to spray diemithoat 15 ml/pump","GUJARAT","PATAN","PATAN                                             ","2014-12-02 09:11:53.230"
"RABI","HORTICULTURE","Fruits","Ber","	Plant Protection	","ask about fungus in ber","I suggested spray trizophosh 30 mili / 15 liter","GUJARAT","PATAN","CHANASMA                                          ","2014-12-02 10:54:45.363"
