"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","ask for wheat sowing time information","suggest: sowing time is november","GUJARAT","PORBANDAR","RANAVAV                                           ","2014-11-01 09:28:21.547"
"KHARIF","HORTICULTURE","Condiments and Spices","Garlic","Agriculture Mechanization","ask for garlic irrigation system information","suggest: give irrigation after 5 days","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-01 11:14:19.507"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Agriculture Mechanization","ask for green gram  heliothis information","suggest: spray  quinalphose 20ml/pump","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-01 14:51:44.077"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Ask for the larva control","quinalphos 30 ml.per pump and to spray.","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-02 09:13:07.863"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","ask for sowing time of wheat","sugggest: sowing is 15 - 25 navember","GUJARAT","PORBANDAR","","2014-11-02 10:44:50.990"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","ask for wheat sowing season","sugg to 10 navembar","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-02 19:32:08.110"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask about cumin wilt","sugg to mancozeb 25 gram /pamp spre","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-03 08:05:43.273"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Spices and Condiment Crops","ask for sowing information","suggest:octo-nov for sowing","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-03 15:14:35.710"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","ask abt guvar in wilt","blue copper 200  gram per vigha","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-03 17:53:01.457"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","ask for sowing time of wheat","sugggest: sowing is 15 - 25 navember","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-03 19:02:06.030"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about governemnt schemes","i suggested to contact district agriculture officer","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-04 08:59:32.063"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ask abt wheat in variety","gujarat wheat-496,273","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-04 09:44:16.303"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","ask for fertilizer of manganesium sulfat dose","segg to 12-13 kg/viga magnasium sulfat","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-04 11:48:05.870"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Spices and Condiment Crops","ask for sowing information","suggest:1st week of nov","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-05 10:07:44.927"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ask for  larva problem","suggest:cypermethrin 10 ml. per pump and to spray.","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-05 10:45:57.627"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","ask for coriander wilt","sugg to carbandizam 20 gm/pump spray","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-05 19:05:14.323"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ask for brinjal heliothish","quinalphos 30 ml.per pump and to spray.","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 09:22:47.167"
"KHARIF","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask abt cumin in variety","Gujarat cumin-4","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 09:31:29.113"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for cotton fertilizer spre","13-00-45 100 gm/pamp sprey","GUJARAT","PORBANDAR","RANAVAV                                           ","2014-11-06 11:40:19.657"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","ask for cotton fungiside information","suggest: spray mancozeb 35gm/pump","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 13:52:28.717"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask for market rate info.","call 1800 102 8767 for market rate","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 14:09:46.910"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","ask for gram  wilt","carbendezim 15 gm / 10 lit water","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 15:15:50.923"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","Ask about sowing time","suggested: 15 to 25 November","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 15:32:52.490"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","ask for market rate information","suggest: 18001028767 please contact on this number","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-06 17:03:27.840"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Field Preparation	","ask about heliothese","sugg to sayparmethrin 20 ml/pamp spre","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-06 17:06:56.530"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","	Plant Protection	","ask for cumin seed tritment","sugg to thayram 3 gram/kilo seed","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-06 17:58:14.560"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","ask for sowing time of wheat","sugggest: sowing is 15 - 25 navember","GUJARAT","PORBANDAR","KUTIYANA                                          ","2014-11-07 14:45:59.810"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Cultural Practices","Ask for cumin sowingtime information.","cumin sowingtime :first week of november month.","GUJARAT","PORBANDAR","PORBANDAR                                         ","2014-11-07 16:04:46.543"
