"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Ask for market rate","call on 1800 102 8767 for market price","GUJARAT","TAPI","NIZAR                                             ","2014-11-01 16:27:24.683"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Ask for market rate","call on 1800 102 8767 for market price","GUJARAT","TAPI","NIZAR                                             ","2014-11-01 19:49:37.380"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask about subcidy","www.ikisaan.guj.gov.in","GUJARAT","TAPI","NIZAR                                             ","2014-11-03 14:30:28.560"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","ask for sucking pest control information","suggest:imidachloropride 5 ml/pump","GUJARAT","TAPI","VYARA                                             ","2014-11-08 11:02:30.293"
"KHARIF","HORTICULTURE","Vegetables","Watermelon","Agriculture Mechanization","ask for water melon sowing time information","suggest: sowing time is feb","GUJARAT","TAPI","SONGADH                                           ","2014-11-10 14:34:29.037"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","ask for okra white fly","sugg to azadirectin 40 ml/pamp spre","GUJARAT","TAPI","UTCHHAL                                          ","2014-11-12 10:38:50.760"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Field Preparation	","ask about sowing time of gram","I suggested OCT-NOV month","GUJARAT","TAPI","SONGADH                                           ","2014-11-13 12:46:13.373"
"RABI","AGRICULTURE","Others","Others","Market Information","ask about market bazar","suggested 18001028767","GUJARAT","TAPI","VYARA                                             ","2014-11-14 08:46:25.023"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","ask for sowing time of wheat","sugggest: sowing is 15 - 25 navember","GUJARAT","TAPI","SONGADH                                           ","2014-11-15 11:20:14.867"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","ask for fungus problem","suggest:mancozeb 30 gm per pamp and to sprey","GUJARAT","TAPI","VYARA                                             ","2014-11-17 09:54:22.083"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","Ask for market rate","call on 1800 102 8767 for market price","GUJARAT","TAPI","NIZAR                                             ","2014-11-19 10:51:28.237"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Agriculture Mechanization","ask for sugarcane weediside information","sugegst: apply 2,4-d in sugarcane","GUJARAT","TAPI","PALSANA                                           ","2014-11-21 15:03:16.273"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask for agri media information","suggest:contect to 9427418235 for agrimedia","GUJARAT","TAPI","SONGADH                                           ","2014-11-22 13:24:08.270"
"JAYAD","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Sowing Time and Weather","ask about sowing time of greengram","i suggested to february to march sowing time of greengram","GUJARAT","TAPI","VYARA                                             ","2014-11-22 14:53:16.710"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Field Preparation	","ask for ground nut varatie","I sugg to GG-2,6,TG-37-A,TGP-41","GUJARAT","TAPI","VYARA                                             ","2014-11-26 08:53:50.110"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","Ask for the govt schme","contact jilla khetiwadi adhikari","GUJARAT","TAPI","UTCHHAL                                          ","2014-11-26 12:27:28.503"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","ask for sugarcane fertilizer dose","sugg to 0-45-90-120 days yuriya","GUJARAT","TAPI","VALOD                                             ","2014-11-27 11:02:37.680"
"RABI","HORTICULTURE","Vegetables","Watermelon","Agriculture Mechanization","ask abt sowing time and var.?","suggested sugar baby, arka jayoti and December or feb.","GUJARAT","TAPI","NIZAR                                             ","2014-11-29 19:46:26.813"
