"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask about agriculture university","i suggested to contact navsari agriculture university","GUJARAT","VALSAD","VALSAD                                            ","2014-11-03 10:09:08.503"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Ask for the larva control","D D V P 7ML/10 LITER to apply","GUJARAT","VALSAD","DHARAMPUR                                         ","2014-11-03 11:10:46.933"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Ask for the kissan credit card","visit nearest nationalized bank.","GUJARAT","VALSAD","VALSAD                                            ","2014-11-04 15:52:51.510"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Agriculture Mechanization","ask for pigeopn pea  heliothis information","suggest: spray  quinalphose 20ml/pump","GUJARAT","VALSAD","DHARAMPUR                                         ","2014-11-06 15:21:52.047"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","ask abt var.. and sowing time ?","suggestedguj.dhana-1,2 and 15 november.","GUJARAT","VALSAD","PARDI                                             ","2014-11-08 09:38:47.080"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","ask abt var.. and sowing time ?","suggestedguj.dhana-1,2 and 15 november.","GUJARAT","VALSAD","PARDI                                             ","2014-11-08 09:42:19.403"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ask for mango tarmite","sugg to clorophariphosh 20 ml/10 liter woter spre","GUJARAT","VALSAD","DHARAMPUR                                         ","2014-11-08 10:30:25.993"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","Cultural Practices","Ask for ginger sowingtime information.","ginger sowingtime :may month.","GUJARAT","VALSAD","KAPRADA","2014-11-09 09:03:13.850"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","Ask for rabi moong sowingtime information.","rabi moong sowingtime :September to 15 octomber month.","GUJARAT","VALSAD","KAPRADA","2014-11-11 20:14:00.720"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","ask about caterpillar on mango","I suggested spray quinalphosh 30 mili / 15 liter","GUJARAT","VALSAD","DHARAMPUR                                         ","2014-11-15 08:46:03.633"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","ask about mango hopper","I suggested spray carbaril 50 % WP 45 gram / 15 liter","GUJARAT","VALSAD","KAPRADA","2014-11-18 10:53:49.053"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Agriculture Mechanization","ask for brinjal  heliothis information","suggest: spray  quinalphose 20ml/pump","GUJARAT","VALSAD","VALSAD                                            ","2014-11-18 15:55:17.053"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","ask for weather information","suggest: 18001801717 pleaes contact on this number","GUJARAT","VALSAD","KAPRADA","2014-11-19 15:54:36.340"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","ask for govt.schemes information","suggest: contact with district agri officer","GUJARAT","VALSAD","VALSAD                                            ","2014-11-21 11:47:38.197"
"RABI","HORTICULTURE","Fruits","Mango","Agriculture Mechanization","ask for mango fertilizer dose information","suggest: apply apk fertilizer dose with irrigation","GUJARAT","VALSAD","PARDI                                             ","2014-11-21 20:54:24.050"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton engular leaf spot","1 gm streptocylin  + 20 gm blue copper (copper oxychoride) + 15 liter water","GUJARAT","VALSAD","VALSAD                                            ","2014-11-25 08:55:11.683"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Agriculture Mechanization","ask for groundnut extra growth information","suggest: spray liosin 20ml/pump for hight control","GUJARAT","VALSAD","VALSAD                                            ","2014-11-25 17:31:16.950"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","VALSAD","PARDI                                             ","2014-11-26 14:18:05.763"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask for market price","give number : 1800 102 8767 for market rate","GUJARAT","VALSAD","VALSAD                                            ","2014-11-29 19:19:05.050"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ask abt soil testing lab.","contact soil testing laboratory","GUJARAT","VALSAD","PARDI                                             ","2014-11-29 19:57:12.040"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","ask for market price","give number : 1800 102 8767 for market rate","GUJARAT","VALSAD","PARDI                                             ","2014-11-29 19:58:45.677"
