"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to control of termite in wheat crops?","how to control of termite in wheat crops?
control of termite in wheat crops are:-brodcasting kloropyriphose 2 litr in 25 kilo dry soil(ret)per acer.","HARYANA","BHIWANI","LOHARU                                            ","2014-11-01 06:21:30.807"
"RABI","AGRICULTURE","Others","Others","Weather","weather of bhiwani ?","weather of bhiwani are :- some cloud and no chance of rain today .","HARYANA","BHIWANI","LOHARU                                            ","2014-11-01 06:23:14.927"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF BHIWANI ?","WEATHER OF BHIWANI ? CHANCE OF RAINFALL TODAY ,","HARYANA","BHIWANI","BAWANI KHERA                                      ","2014-11-01 06:42:12.700"
"RABI","AGRICULTURE","Others","Others","Weather","weather of bhiwani ?","today some rain of chance.","HARYANA","BHIWANI","BEHAL                                             ","2014-11-01 06:45:04.003"
"RABI","AGRICULTURE","Others","Others","Weather","information regarding weather in BHIWANI?
Some clouds chance of rainfall today.","weather in BHIWANI?
Some clouds chance of rainfall today.","HARYANA","BHIWANI","BADHRA                                            ","2014-11-01 06:51:27.980"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","INFORMATION REGARDING VARIETIES OF POTATO?","INFORMATION REGARDING VARIETIES OF POTATO?KUFRI CHANDERMUKHI ,JAWAHAR,SINDURI ,BADSHAH,SATLUJ ,","HARYANA","BHIWANI","SIWANI                                            ","2014-11-01 06:58:56.983"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","information regarding variety of onion in rabi season  ?","information regarding variety of onion in rabi season  ?
variety of onion in rabi season pusa red,hisar no-2,hisar no-3 .","HARYANA","BHIWANI","BADHRA                                            ","2014-11-01 07:09:20.120"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early varieties of wheat?","Information regarding early varieties of wheat?
WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","BHIWANI","TOSHAM                                            ","2014-11-01 07:30:38.817"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF BHIWANI ?","WEATHER OF BHIWANI ?SOME CLOUDS NO CHANCE RAIN FALL IN TODAY .","HARYANA","BHIWANI","TOSHAM                                            ","2014-11-01 07:36:10.823"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Improved varieties in wheat ?","Improved varieties in wheat ?
WH-1025,1105,WH-1080,711,WH157,WH-542,PBW-343,DBW-17 .","HARYANA","BHIWANI","BAWANI KHERA                                      ","2014-11-01 07:36:42.187"
