"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in ?","Information regarding weather in ?
Some clouds,no chances of rainfall,today.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-01 10:23:29.380"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Information regarding variteas in wheat ?","Information regarding variteas in wheat ?
Variteas in wheat : wh -1105, wh-542, wh-147 dpw- 261-50, hd-2851, dbw-17,pbw343, hd- 2967,","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-01 10:28:53.477"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early varieties of wheat?","Information regarding early varieties of wheat?
WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-01 11:57:54.447"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-02 06:47:05.647"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early varieties of wheat?","Information regarding early varieties of wheat?
WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-02 09:03:59.677"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-02 09:57:49.497"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Information regarding fertilizers doses in wheat at sowing time?","Information regarding fertilizers doses in wheat at sowing time?
DAP 50 Kg. or SSP-150 Kg., Potash 40 Kg., 10 Kg. Zinc per acre at sowing time.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-02 11:15:24.010"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding early  varieties of wheat ?","Early varieties of wheat :-WH-1105, 711, 157,1021, 283, RAJ-3765,HD-2967 ,948,DBW-550,621, P.B.W.-343,D.B.W-17","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-03 07:04:30.280"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-03 14:01:50.733"
"RABI","AGRICULTURE","Cereals","Oats ","Varieties","improved varieties of oat fooder ?","improved varieties of oat fooder ? hfo 114.","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-03 14:07:14.443"
"RABI","AGRICULTURE","Others","Others","Government Schemes","information regarding of fishfarming ?","information regarding of fishfarming : contect no.-0184-226922,0124-2220679 .","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-04 18:26:49.443"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","information variteas in wheat crop?","information variteas in wheat crop?
variteas in wheat : wh -1105, wh-711, dpw- 261-50, dpw-2967, hd-2851, dbw-17,pvw343 .","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-05 13:46:46.163"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-05 15:55:37.707"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Contact no. of Pusa Farm IN  Delhi?","Contact no. of Pusa Farm IN  Delhi?
011-25841670,25843682","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-05 19:38:50.040"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Information regarding transplanting time of tomato nursery?","Information regarding transplanting time of tomato nursery?
For winter season July-August and for spring season Mid January-Mid February.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-06 07:19:03.117"
"RABI","HORTICULTURE","Vegetables","Mushroom","Mushroom Production","Information regarding Mushroom Training?","Information regarding Mushroom Training?
Contact Murthal(Sonipat) 0130-2484107.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-06 14:11:13.953"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kisme","HD-2967, HI-8737, PBW-343","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-06 16:41:37.453"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variteas in wheat?","Variteas in wheat : wh -1105, wh-542, wh-147 dpw- 261-50, hd-2851, dbw-17,pbw343, hd- 2967,","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-07 14:02:55.293"
"RABI","HORTICULTURE","Condiments and Spices","Methi (Fenugreek)","	Plant Protection	","how to control of fungal diseas in methi ?","spray of bavastin 400 gm in 200 liter water per acre .","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-08 15:30:28.597"
"RABI","HORTICULTURE","Condiments and Spices","Methi (Fenugreek)","	Plant Protection	","how to control of fungal diseas in methi ?","spray of bavastin 400 gm in 200 liter water per acre .","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-08 15:30:29.117"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","Information regarding Total Fertilizers dose  in wheat?","urea- 40 kg, DAP- 50 kg, MOP- 40 kg and zinc @ 10 kg per acre.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-09 07:54:57.540"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-10 08:03:25.140"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Information regarding  varieties of wheat?","Information regarding  varieties of wheat?
WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-10 09:19:53.483"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","How to control fungus in lemon?","How to control fungus in lemon?
Spray M-45 @ 3 gm / liter water.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-10 12:28:35.167"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","information regarding  varieties of wheat?","Varieties  of wheat?  C-306, WH-1025, WH-1080 WH1105,HD2967,DBW17,DPW621,PBW343.PBW550,WD711,WH948 WH157, WH283,","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-11-10 12:53:33.343"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Information regarding Improved varieties in wheat ?","WH-1025,1105,WH-1080,711,WH157,WH-542,PBW-343,502,DBW-17,550 ,HD-2967, .","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-11-11 13:53:46.240"
