"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","FATEHABAD","BHATTU KALAN                                      ","2014-11-01 06:49:12.107"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF FATEHABAD ?","WEATHER OF FATEHABAD ? NO CHANCE RAIN FALL IN TODAY .","HARYANA","FATEHABAD","TOHANA                                            ","2014-11-01 06:53:13.880"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding Improved varieties of wheat crop ?","Information regarding Improved varieties of wheat crop ?
WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","FATEHABAD","BHUNA                                             ","2014-11-01 07:27:46.113"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding fertilizer dose at sowing time of wheat?","Information regarding fertilizer dose at sowing time of wheat?
50 kg dap .40 kg potash , 10 kg zinc ,110 kg urea /acre.","HARYANA","FATEHABAD","RATIA                                             ","2014-11-01 08:04:30.200"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding  fertilizer dose in wheat crop ?","information regarding  fertilizer dose in wheat crop ?
50 kg DAP ,40 kg MOP,and 10 kg Zinc,urea 35 kg in wheat at sowing time .","HARYANA","FATEHABAD","FATEHABAD                                         ","2014-11-01 08:30:50.020"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding early  varieties of wheat ?","Early varieties of wheat :-  wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","FATEHABAD","TOHANA                                            ","2014-11-01 08:38:39.250"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Improved varieties in wheat ?","Improved varieties in wheat ?
WH-1025,1105,WH-1080,711,WH157,WH-542,PBW-343,DBW-17 .","HARYANA","FATEHABAD","BHUNA                                             ","2014-11-01 08:45:39.883"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Fatehabad?","Some clouds and no chance of rainfall today.","HARYANA","FATEHABAD","FATEHABAD                                         ","2014-11-01 09:20:35.390"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF FATEHABAD ?","WEATHER OF FATEHABAD   ARE :-WEATHER MOSTLY CLOUDY   NO CHANCE OF RAIN TODAY .","HARYANA","FATEHABAD","FATEHABAD                                         ","2014-11-01 10:11:29.257"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in fatehabad ?","Information regarding weather in fatehabad ?some cloudy weather,no chance of rainfall today.","HARYANA","FATEHABAD","FATEHABAD                                         ","2014-11-01 10:31:23.310"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","FATEHABAD","TOHANA                                            ","2014-11-01 11:13:29.253"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","FATEHABAD","FATEHABAD                                         ","2014-11-01 11:35:32.943"
