"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF GURGAON ?","WEATHER OF GURGAON ARE  :-SOME CLOUD AND SOME CHANCE OF RAIN TODAY .","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-11-01 06:55:25.343"
"RABI","AGRICULTURE","Others","Others","Weather","information regarding weather in GURGAON?
Some clouds chance of rainfall today.","weather in GURGAON?
Some clouds chance of rainfall today.","HARYANA","GURGAON","PATAUDI                                           ","2014-11-01 07:24:07.613"
"RABI","AGRICULTURE","Others","Others","Weather","weather of Gurgaon ?","today some rainfall of chance.","HARYANA","GURGAON","PATAUDI                                           ","2014-11-01 08:05:48.267"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding early  varieties of wheat ?","Early varieties of wheat :-  wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","GURGAON","GURGAON                                           ","2014-11-01 09:38:37.750"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding Improved varieties of wheat crop ?","Information regarding Improved varieties of wheat crop ?
WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","GURGAON","PATAUDI                                           ","2014-11-01 09:40:10.860"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","IMPROVED VARIETIES OF MUSTERD ?","IMPROVED VARIETIES OF MUSTERD ARE:-RH-30 ,VARUNA-49,RH-8113,,8812, 781 ,819 ,9304 ,9801,0406 ,0749 ,RB-9901,50.","HARYANA","GURGAON","SOHNA                                             ","2014-11-01 10:22:11.950"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information regarding early  varieties of wheat ?","Early varieties of wheat :-  wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","GURGAON","GURGAON                                           ","2014-11-01 11:11:06.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in ?","Information regarding weather in ?
Some clouds, chances of rainfall,today.","HARYANA","GURGAON","PATAUDI                                           ","2014-11-01 13:50:20.973"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-11-01 16:30:13.467"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","GURGAON","SOHNA                                             ","2014-11-01 17:24:55.827"
