"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding early  varieties of wheat ?","Early varieties of wheat :-  wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","HISSAR","HISAR-I                                           ","2014-11-01 06:15:03.160"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Hisar?","Some clouds and no chance of rainfall today.","HARYANA","HISSAR","ADAMPUR                                           ","2014-11-01 06:59:33.830"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF HISAR ?","WEATHER OF  HISAR ARE :-WEATHER MOSTLY CLOUDY   NO CHANCE OF RAIN TODAY .","HARYANA","HISSAR","HANSI-I                                           ","2014-11-01 08:16:29.130"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","HOW  TO   CONTROL  FUNGAL DISEASE  IN MUSTARD  CROP ?","HOW  TO   CONTROL  FUNGAL DISEASE  IN MUSTARD  CROP ?
spray 600gm diathen m-45 in 250 litre water /acre .","HARYANA","HISSAR","HANSI-I                                           ","2014-11-01 08:22:46.583"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INFORMATION REGARDING VARIETIES OF POTATO?","INFORMATION REGARDING VARIETIES OF POTATO?KUFRI CHANDERMUKHI ,JAWAHAR,SINDURI ,BADSHAH,SATLUJ ,","HARYANA","HISSAR","BARWALA                                           ","2014-11-01 08:30:38.683"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding early  varieties of wheat ?","Early varieties of wheat :-  wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","HISSAR","HANSI-I                                           ","2014-11-01 08:35:35.440"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","information regarding  fertilizer dose in wheat crop ?","information regarding  fertilizer dose in wheat crop ?
50 kg DAP ,40 kg MOP,and 10 kg Zinc,urea 35 kg in wheat at sowing time .","HARYANA","HISSAR","HANSI-I                                           ","2014-11-01 08:56:33.270"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","HISSAR","ADAMPUR                                           ","2014-11-01 09:22:33.290"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Hisar?","Some clouds and no chance of rainfall today.","HARYANA","HISSAR","UKLANA                                            ","2014-11-01 09:28:30.247"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","How to control thirips in mustard ?","How to control thirips in mustard ?Spray of melathion @ 400 ml/200 liter water/acre  or ROGOR 350 ml/200 litre of water.","HARYANA","HISSAR","HANSI-I                                           ","2014-11-01 09:29:30.950"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","HISSAR","ADAMPUR                                           ","2014-11-01 09:29:31.833"
"RABI","AGRICULTURE","Others","Others","Weather","weather of hisar ?","weather of hisar are :- some cloud and no chance of rain today .","HARYANA","HISSAR","ADAMPUR                                           ","2014-11-01 09:33:28.523"
"RABI","AGRICULTURE","Others","Others","Weather","weather of hisar ?","weather of hisar are :- some cloud and no chance of rain today .","HARYANA","HISSAR","ADAMPUR                                           ","2014-11-01 09:36:27.027"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","HISSAR","HISAR-I                                           ","2014-11-01 09:43:43.463"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","HISSAR","AGROHA                                            ","2014-11-01 10:10:05.670"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","how to control fungal disease in coriander ?","spray dithen m-45 @ 400 gram in 200 liter of water /acre.","HARYANA","HISSAR","HANSI-I                                           ","2014-11-01 10:14:50.937"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Hisar?","Some clouds and no chance of rainfall today.","HARYANA","HISSAR","UKLANA                                            ","2014-11-01 10:15:53.733"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","HISSAR","UKLANA                                            ","2014-11-01 10:24:47.120"
"RABI","AGRICULTURE","Others","Others","Weather","weather of hisar ?","weather of hisar ? no chance rain fall in today.","HARYANA","HISSAR","HISAR-I                                           ","2014-11-01 10:25:25.300"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","HISSAR","ADAMPUR                                           ","2014-11-01 10:27:33.360"
