"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","INFORMATION   REGARDING First    IRRIGATION    OF  WHEAT   CROP ?","INFORMATION   REGARDING First    IRRIGATION    OF  WHEAT   CROP ? 
First    IRRIGATION  21 to 25 days   OF  WHEAT   CROP","HARYANA","JHAJJAR","JHAJJAR                                           ","2014-12-01 06:51:14.880"
"RABI","AGRICULTURE","Cereals","Wheat","Bio-Pesticides and Bio-Fertilizers","information regarding low grouth /yellow leaf of crop ?","information regarding low grouth /yellow leaf of crop ?
spray;- 1 kg n.p.k (19;19;19);in 100 lit water / acre.","HARYANA","JHAJJAR","BAHADURGARH                                       ","2014-12-01 08:35:59.427"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to control deemak in wheat  crop","how to control deemak in wheat crop : 1-1.5 liter cloropyrophose per acre .","HARYANA","JHAJJAR","BAHADURGARH                                       ","2014-12-01 08:40:56.507"
"RABI","HORTICULTURE","Vegetables","Potato","Bio-Pesticides and Bio-Fertilizers","HOW TO CONTROL FUNGIL DIESAES IN POTATO CROP ?","SPRAY 600 GM MENCOZAB IN 200 LITER WATER PER ACRE .","HARYANA","JHAJJAR","MATANNAIL","2014-12-01 09:22:13.493"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to control deemak in wheat  crop ?","how to control deemak in wheat  crop-1-1.5 liter cloropyrophose per acre .","HARYANA","JHAJJAR","SALHAWAS                                          ","2014-12-01 09:48:40.757"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Varieties","information regarding early varieties  of sugarcane ?","early varieties  of sugarcane :-c o j -64 ,c o h-56 ,c o h -92,","HARYANA","JHAJJAR","BERI                                              ","2014-12-01 09:59:39.903"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","information regarding early varieties  of sugarcane ?","early varieties  of sugarcane :-c o j -64 ,c o h-56 ,c o h -92,","HARYANA","JHAJJAR","BERI                                              ","2014-12-01 10:07:49.177"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","Information regarding how to control fungal disease in mustard crop ?","Information regarding how to control fungal disease in mustard crop ?spray mancozeb @ 500gm in 200 litre of water/acre.","HARYANA","JHAJJAR","JHAJJAR                                           ","2014-12-01 10:08:39.840"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","How to control Early Blight in potato ?","Spray 400 gm. M-45 in 200 lt. of water per acre.","HARYANA","JHAJJAR","JHAJJAR                                           ","2014-12-01 10:09:27.973"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","information regarding control of weed in wheat ?","spray of acord plus @ 500 ml in 200 liter water/acre .","HARYANA","JHAJJAR","MATANNAIL","2014-12-01 10:18:43.347"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding  weather in jhajjar  ?","Some clouds but no chance of rainfall ,","HARYANA","JHAJJAR","JHAJJAR                                           ","2014-12-01 10:24:02.110"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","IMPROVED extra growth in in wheat crop?","IMPROVED extra growth in in wheat crop?
spray 2.5 kg urea ,500 gm zink in 100 liter water pre acre .","HARYANA","JHAJJAR","JHAJJAR                                           ","2014-12-01 10:27:40.117"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","how to control marodia in potato ?","spray 400 ml melathion in 200 litre water/acre.","HARYANA","JHAJJAR","SALHAWAS                                          ","2014-12-01 10:32:19.013"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding late varieties of wheat?","PBW-550,PBW-373,UP-2338,RAJ-3765.hd-2851 .","HARYANA","JHAJJAR","MATANNAIL","2014-12-01 10:33:34.270"
"RABI","HORTICULTURE","Fruits","Mosambi","	Plant Protection	","how to control fengel diesese in mosambi ?","spray 1 gm coprooxicloride @ per litre water.","HARYANA","JHAJJAR","SALHAWAS                                          ","2014-12-01 11:04:47.307"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","information regarding for market rate of cotton in jind ?","nearly Rs 3750 /quintle.","HARYANA","JHAJJAR","BAHADURGARH                                       ","2014-12-01 11:59:31.907"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INformation regarding  late varieties of wheat crop ?","LATE   VARIETIES  OF WHEAT- ,WH-1021  ,291, PBW-373, UP-2338, , HD-2851.RAJ -3765,SONAK.SONALIKA,HD- 2285,","HARYANA","JHAJJAR","JHAJJAR                                           ","2014-12-01 12:26:17.323"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Varieties","information regarding early verities of sugarcane ?","information regarding early verities of sugarcane ?
verities  -  coj-64 ,coh-56 ,coh-92.","HARYANA","JHAJJAR","SALHAWAS                                          ","2014-12-01 12:29:57.700"
