"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 07:19:53.163"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in palwal ?","Information regarding weather in palwal ?some cloudy weather,no chance of rainfall today.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 07:54:11.897"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 08:00:50.633"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in palwal ?","Information regarding weather in palwal ?some cloudy weather,no chance of rainfall today.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 08:12:06.220"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in palwal ?","Information regarding weather in palwal ?some cloudy weather,no chance of rainfall today.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 08:17:32.387"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Information regarding how to control fruit borrer in brinjal crop ?","Information regarding how to control fruit borrer in brinjal crop ?spray cypermethrin @ 70 ml in 200 litre of water/acre.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 10:04:58.417"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Information regarding how to control fruit borrer in brinjal crop ?","Information regarding how to control fruit borrer in brinjal crop ?spray cypermethrin @ 70 ml in 200 litre of water/acre.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 10:07:32.083"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding earWH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.
ly sowing varieties of wheat?","HARYANA","PALWAL","HODAL                                             ","2014-11-01 10:07:49.303"
"RABI","AGRICULTURE","Others","Others","Power, Roads etc.","Information regarding HAU Helpline No.?","Information regarding HAU Helpline No.?
1800-180-3001 Monday, Wednesday & Friday 10 AM-12PM.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 10:37:24.710"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Information regarding variteas in wheat ?","Information regarding variteas in wheat ?
Variteas in wheat : wh -1105, wh-542, wh-147 dpw- 261-50, hd-2851, dbw-17,pbw343, hd- 2967,","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 10:39:32.760"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Palwal?","Some clouds and no chance of rainfall today.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 11:58:16.830"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 13:12:36.930"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Information regarding variteas in wheat ?","Information regarding variteas in wheat ?
Variteas in wheat : wh -1105, wh-542, wh-147 dpw- 261-50, hd-2851, dbw-17,pbw343, hd- 2967,","HARYANA","PALWAL","HATHIN                                            ","2014-11-01 13:41:10.770"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding optimum sowing time of wheat?","Information regarding optimum sowing time of wheat?
Optimum sowing time of wheat is 25th October to End of November.","HARYANA","PALWAL","HATHIN                                            ","2014-11-01 15:19:35.387"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 15:24:27.377"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","information regarding  fertilizer dose in wheat crop ?","50 kg DAP ,40 kg MOP,and 10 kg Zinc,urea 35 kg in wheat at sowing time .","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 15:42:54.343"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in palwal ?","some clouds today  and weather will be clear for next few days.","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 15:43:02.813"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 16:29:42.553"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","information regarding early  varieties of wheat ?","Early varieties of wheat :-  wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 16:47:28.270"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","Iformation regarding how to control catterpiller  .(deemak) ?","Broadcast 2 Ltr chlorophyriphos +2 Ltr of water +25 kg sand  in  / acre  .","HARYANA","PALWAL","PALWAL                                            ","2014-11-01 16:50:19.520"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Palwal?","Information regarding weather in Palwal?
Some clouds no chance of rainfall today.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 16:51:10.880"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Information regarding variteas in wheat ?","Information regarding variteas in wheat ?
Variteas in wheat : wh -1105, wh-542, wh-147 dpw- 261-50, hd-2851, dbw-17,pbw343, hd- 2967,","HARYANA","PALWAL","HODAL                                             ","2014-11-01 18:29:00.410"
"RABI","AGRICULTURE","Others","Others","Varieties","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","PALWAL","HATHIN                                            ","2014-11-01 18:29:55.710"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding fertilizer dose at sowing time of wheat?","50 kg dap .40 kg potash , 10 kg zinc ,110 kg urea /acre.","HARYANA","PALWAL","HODAL                                             ","2014-11-01 20:30:52.123"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","information regarding weather in Palwal?","information regarding weather in Palwal?
Some clouds no chance of rainfall today.","HARYANA","PALWAL","HASSANPUR                                         ","2014-11-01 21:54:33.367"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in palwal ?","Information regarding weather in palwal ?some cloudy weather,no chance of rainfall today.","HARYANA","PALWAL","HATHIN                                            ","2014-11-02 06:08:55.530"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding variteas in wheat ?","Variteas in wheat : wh -1105, wh-542, wh-147 dpw- 261-50, hd-2851, dbw-17,pbw343, hd- 2967,","HARYANA","PALWAL","HATHIN                                            ","2014-11-02 07:29:17.077"
