"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WH-711, HD-2967, DPW-621, DBW-17,WHD-948,WH-1021,","HARYANA","PANIPAT","ISRANA                                            ","2014-11-01 06:49:42.957"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF PANIPAT ?","WEATHER OF PANIPAT ? CHANCE OF RAINFALL TODAY .","HARYANA","PANIPAT","SAMALKHA                                          ","2014-11-01 08:10:25.313"
"RABI","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","information regarding soap of insecticide ?","please cont to jila krashi adhikari","HARYANA","PANIPAT","SAMALKHA                                          ","2014-11-01 09:25:14.333"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Information regarding weather in ?","Information regarding weather in ?
Some clouds, chances of rainfall,today.","HARYANA","PANIPAT","PANIPAT                                           ","2014-11-01 10:51:20.157"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","informatio regarding HAU Helpline No ?","informatio regarding HAU Helpline No ?
1800-180-3001.","HARYANA","PANIPAT","PANIPAT                                           ","2014-11-01 10:53:25.853"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","HOW  TO   CONTROL  FUNGAL DISEASE  IN BITTERGOURD CROP ?","HOW  TO   CONTROL  FUNGAL DISEASE  IN BITTERGOURD CROP ?
spray 400gm diathen m-45  or vavistin  in 200 litre water /acre .","HARYANA","PANIPAT","ISRANA                                            ","2014-11-01 10:59:10.827"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in ?","Information regarding weather in ?
Some clouds, chances of rainfall,today.","HARYANA","PANIPAT","SAMALKHA                                          ","2014-11-01 11:08:13.470"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF PANIPAT ?","WEATHER OF PANIPAT ? CHANCE OF RAINFALL TODAY ,","HARYANA","PANIPAT","ISRANA                                            ","2014-11-01 11:24:17.133"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER  OF PANIPAT ?","WEATHER OF PANIPAT  ARE :-WEATHER MOSTLY CLOUDY   NO CHANCE OF RAIN TODAY .","HARYANA","PANIPAT","SAMALKHA                                          ","2014-11-01 11:26:38.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in ?","Information regarding weather in ?
Some clouds, chances of rainfall,today.","HARYANA","PANIPAT","ISRANA                                            ","2014-11-01 12:12:00.607"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","information regarding  fertilizer dose in wheat crop ?","information regarding  fertilizer dose in wheat crop ?
50 kg DAP ,40 kg MOP,and 10 kg Zinc,urea 35 kg in wheat at sowing time .","HARYANA","PANIPAT","MADLAUDA                                          ","2014-11-01 12:17:08.803"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Improved varieties in wheat ?","Varieties  of wheat?  C-306, WH-1025, WH-1080 WH1105,HD2967,DBW17,DPW621,PBW343.PBW550,WD711,WH948 WH157, WH283,","HARYANA","PANIPAT","MADLAUDA                                          ","2014-11-01 12:35:59.463"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in panipat ?","Some clouds no chance of rain fall today","HARYANA","PANIPAT","ISRANA                                            ","2014-11-01 13:58:53.690"
"RABI","AGRICULTURE","Cereals","Wheat","Training and Exposure Visits","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","PANIPAT","MADLAUDA                                          ","2014-11-01 14:38:58.653"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","PANIPAT","MADLAUDA                                          ","2014-11-01 15:54:07.573"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in kaithal?","Information regarding weather in kaithal?Some clouds some chance of rainfall today.","HARYANA","PANIPAT","ISRANA                                            ","2014-11-01 16:17:27.450"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control thrips in chillies ?","spray cipermatheran @ 60 ml in 200 liter of water /acre.","HARYANA","PANIPAT","PANIPAT                                           ","2014-11-01 16:40:09.247"
